D	H	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus	0.000383333333333333	-3.25087494205141e-05	-0.000110421888053467	0.125663488469288
Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales|Methylophilaceae|Methylophilus	-7e-04	6.02564102564103e-05	-0.0001375	0.0893046094465475
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Metaprevotella	-8.33333333333333e-05	-0.00016068196509373	-0.000150102206874653	0.0984577044473042
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter	-0.00113333333333333	7.48626373626373e-05	-0.000155398299670745	0.081679846188393
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Leptotrichia	-0.000766666666666667	-0.000102126876391582	-0.000185852498894295	0.142838038816056
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Williamwhitmaniaceae|Williamwhitmania	-0.00045952380952381	-6.79945054945055e-05	-0.000220064948176067	0.0904039040567336
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Streptobacillus	-0.000183333333333333	-0.000339423076923077	-0.000269829598506069	0.0904845275496474
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Stomatobaculum	-0.00255952380952381	0.000188337642749407	-0.000316415425819451	0.0900193285770226
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas	0.000583333333333333	-0.000555611055611056	-0.000355700525824365	0.0536038851439056
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Arachnia	-0.00118333333333333	-9.99888999889e-05	-0.000359395996160702	0.123525388780651
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_Incertae_Sedis_XI|Gemella	-0.000676190476190476	-0.000221756429844665	-0.000374266405473499	0.136968455639875
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellamassilia	-0.00195	9.62885154061625e-06	-0.000378414172686618	0.0465452912004254
