module1	module2	Both	P1A2	P2A1	A1A2	p_raw	p_adj
KOmodel_29-OEmodel_531	KOmodel_29	OEmodel_53	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_32-OEmodel_451	KOmodel_32	OEmodel_45	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_3-OEmodel_261	KOmodel_3	OEmodel_26	1	5	2	501	0.0350163075908858	0.0350163075908858
KOmodel_10-OEmodel_591	KOmodel_10	OEmodel_59	1	4	2	502	0.0292379621273583	0.0292379621273583
KOmodel_61-OEmodel_591	KOmodel_61	OEmodel_59	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_45-OEmodel_591	KOmodel_45	OEmodel_59	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_26-OEmodel_311	KOmodel_26	OEmodel_31	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_40-OEmodel_311	KOmodel_40	OEmodel_31	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_7-OEmodel_421	KOmodel_7	OEmodel_42	1	5	2	501	0.0350163075908858	0.0350163075908858
KOmodel_8-OEmodel_291	KOmodel_8	OEmodel_29	1	5	2	501	0.0350163075908858	0.0350163075908858
KOmodel_24-OEmodel_391	KOmodel_24	OEmodel_39	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_39-OEmodel_221	KOmodel_39	OEmodel_22	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_1-OEmodel_331	KOmodel_1	OEmodel_33	1	7	2	499	0.0465041176998805	0.0465041176998805
KOmodel_60-OEmodel_331	KOmodel_60	OEmodel_33	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_44-OEmodel_331	KOmodel_44	OEmodel_33	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_47-OEmodel_371	KOmodel_47	OEmodel_37	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_42-OEmodel_351	KOmodel_42	OEmodel_35	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_10-OEmodel_491	KOmodel_10	OEmodel_49	1	4	2	502	0.0292379621273583	0.0292379621273583
KOmodel_31-OEmodel_491	KOmodel_31	OEmodel_49	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_5-OEmodel_461	KOmodel_5	OEmodel_46	1	5	2	501	0.0350163075908858	0.0350163075908858
KOmodel_13-OEmodel_341	KOmodel_13	OEmodel_34	1	4	2	502	0.0292379621273583	0.0292379621273583
KOmodel_7-OEmodel_411	KOmodel_7	OEmodel_41	1	5	2	501	0.0350163075908858	0.0350163075908858
KOmodel_3-OEmodel_411	KOmodel_3	OEmodel_41	1	5	2	501	0.0350163075908858	0.0350163075908858
KOmodel_43-OEmodel_411	KOmodel_43	OEmodel_41	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_15-OEmodel_441	KOmodel_15	OEmodel_44	1	4	2	502	0.0292379621273583	0.0292379621273583
KOmodel_5-OEmodel_571	KOmodel_5	OEmodel_57	1	5	2	501	0.0350163075908858	0.0350163075908858
KOmodel_1-OEmodel_321	KOmodel_1	OEmodel_32	1	7	2	499	0.0465041176998805	0.0465041176998805
KOmodel_18-OEmodel_321	KOmodel_18	OEmodel_32	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_19-OEmodel_321	KOmodel_19	OEmodel_32	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_39-OEmodel_481	KOmodel_39	OEmodel_48	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_27-OEmodel_301	KOmodel_27	OEmodel_30	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_26-OEmodel_301	KOmodel_26	OEmodel_30	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_19-OEmodel_251	KOmodel_19	OEmodel_25	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_41-OEmodel_251	KOmodel_41	OEmodel_25	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_12-OEmodel_581	KOmodel_12	OEmodel_58	1	4	2	502	0.0292379621273583	0.0292379621273583
KOmodel_25-OEmodel_581	KOmodel_25	OEmodel_58	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_6-OEmodel_231	KOmodel_6	OEmodel_23	1	5	2	501	0.0350163075908858	0.0350163075908858
KOmodel_23-WTmodel_2	KOmodel_23	WTmodel_2	1	3	5	504	0.046101889746526	0.046101889746526
KOmodel_61-WTmodel_2	KOmodel_61	WTmodel_2	1	2	5	505	0.0347459598625558	0.0347459598625558
KOmodel_37-WTmodel_1	KOmodel_37	WTmodel_1	1	2	5	505	0.0347459598625558	0.0347459598625558
KOmodel_22-WTmodel_3	KOmodel_22	WTmodel_3	1	3	5	504	0.046101889746526	0.046101889746526
KOmodel_12-WTmodel_4	KOmodel_12	WTmodel_4	1	4	4	504	0.0479759528315032	0.0479759528315032
KOmodel_30-WTmodel_5	KOmodel_30	WTmodel_5	1	3	4	505	0.0385312698238793	0.0385312698238793
KOmodel_13-WTmodel_7	KOmodel_13	WTmodel_7	1	4	4	504	0.0479759528315032	0.0479759528315032
KOmodel_11-WTmodel_7	KOmodel_11	WTmodel_7	1	4	4	504	0.0479759528315032	0.0479759528315032
KOmodel_19-WTmodel_7	KOmodel_19	WTmodel_7	1	3	4	505	0.0385312698238793	0.0385312698238793
KOmodel_26-WTmodel_9	KOmodel_26	WTmodel_9	1	3	4	505	0.0385312698238793	0.0385312698238793
KOmodel_16-WTmodel_11	KOmodel_16	WTmodel_11	1	4	3	505	0.0385312698238793	0.0385312698238793
KOmodel_12-WTmodel_11	KOmodel_12	WTmodel_11	1	4	3	505	0.0385312698238793	0.0385312698238793
KOmodel_22-WTmodel_24	KOmodel_22	WTmodel_24	1	3	3	506	0.0309156759214944	0.0309156759214944
KOmodel_4-WTmodel_28	KOmodel_4	WTmodel_28	1	5	3	504	0.0461018897465262	0.0461018897465262
KOmodel_13-WTmodel_23	KOmodel_13	WTmodel_23	1	4	3	505	0.0385312698238793	0.0385312698238793
KOmodel_18-WTmodel_22	KOmodel_18	WTmodel_22	1	3	3	506	0.0309156759214944	0.0309156759214944
KOmodel_47-WTmodel_22	KOmodel_47	WTmodel_22	1	2	3	507	0.0232549302766049	0.0232549302766049
KOmodel_23-WTmodel_12	KOmodel_23	WTmodel_12	1	3	3	506	0.0309156759214944	0.0309156759214944
KOmodel_39-WTmodel_12	KOmodel_39	WTmodel_12	1	2	3	507	0.0232549302766049	0.0232549302766049
KOmodel_55-WTmodel_29	KOmodel_55	WTmodel_29	1	2	3	507	0.0232549302766049	0.0232549302766049
KOmodel_35-WTmodel_29	KOmodel_35	WTmodel_29	1	2	3	507	0.0232549302766049	0.0232549302766049
KOmodel_11-WTmodel_27	KOmodel_11	WTmodel_27	1	4	3	505	0.0385312698238793	0.0385312698238793
KOmodel_41-WTmodel_27	KOmodel_41	WTmodel_27	1	2	3	507	0.0232549302766049	0.0232549302766049
KOmodel_11-WTmodel_14	KOmodel_11	WTmodel_14	1	4	3	505	0.0385312698238793	0.0385312698238793
