ID	group	Group
430	ASV_355	OEmodel_17	OE
431	ASV_425	OEmodel_17	OE
432	ASV_224	OEmodel_16	OE
433	ASV_122	OEmodel_16	OE
434	ASV_541	OEmodel_16	OE
435	ASV_480	OEmodel_11	OE
436	ASV_429	OEmodel_11	OE
437	ASV_387	OEmodel_11	OE
438	ASV_279	OEmodel_14	OE
439	ASV_18	OEmodel_14	OE
440	ASV_601	OEmodel_14	OE
441	ASV_241	OEmodel_15	OE
442	ASV_305	OEmodel_15	OE
443	ASV_448	OEmodel_15	OE
444	ASV_321	OEmodel_21	OE
445	ASV_373	OEmodel_21	OE
446	ASV_829	OEmodel_21	OE
447	ASV_102	OEmodel_13	OE
448	ASV_153	OEmodel_13	OE
449	ASV_604	OEmodel_13	OE
450	ASV_161	OEmodel_19	OE
451	ASV_225	OEmodel_19	OE
452	ASV_544	OEmodel_19	OE
453	ASV_66	OEmodel_20	OE
454	ASV_438	OEmodel_20	OE
455	ASV_281	OEmodel_20	OE
456	ASV_657	OEmodel_12	OE
457	ASV_97	OEmodel_18	OE
458	ASV_237	OEmodel_17	OE
459	ASV_14	OEmodel_16	OE
460	ASV_258	OEmodel_11	OE
461	ASV_521	OEmodel_14	OE
462	ASV_396	OEmodel_15	OE
463	ASV_154	OEmodel_21	OE
464	ASV_15	OEmodel_13	OE
465	ASV_535	OEmodel_19	OE
466	ASV_327	OEmodel_20	OE
467	ASV_261	OEmodel_51	OE
468	ASV_189	OEmodel_51	OE
469	ASV_485	OEmodel_54	OE
470	ASV_342	OEmodel_54	OE
471	ASV_418	OEmodel_47	OE
472	ASV_86	OEmodel_47	OE
473	ASV_38	OEmodel_24	OE
474	ASV_83	OEmodel_24	OE
475	ASV_112	OEmodel_55	OE
476	ASV_288	OEmodel_55	OE
477	ASV_186	OEmodel_28	OE
478	ASV_173	OEmodel_28	OE
479	ASV_574	OEmodel_56	OE
480	ASV_249	OEmodel_56	OE
481	ASV_23	OEmodel_52	OE
482	ASV_56	OEmodel_52	OE
483	ASV_486	OEmodel_43	OE
484	ASV_190	OEmodel_43	OE
485	ASV_158	OEmodel_38	OE
486	ASV_64	OEmodel_38	OE
487	ASV_165	OEmodel_53	OE
488	ASV_204	OEmodel_53	OE
489	ASV_70	OEmodel_45	OE
490	ASV_437	OEmodel_45	OE
491	ASV_370	OEmodel_26	OE
492	ASV_546	OEmodel_26	OE
493	ASV_76	OEmodel_59	OE
494	ASV_242	OEmodel_59	OE
495	ASV_103	OEmodel_31	OE
496	ASV_354	OEmodel_31	OE
497	ASV_382	OEmodel_42	OE
498	ASV_648	OEmodel_42	OE
499	ASV_51	OEmodel_29	OE
500	ASV_257	OEmodel_29	OE
501	ASV_455	OEmodel_39	OE
502	ASV_250	OEmodel_39	OE
503	ASV_284	OEmodel_22	OE
504	ASV_389	OEmodel_22	OE
505	ASV_256	OEmodel_33	OE
506	ASV_133	OEmodel_33	OE
507	ASV_815	OEmodel_37	OE
508	ASV_149	OEmodel_37	OE
509	ASV_291	OEmodel_36	OE
510	ASV_334	OEmodel_36	OE
511	ASV_347	OEmodel_35	OE
512	ASV_998	OEmodel_35	OE
513	ASV_129	OEmodel_49	OE
514	ASV_386	OEmodel_49	OE
515	ASV_503	OEmodel_46	OE
516	ASV_377	OEmodel_46	OE
517	ASV_402	OEmodel_34	OE
518	ASV_183	OEmodel_34	OE
519	ASV_96	OEmodel_41	OE
520	ASV_393	OEmodel_41	OE
521	ASV_91	OEmodel_40	OE
522	ASV_862	OEmodel_40	OE
523	ASV_417	OEmodel_44	OE
524	ASV_801	OEmodel_44	OE
525	ASV_207	OEmodel_57	OE
526	ASV_581	OEmodel_57	OE
527	ASV_180	OEmodel_32	OE
528	ASV_352	OEmodel_32	OE
529	ASV_269	OEmodel_50	OE
530	ASV_445	OEmodel_50	OE
531	ASV_205	OEmodel_48	OE
532	ASV_468	OEmodel_48	OE
533	ASV_398	OEmodel_27	OE
534	ASV_475	OEmodel_27	OE
535	ASV_40	OEmodel_30	OE
536	ASV_90	OEmodel_30	OE
537	ASV_77	OEmodel_25	OE
538	ASV_214	OEmodel_25	OE
539	ASV_124	OEmodel_58	OE
540	ASV_63	OEmodel_58	OE
541	ASV_333	OEmodel_23	OE
542	ASV_363	OEmodel_23	OE
543	ASV_414	OEmodel_51	OE
544	ASV_397	OEmodel_54	OE
545	ASV_2	OEmodel_47	OE
546	ASV_234	OEmodel_24	OE
547	ASV_30	OEmodel_55	OE
548	ASV_293	OEmodel_28	OE
549	ASV_111	OEmodel_56	OE
550	ASV_4	OEmodel_52	OE
551	ASV_60	OEmodel_43	OE
552	ASV_212	OEmodel_38	OE
553	ASV_420	OEmodel_53	OE
554	ASV_94	OEmodel_45	OE
555	ASV_107	OEmodel_26	OE
556	ASV_123	OEmodel_59	OE
557	ASV_328	OEmodel_31	OE
558	ASV_697	OEmodel_42	OE
559	ASV_115	OEmodel_29	OE
560	ASV_614	OEmodel_39	OE
561	ASV_534	OEmodel_22	OE
562	ASV_506	OEmodel_33	OE
563	ASV_345	OEmodel_37	OE
564	ASV_372	OEmodel_36	OE
565	ASV_117	OEmodel_35	OE
566	ASV_42	OEmodel_49	OE
567	ASV_49	OEmodel_46	OE
568	ASV_116	OEmodel_34	OE
569	ASV_109	OEmodel_41	OE
570	ASV_416	OEmodel_40	OE
571	ASV_273	OEmodel_44	OE
572	ASV_21	OEmodel_57	OE
573	ASV_126	OEmodel_32	OE
574	ASV_353	OEmodel_50	OE
575	ASV_413	OEmodel_48	OE
576	ASV_339	OEmodel_27	OE
577	ASV_179	OEmodel_30	OE
578	ASV_259	OEmodel_25	OE
579	ASV_423	OEmodel_58	OE
580	ASV_172	OEmodel_23	OE
581	ASV_670	OEmodel_136	OE
582	ASV_105	OEmodel_108	OE
583	ASV_209	OEmodel_90	OE
584	ASV_106	OEmodel_73	OE
585	ASV_24	OEmodel_63	OE
586	ASV_285	OEmodel_107	OE
587	ASV_55	OEmodel_65	OE
588	ASV_381	OEmodel_60	OE
589	ASV_184	OEmodel_62	OE
590	ASV_505	OEmodel_133	OE
591	ASV_243	OEmodel_129	OE
592	ASV_84	OEmodel_128	OE
593	ASV_467	OEmodel_126	OE
594	ASV_85	OEmodel_125	OE
595	ASV_235	OEmodel_124	OE
596	ASV_356	OEmodel_121	OE
597	ASV_120	OEmodel_119	OE
598	ASV_317	OEmodel_117	OE
599	ASV_306	OEmodel_116	OE
600	ASV_230	OEmodel_115	OE
601	ASV_222	OEmodel_114	OE
602	ASV_134	OEmodel_113	OE
603	ASV_634	OEmodel_112	OE
604	ASV_395	OEmodel_110	OE
605	ASV_71	OEmodel_109	OE
606	ASV_606	OEmodel_106	OE
607	ASV_147	OEmodel_105	OE
608	ASV_10	OEmodel_104	OE
609	ASV_341	OEmodel_103	OE
610	ASV_168	OEmodel_102	OE
611	ASV_2907	OEmodel_101	OE
612	ASV_54	OEmodel_100	OE
613	ASV_229	OEmodel_99	OE
614	ASV_216	OEmodel_98	OE
615	ASV_378	OEmodel_97	OE
616	ASV_114	OEmodel_132	OE
617	ASV_280	OEmodel_130	OE
618	ASV_142	OEmodel_123	OE
619	ASV_309	OEmodel_120	OE
620	ASV_110	OEmodel_95	OE
621	ASV_178	OEmodel_94	OE
622	ASV_35	OEmodel_92	OE
623	ASV_199	OEmodel_91	OE
624	ASV_270	OEmodel_111	OE
625	ASV_304	OEmodel_89	OE
626	ASV_536	OEmodel_88	OE
627	ASV_632	OEmodel_87	OE
628	ASV_264	OEmodel_86	OE
629	ASV_210	OEmodel_85	OE
630	ASV_164	OEmodel_77	OE
631	ASV_310	OEmodel_84	OE
632	ASV_577	OEmodel_118	OE
633	ASV_664	OEmodel_83	OE
634	ASV_385	OEmodel_82	OE
635	ASV_374	OEmodel_81	OE
636	ASV_313	OEmodel_80	OE
637	ASV_542	OEmodel_79	OE
638	ASV_329	OEmodel_122	OE
639	ASV_346	OEmodel_93	OE
640	ASV_198	OEmodel_78	OE
641	ASV_236	OEmodel_96	OE
642	ASV_556	OEmodel_76	OE
643	ASV_376	OEmodel_75	OE
644	ASV_612	OEmodel_74	OE
645	ASV_80	OEmodel_127	OE
646	ASV_265	OEmodel_72	OE
647	ASV_2360	OEmodel_71	OE
648	ASV_88	OEmodel_70	OE
649	ASV_286	OEmodel_69	OE
650	ASV_404	OEmodel_131	OE
651	ASV_271	OEmodel_68	OE
652	ASV_319	OEmodel_67	OE
653	ASV_302	OEmodel_66	OE
654	ASV_553	OEmodel_134	OE
655	ASV_295	OEmodel_61	OE
656	ASV_569	OEmodel_135	OE
