ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082
ASV_65	-0.423	12.832	0.593126562294037	0.748047679311136	NotSig	0.518	0.587	2.201	0.604	0.012	0.099	0.338	0.053	0.007	0.809	0.543	0.182	0.57	0.108	0.593	0.203	4.637	0.588	0.918	2.359	0.739	2.706	1.617	1.076	0.358	3.055	0.082	0.04	0.034	0.096	0.152	0.057	0.052	0.043	0.059	0.034	0.097	0.01	0.037	0.037	0.123	0.764	0.041	0.098	0.071	0.041	0.032	0.004	0.182	0.982
ASV_54	0.385	12.207	0.599420356437982	0.750385483244585	NotSig	0.313	0.391	0.067	0.084	0.004	0.086	0.123	0.092	0.026	0.176	2.161	0.093	0.15	0.094	0.292	0.043	0.057	0.691	0.073	3.029	0.361	0.905	0.231	0.3	0.199	0.216	0.202	0.03	0.028	0.096	0.048	0.035	0.049	0.057	0.073	0.143	5.328	0.045	0.034	0.512	0.595	0.125	0.029	0.008	0.127	0.01	0.7	0.061	0.083	0.117
ASV_104	-0.404	10.761	0.614448065686141	0.758804244683363	NotSig	0.118	0.136	0.113	0.245	0.013	0.016	0.006	0.217	0	0.443	0.011	0.005	0.022	0.01	0.32	0.302	0.069	0.445	0.088	0.071	0.266	0.035	0.273	0.027	0.021	0.042	0.013	0.015	0.16	0.009	0.009	0.003	0.041	0.228	0.003	0.003	0.088	1.579	0.497	0.142	0.098	0.087	0.164	0.008	0.001	0.047	0.014	0.033	0.065	0.003
ASV_93	0.392	11.934	0.61512533444746	0.758804244683363	NotSig	0.398	0.27	0.169	0.165	0.823	0.403	1.212	0.322	0.482	0.006	0.003	0.037	0.029	0.03	0.007	0.008	0.096	0.017	0.047	0.006	0.016	0	0.002	0	0.014	0.004	0.107	0.14	0.562	0.179	0.136	0.334	0.331	0.158	0.898	1.157	0.27	0.491	0.421	0.555	0.172	0.103	0.564	0.144	0.795	1.276	0.571	0.838	0.002	0.003
ASV_35	-0.377	12.11	0.632143174861593	0.774146351823255	NotSig	0.253	0.452	0.36	0.505	0.011	0.023	0.096	0.091	0.03	0.341	0.824	0.231	0.397	0.148	0.611	0.278	0.072	0.572	0.425	0.115	0.371	0.102	0.144	0.036	0.065	0.187	0.03	0.003	0.037	0.029	0.061	0	0.016	0.056	0.069	0.115	5.029	0.03	2.825	0.058	1.925	0.213	2.003	0.022	0.02	0.025	1.231	0.043	0.033	0.018
ASV_183	0.703	8.661	0.639372810907406	0.774643788380327	NotSig	0.041	0.023	0	0	0.05	0.309	0.005	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0.002	0	0	0.004	0.005	0.154	0.004	0	0	0.001	0.03	0.06	0.087	0.053	0.456	0.032	0.008	0	0	0	0	0.002	0	0	0	0	0	0	0	0
ASV_200	-0.269	10.79	0.646151504937763	0.774643788380327	NotSig	0.15	0.139	0.08	0.138	0.065	0.075	0.673	0.122	0.049	0.104	0.042	0.073	0.144	0.082	0.075	0.165	0.414	0.01	0.073	0.087	0.134	0.157	0.24	0.161	0.046	0.073	0.312	0.146	0.168	0.046	0.041	0.061	0.168	0.032	1.036	0.04	0.217	0.045	0.021	0.061	0.005	0.02	0.099	0.048	0.093	0.383	0.072	0.023	0.343	0.011
ASV_31	0.331	12.685	0.650152403766568	0.774643788380327	NotSig	0.614	0.526	0.207	1.543	0.016	0.313	0.037	0.074	0.016	2.562	0.758	0.197	0.507	0.177	5.585	1.28	0.067	0.555	0.573	0.514	1.066	1.644	2.914	1.767	0.72	0.788	0.113	0.211	0.066	0.036	0.033	0.023	0.047	0.13	0.034	0.028	0.127	0.065	0.259	0.064	0.028	0.049	0.129	0.057	0.009	0.041	0.065	0.06	0.341	0.156
ASV_32	0.298	12.207	0.650884129881695	0.774643788380327	NotSig	0.561	0.335	3.242	0.272	0.199	0.251	0.142	0.618	0.307	0.006	0.011	0.117	0.087	0.204	0.122	0.077	0.209	0.179	0.585	0.514	0.214	0.242	0.125	0.045	0.083	0.037	0.527	0.124	0.12	0.226	0.071	0.242	0.122	0.101	1.322	0.074	0.148	3.633	0.43	0.258	0.135	0.177	0.417	0.141	0.241	0.544	0.281	0.879	0.016	0
ASV_98	-0.619	10.137	0.664454027076023	0.781614470568784	NotSig	0.054	0.069	0.1	0.091	0	0	0.001	0.092	0.002	0.009	0.194	0	0.006	0.061	0	0	0	0	0.133	0	0.014	0	0	0.009	0.005	0.011	0	0	0	0	0.001	0	0	0	0	0	0.001	0.11	0.058	0.145	0	0	0.045	0.005	0.014	0.115	0.004	0.029	0.011	1.91
ASV_79	-0.28	12.269	0.672696064066654	0.781614470568784	NotSig	0.33	0.377	0.094	0.163	0.148	0.528	0.39	0.197	1.437	0.007	0.008	0.056	0.056	0.034	0.44	0.972	0.144	0.028	0.163	0.061	0.141	1.033	0.108	0.146	2.023	0.057	0.367	1.057	0.183	1.128	0.503	0.741	0.324	0.203	0.174	0.942	0.496	0.102	0.247	0.487	0.602	0.394	0.244	0.196	0.064	0.054	0.439	0.248	0.022	0.008
ASV_43	-0.246	12.558	0.673933799373146	0.781614470568784	NotSig	0.431	0.478	0.189	0.179	0.175	1.163	0.623	0.591	0.704	0.044	0.21	0.949	0.249	0.199	0.069	0.082	0.389	0.034	0.253	0.391	0.102	0.338	0.15	0.096	0.286	0.055	0.635	0.418	1.107	3.168	0.352	0.331	0.389	0.186	0.399	1.199	0.478	0.207	0.433	0.137	0.321	0.363	0.991	0.102	0.616	0.236	0.758	1.758	0.385	0.025
ASV_91	0.382	9.119	0.678399274902935	0.781614470568784	NotSig	0.041	0.041	0.007	0.082	0.068	0.023	0.027	0.007	0.008	0.006	0.14	0.012	0.002	0.012	0.06	0.03	0.051	0.383	0.029	0	0.002	0	0.002	0.325	0.005	0.002	0	0	0	0	0.029	0.009	0.149	0.006	0	0	0.01	0.012	0	0.003	0.058	0.087	0.045	0	0	0.03	0.167	0.056	0.003	0.003
ASV_16	-0.364	12.772	0.679865841263972	0.781614470568784	NotSig	0.496	0.538	0.251	0.235	0.492	0.196	0.186	3.011	0.078	0.003	0.011	0.204	0.38	2.61	0.367	0.021	0.161	0.017	0.284	0	0.039	0.006	0.004	0.007	0.016	0.064	1.141	3.389	3.09	0.109	0.095	0.233	0.172	0.001	0.168	1.072	0.168	0.431	0.272	0.116	0.053	0.067	0.965	0.216	4.683	0.244	0.023	0.087	0.008	0.003
ASV_84	0.322	10.783	0.696480618361419	0.795305570966756	NotSig	0.134	0.135	0.13	0.011	0.59	0.042	0.063	0.122	0.246	0.001	0.003	0.114	0.184	0.131	0	0	0	0.053	0.086	0.045	0.007	0	0.002	0.004	0.009	0.002	0.237	0.009	0.032	0.072	0.152	0.063	0.009	0.052	0.039	0.036	0.468	0.01	0.043	0.043	0.123	0.125	0.564	0.057	1.284	0.106	0.112	0.968	0.002	0.006
ASV_25	-0.233	13.299	0.725058072275203	0.822381303453082	NotSig	0.745	0.774	1.036	0.056	0.494	0.962	0.501	2.173	0.624	0.744	0.113	2.123	0.172	0.172	0.079	0.016	0.072	0.874	0.281	0.405	0.43	0.189	0.038	0.087	0.15	0.084	0.551	0.096	1.735	0.434	0.24	0.293	0.358	0.099	2.172	4.134	0.566	1.701	2.063	0.275	0.469	0.415	0.575	0.247	5.66	0.181	0.638	1.603	0.307	0.205
