ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083	DE07P016	DE10P016	DE08P017	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076
ASV_20	-0.328	11.808	0.740116385837516	0.934394589962708	NotSig	0.241	0.305	0.056	0.012	0.13	0.428	0.929	0.264	0.086	0.025	0.012	0.032	0.02	0.092	0.464	0.194	0.335	1.292
ASV_125	0.437	6.556	0.740844158334903	0.934394589962708	NotSig	0.005	0.004	0.002	0.003	0	0	0.003	0	0.03	0	0.011	0	0.014	0.001	0	0.006	0	0
ASV_134	-0.306	10.18	0.740880917485224	0.934394589962708	NotSig	0.073	0.098	0.031	0.034	0.062	0.197	0.17	0.032	0.002	0.055	0.027	0.036	0.03	0.019	0.298	0.13	0.065	0.176
ASV_148	0.492	10.782	0.760628169168889	0.939319760027432	NotSig	0.113	0.187	0.002	0.003	0.017	0	0	0.004	0.15	0.729	0.003	0	0.005	0	0	0	1.488	0
ASV_81	-0.347	12.895	0.762977526049281	0.939319760027432	NotSig	0.475	0.658	0.585	0.777	0.01	0.006	0.03	0.026	1.979	0.392	2.645	2.156	0.348	0.009	0.015	0.029	0.048	0.013
ASV_77	-0.309	12.4	0.774683975755666	0.939319760027432	NotSig	0.293	0.409	0.133	0.067	1.539	0.135	0.217	0.247	0	0.009	0.096	0.011	0.051	1.283	1.013	0.319	0.164	0.334
ASV_99	-0.333	10.092	0.775177711413716	0.939319760027432	NotSig	0.074	0.106	0.223	0.136	0.053	0.006	0.019	0.085	0.068	0	0.148	0	0.618	0.004	0.015	0.064	0	0.003
ASV_120	-0.348	8.896	0.776611200935471	0.939319760027432	NotSig	0.025	0.042	0.002	0.004	0.001	0	0.094	0.004	0.036	0.06	0.002	0	0.006	0	0.169	0.021	0.089	0.048
ASV_73	0.296	13.142	0.778134712448761	0.939319760027432	NotSig	0.954	0.911	0.292	0.177	0.546	0.15	0.571	5.721	0.007	0.166	0.077	0.104	0.057	0.394	0.028	0.073	6.039	0.516
ASV_43	-0.235	12.543	0.792924024874647	0.950384114920677	NotSig	0.371	0.512	0.427	0.198	1.094	0.387	0.246	0.404	0.005	0.21	0.28	0.201	0.101	0.623	0.651	1.36	0.527	0.351
ASV_48	-0.268	13.099	0.798925115828223	0.950833412499787	NotSig	0.524	0.619	0.612	0.424	1.488	0.116	1.31	0.187	0.021	0.034	0.361	0.002	0.581	3.027	0.423	0.276	0.041	0.244
ASV_26	0.199	11.635	0.818924552012357	0.963589971566464	NotSig	0.221	0.253	0.18	0.149	0.082	0.055	0.092	0.223	0.236	0.748	0.315	0.267	0.558	0.074	0.019	0.14	0.397	0.254
ASV_141	0.222	10.889	0.821315949360197	0.963589971566464	NotSig	0.152	0.139	0.009	0.008	0.111	0.351	0.584	0.142	0.007	0.004	0.029	0.113	0.011	0.198	0.121	0.235	0.294	0.11
ASV_82	-0.226	11.229	0.838728822254239	0.963589971566464	NotSig	0.175	0.216	0.012	0.05	0.036	0.059	0.778	0.463	0	0.004	0.089	0	0.033	0.039	0.252	1.058	0.103	0.158
ASV_65	0.219	13.246	0.838753888441144	0.963589971566464	NotSig	0.718	0.727	1.41	1.926	0.024	0.219	0.106	0.019	0.937	1.103	3.498	1.508	0.544	0.015	0.069	0.07	0.103	0.008
ASV_107	-0.208	9.501	0.842087337595736	0.963589971566464	NotSig	0.044	0.053	0.003	0.001	0.133	0.174	0.009	0.017	0.011	0.005	0.014	0.058	0.005	0.116	0.072	0.133	0.01	0.014
ASV_235	-0.171	10.257	0.851603911967111	0.963589971566464	NotSig	0.092	0.094	0.25	0.027	0.07	0.224	0.077	0.068	0.005	0.016	0.071	0.019	0.009	0.167	0.102	0.243	0.027	0.111
ASV_12	-0.212	13.895	0.859154713437884	0.963589971566464	NotSig	1.232	1.281	0.012	0.01	0.843	4.69	0.922	3.364	0.007	0.005	0.011	0	0.078	1.467	0.622	2.573	1.727	3.767
ASV_44	0.172	11.632	0.860129170326475	0.963589971566464	NotSig	0.301	0.271	1.685	0.072	0.036	0.088	0.108	0.121	0.282	0.019	0.544	0	0.195	0.147	0.038	0.26	0.728	0.259
ASV_27	0.148	12.094	0.871937514857188	0.963589971566464	NotSig	0.326	0.358	0.228	1.264	0.068	0.043	0.053	0.576	0.188	0.191	0.408	0.228	1.149	0.011	0.211	0.097	0.38	0.384
ASV_58	0.185	12.735	0.874442786908043	0.963589971566464	NotSig	0.496	0.459	0.06	0.067	0.584	0.078	3.042	0.132	0	0.004	0.059	0.005	0.041	0.846	2.015	0.551	0.089	0.067
ASV_96	0.193	7.699	0.888024929354762	0.963589971566464	NotSig	0.013	0.01	0	0.004	0.001	0	0.051	0	0.046	0	0.005	0.002	0.012	0.058	0	0.002	0	0.001
ASV_92	0.156	9.198	0.891900912194402	0.963589971566464	NotSig	0.049	0.038	0	0.007	0.01	0.237	0.057	0.064	0.011	0.005	0.005	0.006	0.002	0.099	0.019	0.17	0	0.004
ASV_881	-0.136	11.801	0.894966201156865	0.963589971566464	NotSig	0.305	0.323	0.024	0.005	0.032	1.69	0.058	0.593	0.013	0.021	0.038	0.044	0.038	0.05	0.398	0.237	0.91	0.871
ASV_6	-0.109	12.571	0.909134624150895	0.963589971566464	NotSig	0.492	0.518	0.162	0.19	0.398	0.513	0.914	1.739	0.02	0.002	0.528	0.015	0.208	0.62	0.89	0.786	0.831	0.262
ASV_176	0.134	11.712	0.911263790345025	0.963589971566464	NotSig	0.199	0.218	0.114	0.003	0.011	0.011	0.012	0.009	0.166	1.265	0.05	1.52	0.008	0.004	0.004	0.016	0.106	0.036
ASV_15	0.117	14.664	0.913401998098444	0.963589971566464	NotSig	1.819	1.926	1.175	1.945	0.047	0.208	0.194	0.451	6.633	3.897	7.042	6.637	0.849	0.017	0.097	0.229	0.448	0.086
ASV_85	0.099	10.875	0.915871781745224	0.963589971566464	NotSig	0.146	0.153	0.318	0.097	0.242	0.065	0.189	0.232	0	0.023	0.245	0.115	0.406	0.055	0.034	0.268	0.089	0.01
ASV_80	0.111	5.631	0.921445983144719	0.963589971566464	NotSig	0.001	0.001	0	0	0	0.005	0	0.002	0	0	0	0.002	0	0	0.003	0.002	0	0
ASV_137	-0.089	8.718	0.924153417092045	0.963589971566464	NotSig	0.026	0.031	0.044	0.06	0.047	0.01	0.007	0.03	0.002	0.009	0.059	0.036	0.035	0.027	0.024	0.056	0.003	0.008
ASV_108	-0.101	11.36	0.933998731580756	0.963589971566464	NotSig	0.163	0.171	0.007	0.241	0.386	0.045	0.508	0.1	0.014	0	0.003	0	0	0.894	0.202	0.192	0.058	0.022
ASV_71	0.078	9.587	0.934574117637031	0.963589971566464	NotSig	0.06	0.062	0	0.038	0.022	0.202	0.055	0.081	0.073	0.009	0.179	0.029	0.018	0.011	0.026	0.133	0.065	0.032
ASV_66	-0.103	9.076	0.939511593429176	0.963589971566464	NotSig	0.029	0.04	0	0.059	0.007	0.005	0.011	0	0.061	0.094	0.002	0	0.002	0	0.291	0.01	0.017	0
ASV_5	-0.073	15.861	0.940783108334122	0.963589971566464	NotSig	4.064	4.113	1.046	1.108	9.001	4.934	11.763	4.339	0.116	0.208	1.454	0.481	0.662	15.673	8.292	1.809	2.196	2.337
ASV_49	0.025	11.314	0.980074383334101	0.996451806579864	NotSig	0.188	0.219	0.043	0.1	0.195	0.042	0.757	0.353	0	0.014	0.158	0.013	0.122	0.087	0.027	1.059	0.205	0.08
ASV_25	-0.017	13.147	0.984659477507913	0.996451806579864	NotSig	0.725	0.723	1.304	0.086	0.272	1.988	0.319	0.825	0.238	0.769	0.16	1.308	0.175	0.092	1.055	0.958	0.927	1.107
ASV_40	-0.005	12.63	0.996045907942064	0.997316896372898	NotSig	0.537	0.533	1.877	0.239	0.303	0.521	0.535	0.663	0.102	0.06	0.364	0.016	0.074	0.458	0.218	2.209	0.581	0.346
ASV_30	-0.003	11.524	0.997316896372898	0.997316896372898	NotSig	0.204	0.247	0.058	0.218	0.295	0.082	0.728	0.23	0.007	0.012	0.137	0.045	0.092	0.127	0.211	0.348	0.51	0.508
