ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	HS03P003	HS03P004	HS03P005	HS03P010	HS03P011	HS03P012	HS03P014	HS03P019	HS03P024	HS03P025	HS03P026	HS03P029	HS03P031	HS03P034	HS03P035	HS03P040	HS03P041	HS03P042	HS03P044	HS03P045	HS03P046	HS03P047	HS03P048	HS03P050	HS03P051	HS03P055	HS03P056	HS03P057	HS03P058	HS03P059	HS03P061	HS03P063	HS03P064	HS03P066	HS03P067	HS03P068	HS03P071	HS03P072	HS03P073	HS03P074	HS03P075	HS03P077
ASV_151	-2.601	11.043	0.00664808381534173	0.0239048120168671	Depleted	0.06	0.287	0.005	1.283	0.039	0.098	0.004	0.005	0.006	0.031	0.001	0	0	0	0	0	0	0	0.018	0	0	0.067	0	0	0	0	0.002	0	0.025	0.203	0.141	1.97	0.164	0.068	0.465	0.022	0.046	0.099	1.744	0.093	0.074	0.162	0.06	1.632	0.095	0.305	0.327	4.262	0	0.002	0	0.01	0	0.02	0.002	0.003	0.014	0.042	0	0.004	0.003	0.001	0	0.001	0	0	0	0	0	0.017
ASV_5	-1.481	14.454	0.00749210585503451	0.0263784560312673	Depleted	0.592	2.421	0.766	2.048	1.85	2.618	0.518	0.23	0.052	0.105	0.205	0.028	0.035	0.006	0.004	0.352	0	0.408	0.2	0.075	3.02	0.486	0.133	2.007	0	0.049	0.133	0.062	0.456	0.682	1.554	1.945	1.416	0.72	1.465	1.408	3.812	2.358	1.734	3.022	1.545	3.111	3.86	11.417	6.04	6.059	1.589	8.64	4.745	0.046	0.551	0.332	0.39	0.451	1.694	0.277	1.193	0.518	0.089	1.234	0.158	20.557	0.118	1.138	0.55	1.169	0.161	0.604	2.075	0.788
ASV_16	-2.746	13.816	0.00777215824048336	0.0268060151559528	Depleted	0.321	1.168	4.716	0.125	0.102	2.05	0.003	0.134	0	1.176	0.002	0	0	0	0	0.007	0	0	0.001	0.003	0.001	0.007	0	0.009	0	0.001	0.004	0	0.423	8.612	6.077	0.852	0.169	1.031	0.145	0.197	0.059	0.348	1.128	0.991	0.756	0.642	0.902	0.458	2.107	3.63	0.095	0.343	0.004	0.542	0.004	0	0.003	0.002	0.013	0.002	0.009	0	19.29	0.117	0.092	0	0	0.002	0	0	0	0	0.001	0.006
ASV_44	-1.459	10.59	0.00867572605323359	0.0293239540599295	Depleted	0.054	0.173	0.507	0.127	0.1	0.141	0.012	0.01	0.002	0.025	0.016	0.011	0.001	0.001	0.034	0.04	0.14	0.01	0.007	0.033	0.006	0.039	0.045	0.032	0	0	0	0.074	1.63	0.086	0.029	0.015	0.378	0.066	0.323	1.004	0.006	0.126	0.251	0.125	0.514	0.088	0.411	0.023	0.097	0.031	0.008	0.134	0.004	0.039	0.768	0.008	0.046	0.003	0.017	0.006	0.041	0.216	0.081	0.039	0.015	0.016	0.045	0.074	0.026	0.003	0.008	0.198	0.262	0.012
ASV_93	-1.643	10.491	0.0102388928838169	0.0339288803404914	Depleted	0.057	0.226	0.149	0.417	0.299	0.214	0.003	0.002	0	0.251	0.049	0.003	0.009	0.01	0	0.013	0	0.033	0	0.027	0	0.001	0.001	0.001	0	0	0	0	0.04	0.018	0.044	0.037	0.2	0.063	0.246	0.063	0.054	0.399	3.493	0.103	0.241	0.178	0.181	0.247	1.9	0.45	0.297	0.345	0.009	0.005	0.02	0.004	0.04	0.003	0.003	0.023	0.05	0.067	0.016	0.015	0.004	0.01	0.027	0.259	0.009	0.045	0.005	0.013	0.254	0.01
ASV_144	-2.163	9.917	0.0118965277184922	0.0386637150850996	Depleted	0.026	0.123	0.082	0.041	0.055	0.118	0.004	0	0	0.355	0	0	0	0	0	0	0	0.004	0.001	0	0	0.009	0	0.009	0	0	0.001	0	0.002	0.006	0.006	0.191	0.146	0.141	0.047	0.731	0.004	0.002	0.479	0.049	0.225	0.157	0.362	0.186	0.04	0.045	0.668	1.225	0	0.003	0.29	0	0.002	0	0.006	0	0.046	0	0.026	0.011	0.007	0	0.012	0.014	0.015	0.001	0.001	0.001	0	0
ASV_207	1.703	10.523	0.0154072288859397	0.0491287109759209	Enriched	0.107	0.064	0	0.003	0.003	0	0.048	0	0	0	0.119	0	0	0.177	0.015	0.031	0.258	0.034	1.636	0.088	0.018	0.149	0.014	0.016	0.002	0	0	0.185	0.012	0.005	0	0	0.002	0.003	0.002	0	0.034	0.265	0.09	0.005	0.002	0.034	0.004	0	0.002	0.141	0.002	0.002	0.013	0.014	0.077	0	0.135	0.002	0.011	0.147	0.039	0.902	0.008	0.014	0.003	0.027	0.051	0.152	0.183	0.094	0.092	0.066	0.002	0.049
ASV_124	1.437	11.894	0.0169871045809221	0.053163345818071	Enriched	0.21	0.141	0.118	0.083	0.039	0.041	0.178	0.043	1.625	0	0.031	0.015	0.058	1.122	0.712	0.011	0.013	0.161	0.018	0.866	0.062	0.029	0.055	0.099	0	0.04	0.005	0.042	0.067	0.029	0.061	0.11	0.034	0	0.036	0.038	0.044	0.132	0.203	0.025	0.08	0.059	0.04	0.014	0.052	0.012	0.047	0.029	0.009	0.423	0.338	0.208	0.147	0.137	0.005	0	0	0	0.016	0.148	0.013	0.339	1.165	0.161	0.047	0.129	0.381	0.77	0.02	0.351
ASV_74	-1.639	11.165	0.0178252555247459	0.0547721487942192	Depleted	0.091	0.254	0.317	0.283	0.969	0.122	0.009	0.01	0	0.024	0.001	0	0	0.03	0	0	0	0.001	0.094	0.008	0.003	0	0.004	0.009	0	0	0	0.475	1.34	0.05	0.097	0.057	0.504	0.019	0.332	1.551	0.061	0.079	0.085	0.577	0.325	0.817	0.232	0.15	0.456	0.379	0.231	0.029	0.001	0.152	0.037	0	0.015	0.021	0.014	0.092	0.061	0.003	0.008	0.011	0.114	2.399	0.036	0.031	0.08	0.015	0.02	0.006	0.151	0.012
ASV_69	-1.6	13.247	0.0186071187363553	0.0561536261865008	Depleted	0.26	0.749	0.281	0.151	0.047	0.049	0.034	0.655	0.415	0	0.029	0.267	0.074	3.015	0.013	0	0.052	0	0.008	0.006	0.043	0.09	0.064	0.18	0.671	0.137	0.37	0.103	0.019	0.108	0.174	0.047	0.049	0.048	0.291	0.119	0.029	0.022	0.04	0.06	0.065	0.031	0.009	0.039	0.04	0.071	0.068	0.008	0.149	0.068	0.075	12.444	0.26	0.549	1.463	0.455	0.027	0.6	0.006	0.18	0.48	0.139	2.92	1.008	0.176	0.074	8.54	0.172	0.065	0.292
ASV_143	-1.802	10.573	0.0216598958734918	0.0642196912740371	Depleted	0.059	0.21	0.007	0.614	0.136	0.182	0.004	0.062	0.001	0.489	0	0	0	0	0	0	0	0.003	0.01	0.003	0.003	0	0.001	0	0	0	0	0.025	0.045	0.086	0.149	0.241	0.25	0.002	0.513	0.045	0.065	0.055	0.093	1.868	0.137	0.16	0.402	0.774	1.05	0.876	0.087	0.008	0.001	0.014	0.015	0	0.003	0.007	0.492	0.045	0.744	0.078	0	0	0.001	0.443	0.007	0.004	0.013	0.014	0.014	0	0	0
ASV_59	1.389	12.676	0.0222120684716305	0.0647213719259577	Enriched	0.572	0.32	0.063	0.068	0.058	0.171	10.297	0.201	0.041	0	0.168	0.025	0.248	0.966	0.676	0.001	0.96	0.387	0.037	0.057	0.01	0.079	0.039	0.026	0	0.016	0.006	0.259	0.088	0.012	0.084	0.119	0.088	0.036	0.054	0.052	0.092	0.004	3.228	0.152	0.033	0.031	0.127	0.03	0.14	0.045	0.168	0.064	0.53	0.301	0.224	0	0.182	0.52	0.069	0.557	0	0.001	0.103	1.528	0.127	0.094	0.07	0.442	0.031	3.384	0.241	0.176	0.037	0.169
ASV_80	3.55	11.449	0.0229065009265789	0.0652520977318084	Enriched	0.489	0.04	0.003	0.006	0	0.002	0.006	0	0	12.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421	0.116	0.008	0.002	0	0.023	0	0.008	0	0	0	0.002	0	0	0.005	0	0	0.004	0	0	1.091	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.001	0	0	0	0	0	0
ASV_57	1.853	12.354	0.0231664252302278	0.0652520977318084	Enriched	0.733	0.145	0.075	0.003	0.086	0.002	0.003	0.108	0	0	0.005	0	3.382	0.122	0	0.012	6.32	0.01	0.061	0.086	0.046	8.635	0.042	0.048	0	0	0	0	0.002	0.003	0.004	0	0.038	0.003	0.02	0.165	0.002	0	0.03	0.044	0.063	0.072	0.002	0	0.002	0.174	0	0.002	0.168	0.005	0.002	0.039	0.192	0	0.366	0.022	0.018	0.006	0.643	0.18	0.196	0	0	0.016	0.062	0.035	0.052	2.822	0.016	0.63
ASV_90	-1.337	11.282	0.0262659462952618	0.0727695889163809	Depleted	0.079	0.237	0.067	0.065	0.102	0.1	0.501	0.393	0.001	0.004	0.223	0.143	0	0.03	0.001	0.004	0.246	0	0.053	0.052	0	0.044	0.004	0.001	0	0	0	0.017	1.117	0.011	0.02	0.004	0.074	0.019	0.343	0.246	0.017	0.038	0.193	0.025	0.065	0.052	0.058	0.043	0.16	0.145	0.047	0.188	0.04	0.144	0.312	0.056	1.429	0.011	0.177	0.033	0.36	1.385	0.052	0.069	0.07	0.018	0.021	0.327	0.245	0.713	0.113	1.334	0.055	0.138
ASV_83	-1.684	11.114	0.0274179922160883	0.0747361400728857	Depleted	0.104	0.327	0.503	1.086	0.701	0.237	0.003	0.062	0	0	0	0	0	0.001	0	0	0.003	0	0.016	0	0	0.004	0.006	0.007	0	0.031	0.001	0.034	0.499	0.03	0.229	0.11	0.598	0.014	0.269	0.904	0.103	0.138	0.008	0.022	0.915	3.273	0.556	0.665	2.07	0.517	2.397	0.087	0.001	0.002	0.035	0.034	0	0.002	0.006	0.023	0.077	0	0.004	0.012	0.003	0.038	0.015	0.009	0.004	0.007	0.008	0.002	0.026	0.006
ASV_110	1.366	12.114	0.0286203660043896	0.0767752675355849	Enriched	0.394	0.183	0.067	0.006	0.014	0.019	6.764	0.036	0.148	0.008	0.041	0.074	0.508	0.22	0.004	0.001	0.494	0.019	0.003	0.024	0.034	0.632	0.109	0.045	0.038	0.468	0.394	0.064	0.043	0.006	0.018	0.011	0.052	0.056	0.009	0.109	0.01	0.014	0.025	0.022	0.017	0.018	0.004	0.005	0.002	0.067	0.004	0.01	0.024	0.098	0.033	0.11	1.236	0.015	0.044	0.013	0.002	0.169	0.024	0.216	3.305	0.022	0.161	0.097	1.434	0.011	0.008	0.021	0.116	0.003
ASV_156	-2.696	9.923	0.0311336666820246	0.0805805347219926	Depleted	0.029	0.144	0.002	0.006	0.017	0.707	0.003	0	0	0	0	0	0.001	0	0	0	0	0	0	0.001	0.001	0.003	0	0	0	0	0	0	0	0	0	0	0.007	0.048	0.005	0.04	0.002	0.113	1.431	0.038	0.052	0.232	0.647	1.593	0.01	0.048	1.72	0.025	0	0	0.004	0	0	0	0	0	0	0	0.04	0	0	0	0	0.005	0	0	0	0	0	0
ASV_65	1.089	12.747	0.0314434893544467	0.0805805347219926	Enriched	0.662	0.358	0.313	0.425	0.033	0.047	0.533	0.532	0.133	0	0.034	0.429	3.415	7.038	0.093	0	0.019	0.255	0.022	1.073	0.064	0.229	0.214	0.175	0.692	0.211	0.529	0.712	0.186	0.297	0.253	0.11	0.169	0.51	0.337	0.2	0.143	0.016	0.293	0.063	0.061	0.046	0.036	0.068	0.065	0.179	0.142	0.033	0.93	0.129	0.108	0.937	1.02	0.703	0.675	0.369	0.041	1.428	0.002	1.049	0.282	0.082	0.131	0.216	1.816	0.034	1.244	0.07	0.08	0.502
ASV_131	-2.727	10.172	0.0314693212523758	0.0805805347219926	Depleted	0.019	0.198	0	0	0.147	0.12	0	0	0	0.193	0.004	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0.003	0.002	0	0.004	0.002	0.013	0	0.403	7.411	0.089	0.126	0.002	0.009	0.112	0	0.004	0.002	0	0.002	0	0	0	0	0	0	0	0	0.036	0.001	0.001	0.002	0	0.001	0	0	0.006	0	0.005	0.081
ASV_25	1.383	14.18	0.0324488718231823	0.0818486468375792	Enriched	0.857	0.969	0.293	0.448	3.977	0.722	0.185	0.055	0.003	0.106	0.601	0.031	0.001	0.053	0.001	14.709	0.005	0.351	0.556	0.079	0.008	0.006	0.004	0.005	0	0	0	0.07	0.678	0.056	0.099	0.075	0.459	0.041	0.899	1.712	0.199	0.158	0.413	2.129	2.282	2.186	1.051	1.511	1.354	1.941	11.067	1.165	0.051	0.098	0.652	0.128	1.189	0.057	0.055	0.185	0.346	2.274	0.095	0.019	0.035	0.049	2.462	0.732	0.248	0.129	0.086	1.057	1.108	0.183
ASV_177	-1.451	9.743	0.0356391966837748	0.0885738858758521	Depleted	0.029	0.074	0.086	0.013	0.042	0.015	0.013	0.206	0.001	0	0.006	0	0	0	0	0.02	0.218	0	0.003	0.013	0.003	0.004	0.006	0.117	0	0	0	0	0.043	0.339	0.169	0.064	0.018	0.01	0.004	0.012	0.017	0.018	0.003	0	0.063	0.015	0.029	0.027	0.04	0.019	0.136	0.008	0.012	0.044	0.007	0.004	0.02	0.026	0.106	0.05	1.124	0.036	0.002	0.009	0.003	0.106	0.227	0.021	0	0	0.005	0.002	0.002	0.262
ASV_52	1.29	13.118	0.0391795956848886	0.0957324963965617	Enriched	0.548	0.422	0.125	0.075	0.025	0.068	0.095	0.468	0.007	0.054	0.456	0.161	0.001	0.852	0.044	0.023	0.264	0.004	11.214	0.048	0.059	0.066	0.062	0.064	0	0	0.001	0.025	0.419	0.021	0.04	0.001	0.101	0.077	0.084	0.094	0.069	0.525	0.008	0.011	0.02	0.08	0.047	0.016	0.065	0.372	0.023	0.244	0.131	1.268	0.208	0.48	0.331	1.898	0.097	3.646	0.205	3.611	0.002	0.104	0.356	0.305	0.165	0.254	0.513	0.934	0.073	0.137	0.198	0.491
ASV_1	-1.042	16.262	0.039652513300351	0.0957324963965617	Depleted	3.761	8.24	13.375	10.78	5.455	11.016	0.352	0.839	0.042	9.19	4.258	0.091	17.509	0.073	1.777	0.184	11.853	0.645	2.035	1.311	0.188	1.611	0.516	0.195	0.254	0.698	2.843	0.699	20.94	14.534	17.989	15.468	40.208	42.028	16.461	12.272	5.755	3.044	5.257	5.004	21.615	3.428	17.792	4.993	6.509	7.374	11.856	19.01	0.112	1.453	20.029	0.29	2.889	0.235	0.649	0.437	5.904	0.557	4.516	0.261	1.085	0.339	2.901	6.844	1.658	0.158	0.201	1.55	2.032	0.446
ASV_37	-1.518	12.456	0.0411229130015046	0.0978841168627363	Depleted	0.252	0.52	1.341	0.297	4.331	0.047	0.029	0.005	0.002	0.013	0.002	0.199	0.003	0	0	0	0	0.004	0.001	0.013	0.071	0.041	0.014	0.02	0	0.076	0.024	0.02	0.217	0.021	0.055	0.039	0.18	0.126	0.264	0.16	0.193	0.059	0.286	0.496	0.707	0.647	0.567	0.683	0.803	0.569	0.019	0.05	0.004	0.024	0.02	0.234	0.019	0.003	0.016	0.005	0.036	0.005	0.077	0.071	15.008	0.01	0.016	0.021	0.027	0.013	0.011	0.008	0.002	0.065
ASV_169	-1.58	8.944	0.0431167938995064	0.101204696791897	Depleted	0.024	0.055	0.005	0.026	0.125	0.361	0	0.086	0	0.004	0.002	0	0.003	0	0	0	0	0.011	0	0	0	0	0.001	0	0	0	0	0	0.003	0.044	0.092	0.162	0.029	0	0.023	0.337	0.006	0.077	0.02	0.117	0.05	0.149	0.38	0.009	0	0.257	0.008	0.204	0	0	0	0	0.012	0.003	0.008	0	0.043	0.01	0.149	0.037	0.051	0.009	0.001	0.001	0.011	0.014	0.001	0.001	0.001	0
ASV_149	-1.418	10.64	0.0468729599776764	0.108201015959091	Depleted	0.075	0.154	0.82	0.346	0.028	0.436	0.01	0	0	0.001	0.01	0	0.051	0	0	0.001	0.147	0.066	0.019	0	0	0.001	0	0.004	0	0.015	0.006	0	0.022	0.056	0.084	0.157	0.495	3.212	0.224	0.083	0.015	0.014	0.068	0.084	0.176	0.052	0.094	0.436	0.217	0.162	0.093	0.031	0.165	0.002	0.237	0	0.003	0.018	0.005	0.011	0.034	0.005	0.002	0.008	0.054	0.01	0.002	0.009	0.034	0.001	0.056	0.015	0.001	0.008
ASV_63	-1.159	11.356	0.047377959650726	0.108201015959091	Depleted	0.133	0.301	0.44	0.507	0.194	0.147	0.01	1.499	0.012	0.304	0.004	0.006	0.003	0	0.025	0	0.044	0.043	0.087	0.006	0.01	0.068	0.025	0.028	0	0	0.001	0	0.026	0.136	0.251	1.551	0.137	1.056	0.169	0.263	0.113	0.168	0.439	0.133	0.113	0.268	0.152	3.145	0.581	1.074	0.297	0.737	0.016	0.01	0.037	0.008	0.024	0.1	0.028	0.034	0.068	0.091	0.06	0.04	0.098	1.02	0.007	0.049	0.013	0.041	0.028	0.022	0.009	0.022
ASV_147	-1.252	10.38	0.0556503056322054	0.125398688691236	NotSig	0.061	0.175	0.231	0.328	0.354	0.15	0.003	0.007	0.002	0.165	0.007	0	0.004	0.001	0	0	0	0.168	0.023	0.033	0.003	0.004	0.004	0.048	0.002	0.022	0.01	0.006	0.053	0.594	0.149	0.465	0.108	0.276	0.059	0.042	0.078	0.063	0.073	0.338	0.254	0.729	0.098	1.945	0.359	0.962	0.134	0.006	0	0.032	0	0.072	0	0.02	0	0	0	0.003	0.002	0.006	0.015	0.221	0.002	0.13	0.004	0.01	0.023	0.014	0	0.013
ASV_118	-1.733	12.288	0.0613807281010447	0.136491355908902	NotSig	0.126	0.508	0	0	0.003	0.25	0.06	0.379	0.014	0	0.127	0	0.472	0	0.001	0	0	0.472	0.026	0.956	0.013	0.435	0.029	0.038	0	0	0	0	0	0.012	0.033	0.017	0	0	0	0	0.021	0.047	0.003	0.003	0	0.188	0.163	0.007	0.05	0.043	0.011	0.016	0.165	0.002	0.02	0.003	0.002	13.178	0.119	0.239	0	0	0.064	0.369	0.022	0.016	0.004	0.017	0.035	2.443	0.127	2.971	0.079	0.839
ASV_17	-0.963	11.474	0.069180960807494	0.148766321214646	NotSig	0.134	0.29	0.091	0.166	0.114	0.594	0.061	0.007	0.09	1.042	0.018	0.011	0.026	0	0.021	0.009	0.184	0.094	0.004	0.061	0.009	0.769	0.013	0.008	0	0.011	0.071	0.021	0.039	0.121	0.149	0.128	0.841	0.036	0.178	0.103	0.134	1.722	1.684	0.52	0.134	0.258	0.451	0.15	0.214	0.457	0.108	0.378	0.013	0.156	1.224	0.011	0.749	0.003	0.011	0.016	0.23	0.097	0.911	0.039	0.194	0.016	0.022	0.082	0.335	0.004	0.022	0.027	0.113	0.088
ASV_4	-1.037	14.218	0.0694314800269925	0.148766321214646	NotSig	1.12	2.363	0.856	4.704	10.376	4.79	0.464	0.698	0.023	1.849	0.138	0.004	0	0.105	0.134	0.012	0	0.107	0.548	0.128	0.084	0.951	0.147	0.168	0.002	0	0	2.824	2.036	0.527	0.615	0.209	2.593	1.391	8.563	2.191	1.098	1.357	3.962	4.773	5.014	10.057	3.893	1.747	9.03	7.481	1.529	0.506	0.147	0.511	2.354	0.079	0.132	0.511	6.101	2.393	0.64	0.161	0.062	0.293	0.096	6.335	0.274	8.547	0.901	0.418	0.171	0.1	0.43	0.009
ASV_28	-3.497	13.878	0.0702873441462078	0.148766321214646	NotSig	0.124	1.398	0	0	0	0	0.098	0	0	0	0.936	0	0	0	0	0	0	0	0.004	0.089	0.011	2.084	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0.275	0	0.002	0.001	0.531	0.989	55.504	0.953	0.459	0.006	0.003
ASV_54	1.032	12.822	0.0712179109757223	0.148766321214646	NotSig	0.605	0.41	0.115	0.112	0.1	0.092	0.641	0.626	1.439	0.011	0.127	0.013	0.003	7.76	0	0	0.083	0.412	0.045	0.01	0.014	0.019	0.015	0.175	3.055	0.106	0.556	0.193	0.065	0.352	0.387	0.053	0.05	0.017	0.061	0.123	0.143	1.626	0.09	0.144	0.102	0.317	0.011	0.034	0.115	0.262	0.197	0.07	0.98	0.149	1.417	0.004	0.037	2.454	0.755	2.541	0.153	1.295	0.018	0.084	0.012	0.017	0.478	0.193	0.014	0.334	1.622	0.198	0.047	0.179
ASV_129	1.102	11.963	0.071502101174311	0.148766321214646	NotSig	0.358	0.162	0.247	0.102	0.03	0.06	0.006	0.055	0.001	0.001	0.004	0.067	0.392	0.048	0.01	0	1.176	3.937	0.01	0.012	0.06	0.258	0.099	0.305	0.014	0.129	0.102	2.175	0.016	0.033	0.101	0.024	0.02	0.066	0.039	0.092	0.027	0.087	0.07	0.103	0.087	0.031	0.051	0.027	0.065	0.198	0.002	0.014	0.03	0.042	0.011	0	0.11	0.011	0.025	0.166	0.018	0.03	0.03	0.012	0.016	2.693	0.008	0.024	0.053	0.022	0.152	1.856	0.005	0.319
ASV_46	-1.146	11.506	0.0721824753822545	0.148766321214646	NotSig	0.166	0.333	0.861	1.398	0.584	0.173	0.012	0.945	0.017	0.127	0.006	0	0.006	0	0.029	0	0.025	0.003	0.1	0	0.004	0.001	0	0.004	0	0	0.014	0.003	0.248	0.417	0.27	0.416	0.213	0.652	0.58	1.041	0.132	0.49	0.163	0.515	0.431	1.198	0.1	0.558	0.414	0.707	3.875	0.128	0.311	0.12	0.097	0.001	0.007	0.083	0.042	0.103	0.041	0.069	0.018	0.012	0.004	0.422	0.012	0.014	0.004	0.036	0.024	0.006	0.001	0.007
ASV_152	0.897	11.264	0.0791885525341126	0.1593365250674	NotSig	0.221	0.148	0.053	0.023	0.105	0.1	0.01	0.017	0.001	0.497	0.277	0.078	0.031	0.475	0.004	0.007	0.019	0.16	0.056	0.372	0.079	2.798	0.357	0.06	0.054	0.003	0.029	0.092	0.161	0.017	0.099	0.026	0.124	0.206	0.093	0.283	0.019	0.138	0.193	0.09	0.141	0.036	0.132	0.061	0.09	0.074	0.066	0.087	0.003	0.171	2.563	0.03	0.098	0.003	0.013	0.002	0.219	0.075	0.111	0.015	0.301	0.016	0.015	0.253	0.099	0.007	0.004	0.027	0.018	0.058
ASV_38	1.035	13.468	0.0791968526962225	0.1593365250674	NotSig	0.485	0.467	0.211	0.177	0.039	0.122	0.444	0.125	5.139	0.008	0.089	2.386	0.046	1.583	0.456	0.059	0.013	0.024	0.027	0.073	0.515	0.124	0.185	0.395	0.182	0.142	0.037	0.006	0.191	0.009	0.037	0.046	0.065	0.301	0.208	0.037	0.071	0.071	0.454	0.106	0.056	0.044	0.02	0.025	0.354	0.164	0.074	0.05	0.301	0.555	0.16	1.47	0.197	0.142	0.042	0.504	0.052	0.043	0.004	3.208	0.458	0.159	5.657	0.425	0.138	0.654	0.39	0.087	0.453	2.118
ASV_130	-1.046	10.41	0.0836039773789839	0.165102010803672	NotSig	0.064	0.145	0.116	0.268	0.307	0.079	0.01	0.007	0.002	0.637	0.098	0.001	0	0.035	0	0.001	0.003	0.003	0.052	0.008	0.001	0.01	0.014	0.011	0.002	0	0.001	0	0.091	0.023	0.385	0.101	0.204	0.238	0.093	0.528	0.059	0.063	0.085	0.052	0.273	0.327	0.105	0.011	0.095	0.091	0.049	0.128	0.006	0.03	2.348	0.001	0.04	0.007	0.006	0.005	0.039	0.001	0.064	0.032	0.028	0.005	0.032	0.282	0.036	0.001	0.003	0.002	0.119	0.008
ASV_14	-0.985	14.055	0.0847272103531458	0.165102010803672	NotSig	0.628	1.339	0.545	0.828	0.066	0.083	4.146	1.072	0.491	0.001	0.32	1.765	1.258	1.333	0.009	0.005	0.204	0.02	0.031	0.04	0.081	1.532	0.038	0.171	1.473	0.172	0.212	0.44	0.668	0.086	0.268	0.291	0.18	0.293	0.578	0.303	0.145	0.03	0.293	0.101	0.078	0.108	0.056	0.111	0.125	0.288	0.293	0.105	1.811	0.688	0.182	10.092	1.587	1.41	1.244	0.371	0.061	2.263	0.03	1.392	1.632	0.21	3.947	0.691	5.308	0.396	9.885	0.648	0.626	7.346
ASV_8	-0.983	14.168	0.0849933428397599	0.165102010803672	NotSig	0.859	1.625	1.461	1.262	0.385	0.547	0.152	2.535	0.001	0	0.284	0.003	0.037	0.389	0.003	0.028	0.004	0.031	0.1	0.164	1.038	1.541	0.55	2.874	5.655	1.016	2.224	0.042	0.065	2.025	1.613	1.114	0.218	0.054	0.497	0.676	0.312	0.136	0.792	1.331	0.488	0.503	0.473	0.835	0.611	0.798	0.229	0.206	1.138	0.088	0.312	0.035	0.73	0.82	1.435	8.962	0.184	8.221	0.083	3.104	0.124	0.382	0.062	0.197	0.544	0.294	13.889	5.908	5.974	2.803
ASV_87	0.854	12.468	0.0921670136133937	0.177002560234813	NotSig	0.513	0.343	0.3	0.244	0.169	0.182	0.006	1.055	0.012	0.039	0.188	0.041	2.447	0.026	0.001	0.009	0.057	0.003	0.07	0.084	0.787	1.135	0.525	3.316	2.357	0.167	0.108	0.01	0.098	0.08	0.235	0.42	0.016	0.061	0.029	0.049	0.782	0.115	0.113	1.133	0.327	0.284	0.045	0.118	0.067	0.524	0.032	0.048	0.947	1.045	0.162	0.083	0.993	0.381	0.186	2.674	0.02	1.036	0.067	0.067	0.426	0.046	0.007	0.07	0.053	0.266	0.264	0.175	0.098	0.753
ASV_122	-0.993	10.141	0.0946896385787374	0.179803920447265	NotSig	0.042	0.101	0.039	0.015	0.055	0.038	0.2	0.082	0.049	0	0.023	0.001	0	0.4	0.012	0.001	0	0	0.005	0.003	0	0.06	0	0.004	0.063	0	0.02	0.014	0.078	0.041	0.031	0.003	0.038	0.092	0.045	0.005	0.008	0.196	0.053	0.054	0.102	0.052	0.06	0.039	0.055	0.141	0.013	0.002	0.009	0.042	0.169	0.249	0.046	0.013	0.045	0.002	0.03	0.004	0.022	0.062	0.168	0.098	0.001	0.157	1.365	0.015	0.471	0.041	0.018	0.091
ASV_41	-0.905	10.93	0.112672079203503	0.211456881756789	NotSig	0.081	0.172	0.116	0.115	0.075	0.028	0.051	0.01	0.044	0.281	0.061	0.003	0	0	0.024	0.131	0	0.063	0.016	0.006	0.004	0.306	0.008	0.004	0	0.007	0.725	0.041	0.037	0.089	0.161	0.098	0.405	0.019	0.165	0.035	0.046	0.916	0.145	0.256	0.035	0.121	0.031	0.107	0.057	0.191	0.017	0.054	0.028	0.061	1.841	0.004	0.121	0.002	0.009	0.005	0.533	0.017	0.637	0.016	0.012	0.001	0.176	0.268	0.208	0.036	0.115	0.099	0.023	0.034
ASV_77	-0.991	10.77	0.11386139786904	0.211456881756789	NotSig	0.1	0.236	0.158	0.843	0.471	0.186	0.007	0.002	0.001	0.717	0.023	0.003	0.003	0.008	0	0.012	0	0.04	0.004	0.106	0.001	0.007	0.001	0	0	0	0	0	0.047	0.05	0.017	0.018	0.15	0.085	0.33	0.168	0.122	0.883	1.797	1.171	0.243	0.193	0.176	0.506	0.663	0.845	0.036	0.066	0.004	0.059	0.044	0.001	0.066	0.011	0.005	0.006	0.043	0.074	0.006	0.023	0.018	0.013	0.053	1.77	0.018	0.045	0.005	0.007	0.07	0.008
