ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	IE03P013	IE03P020	IE03P027	IE03P052	IE03P053	IE03P062	IE03P069	IE03P070
ASV_43	-0.58	12.589	0.504218405882932	0.751978527819878	NotSig	0.431	0.61	0.189	0.179	0.175	1.163	0.623	0.591	0.704	0.044	0.21	0.08	0.309	0.194	0.82	2.112	0.768	0.402	0.191
ASV_41	-0.656	11.217	0.50472348588034	0.751978527819878	NotSig	0.154	0.272	0.135	0.002	0.047	0.219	0.264	0.255	0.412	0.029	0.022	0.611	0.006	0.023	0.04	1.31	0.104	0.072	0.012
ASV_21	-0.693	13.487	0.514857145011227	0.751978527819878	NotSig	0.908	1.064	0.166	0.354	0.68	0.129	0.452	5.893	0.048	0.355	0.094	0.033	5.434	0.002	0.381	0.455	1.988	0.064	0.155
ASV_9	0.6	13.571	0.518618819991276	0.751978527819878	NotSig	1.25	0.737	2.486	2.743	0.098	0.119	1.052	0.877	0.112	1.203	2.556	0.735	2.247	1.655	0.082	0.261	0.283	0.465	0.171
ASV_117	0.665	8.53	0.519646821835956	0.751978527819878	NotSig	0.031	0.022	0.038	0.03	0.006	0.042	0	0.029	0.005	0.043	0.088	0.078	0.022	0	0.014	0.051	0.001	0.006	0.004
ASV_209	-0.631	9.748	0.520600519259915	0.751978527819878	NotSig	0.05	0.071	0.01	0.009	0.017	0.171	0.048	0.005	0.084	0.031	0.078	0.071	0.019	0.328	0.011	0.013	0.01	0.004	0.111
ASV_154	0.597	11.308	0.536750546670372	0.762396651359145	NotSig	0.232	0.164	0.056	0.102	0.079	0.635	0.174	0.13	0.008	0.019	0.884	0.157	0.563	0.219	0.102	0.236	0.009	0.006	0.022
ASV_31	-0.706	13.374	0.536835511903777	0.762396651359145	NotSig	0.614	1.08	0.207	1.543	0.016	0.313	0.037	0.074	0.016	2.562	0.758	5.771	1.956	0.777	0.008	0.085	0.005	0.025	0.014
ASV_121	-0.542	10.473	0.561318422203131	0.790523444602743	NotSig	0.099	0.126	0.028	0.011	0.074	0.064	0.191	0.293	0.218	0.01	0.001	0.137	0.007	0.023	0.397	0.082	0.112	0.182	0.065
ASV_73	0.591	12.967	0.574539193022452	0.802455567114003	NotSig	0.892	0.419	0.35	0.056	1.27	0.025	0.36	5.592	0.236	0.123	0.016	0.054	0.085	0.006	1.02	0.354	0.761	0.082	0.988
ASV_67	-0.622	9.944	0.583501171211823	0.808292606022936	NotSig	0.088	0.084	0.002	0.007	0	0.028	0.642	0.033	0.01	0.059	0.015	0.047	0.007	0.535	0.048	0.016	0.018	0.002	0.001
ASV_29	-0.501	11.831	0.593964903617213	0.816098119604138	NotSig	0.327	0.334	0.923	1.063	0.012	0.059	0.603	0.151	0.036	0.035	0.057	1.592	0.356	0.061	0.093	0.064	0.031	0.182	0.291
ASV_54	0.533	11.985	0.604831465843672	0.821776495814749	NotSig	0.313	0.225	0.067	0.084	0.004	0.086	0.123	0.092	0.026	0.176	2.161	0.107	0.184	0.692	0.014	0.118	0.044	0.066	0.57
