ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082	HE10P003	HE07P004	HE07P010	HE07P012	HE07P019	HE07P021	HE07P022	HE07P023	HE07P024	HE07P025	HE05P026	HE07P028	HE07P046	HE07P047	HE07P048	HE10P049	HE07P051	HE10P054	HE07P055	HE07P056	HE07P057	HE07P058	HE07P059	HE07P061	HE07P063	HE07P064	HE07P066	HE07P068	HE07P071	HE07P072	HE07P073	HE07P074	HE07P075	HE07P077	HE07P078
ASV_9	0.418	14.053	0.252480134950189	0.515601544685623	NotSig	1.672	1.055	0.4	1.456	3.252	1.7	8.245	4.31	1.362	0.646	2.391	0.777	0.448	9.432	2.376	0.889	1.25	2.278	0.488	0.293	0.308	0.231	0.121	0.194	0.111	1.083	0.132	1.855	0.924	0.802	0.989	0.439	1.228	1.95	0.73	0.466	0.859	0.927	0.427	9.11	0.327	1.422	1.141	0.744	3.052	3.348	0.924	0.623	0.839	1.011	0.773	0.553	2.08	0.111	0.133	0.427	0.165	0.524	0.123	0.235	0.603	0.109	0.652	1.687	0.589	0.922	0.188	0.417	1.521	0.335	0.492	0.347	0.479	1.956	2.007	6.384
ASV_40	-0.52	13.718	0.253298115836469	0.515601544685623	NotSig	0.911	1.145	0.288	0.186	0.138	0.037	0.016	0.442	0.088	0.163	0.423	0.207	0.704	0.045	0.081	0.102	0.042	1.787	1.378	4.338	0.553	0.34	1.174	0.92	0.27	2.923	0.733	0.755	6.335	0.522	0.124	0.362	3.764	0.784	2.363	0.443	0.205	0.59	1.448	0.228	0.217	0.169	0.182	0.03	0.081	0.294	0.319	0.195	0.175	0.072	0.044	0.216	0.027	0.409	0.159	0.731	0.176	0.315	0.634	0.289	0.369	1.098	2.338	1.577	23.464	1.267	1.003	0.169	0.61	0.754	0.69	1.111	0.302	0.36	0.341	0.116
ASV_83	-0.57	11.782	0.256275323985753	0.515601544685623	NotSig	0.29	0.317	0.204	0.232	0.431	0.097	0.71	0.012	0.224	1.343	0.059	0.014	0.017	0.017	0.099	0.002	0	0.595	0.044	0.586	0.069	0.038	0.044	0.032	0.01	0.126	0.066	0.071	0.702	2.627	0.149	0.153	0.168	0.363	0.027	0.435	0.085	0.753	0.7	0.003	0	0.231	0.036	0.041	0.017	0.647	0.804	0.012	0.014	0.018	0.002	0	0	0.087	0.378	0.057	0.034	0.07	0.192	0.026	0.012	0.122	0.254	0.036	0.149	0.074	1.098	0.101	0.098	0.029	0.302	0.071	3.468	0.558	2.052	0.001
ASV_6	-0.537	14.625	0.266266496182596	0.529400445351279	NotSig	1.55	2.005	1.356	0.849	1.092	0.718	0.749	0.079	0.752	0.516	0.016	0.145	0.035	0.172	0.482	0.148	4.91	0.417	1.519	0.696	1.795	0.31	9.771	4.431	2.654	2.06	0.302	1.311	0.403	1.172	4.353	0.736	0.766	1.205	2.247	0.336	0.248	1.688	9.994	0.014	0.022	0.534	0.556	0.243	0.068	0.273	0.09	0.056	0.028	0.563	0.169	0.232	0.155	14.745	17.764	0.469	0.259	1.066	1.369	1.838	0.92	0.757	0.322	1.219	0.161	0.122	0.155	6.214	5.694	3.639	0.123	1.108	5.995	1.14	2.099	0.011
ASV_235	0.413	10.796	0.272589963664229	0.535670975107613	NotSig	0.155	0.111	0.059	0.015	0.013	0.01	0.046	0.231	0.016	0.045	0.322	0.073	0.451	0.042	0.056	0.217	0.02	0.344	0.466	0.532	0.133	0.198	0.398	0.464	0.186	0.503	0.068	0.067	0.286	0.031	0.012	0.019	0.123	0.041	0.245	0.046	0.016	0.054	0.107	0.061	0.015	0.021	0.041	0.006	0.019	0.022	0.332	0.418	0.173	0.047	0.022	0.373	0.006	0.186	0.054	0.146	0.059	0.095	0.167	0.242	0.194	0.115	0.158	0.198	0.133	0.13	0.025	0.005	0.075	0.047	0.05	0.129	0.046	0.044	0.089	0.013
ASV_3	-0.507	15.504	0.282161262138772	0.54810635978681	NotSig	3.321	4.166	23.651	2.299	11.793	1.836	7.42	0.759	0.874	7.772	4.266	1.764	10.642	17.217	2.022	0.289	0.183	0.797	0.135	0.867	0.08	0.055	0.385	0.281	0.215	0.393	0.075	2.111	9.851	0.677	0.566	0.413	0.607	2.233	0.624	6.946	5.497	1.892	1.114	0.903	0.017	3.355	10.011	1.059	0.262	5.876	29.363	3.5	2.787	27.362	0.604	0.448	0.712	0.097	0.804	1.315	0.209	0.08	0.225	4.291	0.187	0.714	0.158	0.309	2.515	5.339	0.216	0.883	0.302	0.501	5.816	3.99	24.796	6.259	0.633	0.831
ASV_114	-0.633	9.867	0.287700555281017	0.552515839119226	NotSig	0.062	0.102	0.049	0.012	0.007	0.016	0.011	0.027	0.021	1.264	0.006	0.007	0.041	0.021	0.004	0.002	0.002	0.086	0.001	0.004	0.335	0.027	0	0.003	0	0.012	0.06	0.039	0.002	0.015	0.007	0.023	0.052	0.031	0.014	0.003	0.007	0.18	0.014	0.008	0.006	0.07	0.006	0.017	0.072	2.607	0.021	0.002	0.035	0.012	0.02	0.003	0.027	0.001	0.001	0.004	0	0.011	0.002	0	0.003	0	0.48	0.009	0.008	0.002	0	0.02	0.022	0.015	0.004	0.006	0.002	0.071	0.003	0.003
ASV_76	0.383	11.852	0.292377278743125	0.5542088390727	NotSig	0.333	0.221	0.063	0.112	0.118	0.449	0.104	0.212	0.091	0.097	3.254	0.214	0.218	0.498	1.119	0.328	2.014	0.12	0.092	0.117	0.082	0.136	0.092	0.156	0.329	0.846	0.064	0.139	0.07	0.207	0.134	0.105	0.141	0.185	0.118	0.063	0.19	0.129	0.521	0.036	0.012	0.077	0.101	0.131	0.238	0.233	0.491	0.209	0.253	0.111	0.255	0.247	1.064	0.049	0.081	0.289	0.126	0.073	0.409	0.118	0.188	0.267	0.077	0.185	0.233	0.069	0.075	0.405	0.051	0.093	0.102	0.336	0.064	0.12	0.782	0.131
ASV_50	-0.737	13.215	0.295140801873036	0.5542088390727	NotSig	0.487	0.928	0.142	0.172	1.816	0.034	0	0	0	0.023	0.008	0.014	0.3	0.011	0	0	0	0.509	0.009	0.037	1.87	0.016	0.146	1.023	0.133	0.037	0.013	0.014	0.11	0.732	0.264	0.272	0.58	0.322	8.341	0.125	0.488	0.18	1.208	0.002	0.034	0.104	0.108	0	0	0.022	0.04	0.014	0.163	0.004	0	0	0	0.013	0.022	0.255	0.011	0.084	0.153	0.14	16.441	0.094	0.114	0.005	0.013	0.011	0.075	0.254	5.592	5.031	0.384	1.11	1.643	0.513	0.072	0
ASV_157	0.606	8.077	0.298850610164152	0.555008276019139	NotSig	0.021	0.015	0.03	0.025	0.02	0.001	0	0.014	0.005	0.038	0.053	0.095	0.166	0.074	0.011	0.002	0.018	0.018	0.001	0.013	0.005	0.091	0	0.006	0.001	0.001	0.001	0.003	0	0.027	0	0.012	0.004	0	0.011	0.001	0.001	0.025	0	0	0.051	0.02	0.036	0.002	0.1	0.014	0.08	0.068	0.078	0.07	0.01	0.003	0.004	0	0.002	0	0	0	0	0.001	0	0	0.005	0.008	0	0	0.01	0	0.002	0.007	0.004	0	0.002	0.005	0	0.004
ASV_121	-0.491	11.046	0.309301623995024	0.568173635382163	NotSig	0.12	0.18	0.009	0.005	0.15	0.009	0.002	0.002	0.003	0.008	0.004	0	0.006	0.013	0.121	0.005	0.004	0.539	0.038	0.24	0.102	0.11	0.026	0.062	0.078	0.158	1.224	0.125	0.129	0.223	0.261	0.063	0.114	0.109	0.052	0.365	0.032	0.109	0.173	0.012	0.003	0.216	0.031	0.006	0.004	0.044	0.016	0.009	0.021	0.008	0.65	0.015	0.006	0.017	0.111	0.35	0.023	0.041	0.282	0.019	0.027	0.077	0.969	0.39	0.351	0.211	0.576	0.27	0.067	0.029	0.49	0.142	0.3	0.108	0.411	0.005
ASV_138	-0.568	12.188	0.328820583361264	0.597534178366168	NotSig	0.303	0.364	0.15	0.268	0.013	0.085	0.069	0	1.812	0.154	0.069	0.402	0.134	0.288	0.004	0.03	0	0.006	0.006	0.004	0.013	0.119	0.01	0.012	0.035	0.008	0.013	0.101	0.212	0.027	0.061	0.678	0.401	0.642	0.031	5.112	0.133	0.441	0.263	0.016	0.002	0.062	0.163	0.051	0	0.093	0.045	0.261	0.296	0.469	0.032	0.044	0.018	0.004	0.007	0.005	0.031	0.048	0.016	0.011	0.012	0.03	0.077	0.009	0.014	0.13	0.02	0.137	0.133	0.049	0.69	0.095	9.079	0.307	0.22	0.077
ASV_189	-0.28	11.231	0.340133647266326	0.605628946169232	NotSig	0.197	0.205	0.112	0.411	0.067	0.424	0.226	0.103	0.34	0.301	0.065	0.236	0.218	0.67	0.253	0.566	0.147	0.099	0.056	0.467	0.061	0.059	0.02	0.097	0.217	0.115	0.113	0.171	0.052	0.449	0.16	0.137	0.083	0.129	0.05	0.333	0.118	0.267	0.263	0.008	0.006	0.318	0.395	0.152	0.251	1.365	0.292	0.099	0.13	0.101	0.108	0.121	0.125	0.062	0.259	0.16	0.035	0.032	0.419	0.107	0.088	0.06	0.065	0.054	0.086	0.119	0.143	0.198	0.1	0.145	0.392	0.139	0.107	0.276	0.41	0.266
ASV_126	0.44	8.521	0.345663877149948	0.605628946169232	NotSig	0.029	0.021	0.031	0.002	0.002	0.019	0.016	0.002	0.01	0.065	0.095	0.07	0.076	0.064	0.022	0.023	0.108	0.033	0.007	0.007	0.091	0.023	0.007	0.013	0.001	0.003	0.02	0.004	0	0.119	0.007	0.014	0.011	0.018	0.073	0.006	0.001	0	0.004	0.012	0.046	0	0.003	0.007	0.006	0.024	0.069	0.071	0.099	0.055	0.042	0.015	0.029	0.001	0	0.004	0.004	0.007	0.002	0	0.003	0.003	0.026	0.07	0.006	0	0.013	0.01	0.082	0.003	0.001	0.006	0.003	0.014	0	0.058
ASV_48	0.424	12.364	0.350872892279809	0.605628946169232	NotSig	0.463	0.328	1.578	1.48	0.089	0.087	0.453	1.147	0.238	0.742	0.081	0.082	0.46	0.144	0	0.046	0.024	1.951	0.104	1.107	0.123	0.08	0.053	0.068	0.171	0.136	0.335	0.448	0.199	0.079	0.426	0.093	0.011	0.068	0.029	0.02	0.269	1.092	0.071	4.466	0.02	0.066	0.105	0.075	0.149	0.366	0.058	0.033	1.083	0.039	0.015	0.008	0.022	0.655	0.29	1.852	0.25	0.046	0.156	0.095	0.098	0.055	0.767	0.167	0.358	0.13	0.013	0.763	0.288	1.223	0.026	0.63	0.061	0.49	0.07	0.967
ASV_89	0.335	10.377	0.358207466412258	0.605628946169232	NotSig	0.116	0.09	0.049	0.022	0.047	0.097	0.083	0.219	0.152	0.015	0.144	0.066	0.067	0.07	0.009	0.005	0.119	0.229	0.025	0.116	0.692	0.1	0.042	0.168	0.041	0.195	0.026	0.077	0.142	0.198	0.128	0.063	0.208	0.035	0.565	0.036	0.044	0.071	0.15	0.002	0.022	0.049	0.061	0.039	0.251	0.05	0.029	0.033	0.043	0.027	0.005	0.003	0.016	0.001	0.03	0.099	0.015	0.169	0.123	0.046	0.088	0.09	0.111	0.62	0.279	0.043	0.271	0.065	0.104	0.027	0.091	0.051	0.044	0.063	0.113	0.005
ASV_75	0.373	11.898	0.359093945524605	0.605628946169232	NotSig	0.346	0.242	0.407	0.07	0.485	0.257	0.309	0.072	0.088	0.116	0.036	0.366	0.047	0.061	0.202	1.048	0.029	0.028	1.226	0.051	0.072	0.098	0.108	0.169	0.311	0.138	0.234	1.229	0.573	0.214	1.681	0.334	1.306	0.493	0.556	0.171	0.152	0.244	0.443	0.078	0.005	0.04	0.041	0.004	0.038	0.054	1.309	0.136	0.035	0.064	0.01	0.036	0.016	0.079	0.101	0.035	0.025	1.528	0.037	0.446	0.314	0.052	0.155	0.144	0.13	0.967	0.048	0.374	0.184	0.354	0.05	0.492	0.66	0.396	0.091	0.039
ASV_109	-0.468	9.637	0.360523262437604	0.605628946169232	NotSig	0.051	0.052	0.007	0.029	0.012	0.078	0.078	0.065	0.048	0.003	0.016	0.043	0.038	0.187	0.222	0.072	0.467	0.003	0.007	0.01	0	0.006	0.006	0.119	0.059	0.039	0	0.01	0	0.027	0.003	0.012	0.002	0.016	0.162	0.01	0.06	0.013	0.007	0.042	0.008	0.008	0.006	0.103	0.026	0.017	0.027	0.016	0.031	0.006	0.069	0.041	0.706	0.003	0.002	0.006	0.003	0.004	0.002	0.036	0.077	0.013	0.004	0.005	0.004	0.006	0	0.007	0.002	0.069	0.008	0.165	0.02	0.005	0.016	0.311
ASV_207	0.674	10.07	0.361554271828466	0.605628946169232	NotSig	0.103	0.054	0.009	0.005	0	0.001	0	0.007	0.005	0.005	0.292	2.292	0.044	0.045	0.117	0.506	0.169	0	0.004	0	0	0.019	0.026	0.001	0.01	0	0.015	0.004	0	0	0.003	0.114	0.103	0.01	0.018	0.004	0.08	0	0	0.012	0.092	0	0	0	0.002	0.001	0.053	0.635	0.05	0.031	0.091	0.571	0.112	0.001	0.009	0	0	0.003	0.006	0.056	0.003	0.004	0	0.012	0	0.002	0.038	0	0	0.024	0.16	0.02	0	0	0.016	0.005
ASV_63	-0.44	12.252	0.361943926408831	0.605628946169232	NotSig	0.345	0.386	0.087	0.285	0.187	0.145	0.232	0.353	0.005	0.062	0.006	0.007	0.052	0.032	0.009	0.018	0.02	0.096	0.102	0.68	0.063	0.077	0.071	0.829	0.064	0.043	0.064	0.199	0.819	0.247	2.12	0.262	0.233	0.431	0.068	0.064	4.351	0.522	0.284	0.251	0	0.087	0.203	0.047	0.202	0.055	0.037	0.009	0.031	0.023	0.002	0.023	0.008	0.359	4.797	0.114	0.111	0.443	0.253	0.243	0.4	0.059	0.101	0.215	0.364	1.267	0.236	1.094	0.061	0.46	0.047	1.006	0.251	0.706	0.186	0.011
ASV_130	0.464	11.851	0.373143326004501	0.613424590573474	NotSig	0.273	0.214	0.033	0.104	0.035	0.26	0.061	0.026	0.034	0.044	0.012	0.002	0.009	0.006	0.002	0.005	0	0.705	0.101	0.082	1.396	1.102	0.964	0.069	0.074	0.42	2.698	0.217	0.351	0.323	0.127	0.218	0.15	0.238	0.033	0.315	0.03	0.188	0.151	0.045	0.008	0.032	0.024	0.064	0.032	0.029	0.027	0	0.031	0.006	0	0.003	0	0.075	0.229	0.485	0.317	0.262	0.174	0.146	0.092	0.433	1.519	0.345	0.351	0.058	0.677	0.366	0.353	0.097	0.767	0.091	0.008	0.316	0.092	0.005
ASV_22	-0.371	11.963	0.373862324432354	0.613424590573474	NotSig	0.326	0.333	0.056	0.102	0.054	0.964	0.141	1.038	0.124	0.073	0.014	0.13	0.003	0.004	0.081	0.42	0.026	1.859	0.254	0.29	0.195	0.101	0.325	0.341	1.028	0.452	0.184	0.13	0.055	1.779	0.037	0.532	0.13	0.975	0.193	0.117	0.038	0.125	0.1	0.176	0.048	0.051	0.314	0.157	0.811	0.064	0.024	0.075	0.099	0	0.113	0.558	0.031	0.193	0.26	0.441	0.259	0.062	1.029	4.082	0.172	0.521	0.079	0.047	0.073	0.039	0.02	0.064	0.096	0.568	0.511	0.295	0.034	0.036	0.288	0.201
ASV_188	0.399	9.566	0.41226434144466	0.669929554847573	NotSig	0.055	0.044	0.028	0	0.005	0.023	0.032	0	0.003	0.008	0.063	0.061	0.393	0.093	0.004	0.009	0.059	0.129	0.016	0.009	0.101	0.058	0.025	0	0.003	0.301	0.008	0.008	0.017	0.067	0.066	0.044	0.027	0.004	0.014	0.006	0.011	0.013	0.069	0.003	0.347	0	0	0.022	0.004	0.003	0.05	0.056	0.066	0.197	0.044	0.015	0.008	0.004	0.01	0.088	0.016	0.03	0.045	0.013	0.005	0.023	0.037	0.176	0.018	0.014	0.1	0.241	0.147	0.001	0.036	0.018	0.003	0.003	0.045	0.008
ASV_311	0.339	11.023	0.422385304457319	0.679839204317018	NotSig	0.189	0.131	0.073	0.02	0.076	0.009	0.014	0.021	0.012	0.048	0.006	0.111	0.015	0.072	0.078	0.369	0.037	0.2	0.26	0.448	0.966	0.043	0.074	0.668	0.109	1.244	0.079	0.052	0.08	0.082	0.654	0.016	0.036	0.64	0.202	0.037	0.237	0.022	0.079	0.167	0.002	0.018	0.027	0.037	0.021	0.044	0.247	0.066	0.007	0.012	0.012	0.072	0.02	0.026	0.04	0.028	0.041	0.439	0.405	0.165	0.312	0.653	0.043	0.118	0.049	0.174	0.013	0.106	0.765	0.118	0.036	0.316	0.03	0.047	0.056	0.02
ASV_5	-0.257	14.087	0.451026310183436	0.715740820804329	NotSig	1.407	1.493	0.823	1.273	0.779	0.841	2.434	1.767	1.452	0.543	0.138	0.348	0.917	0.293	0.379	0.09	0.304	1.981	2.033	1.403	0.554	0.515	0.942	2.686	0.543	4.718	0.499	3.635	0.657	1.336	0.509	0.632	0.939	0.753	1.7	2.76	9.494	2.765	0.737	0.691	0.028	2.213	1.61	0.655	1.601	1.047	0.119	0.118	0.527	0.22	0.147	0.095	0.161	0.703	1.174	3.081	1.038	0.763	4.73	1.176	1.89	1.837	3.056	3.349	2.082	0.286	0.556	3.617	0.694	0.92	0.581	4.139	0.579	3.958	3.267	0.248
ASV_141	-0.316	10.571	0.465906999720776	0.715740820804329	NotSig	0.125	0.135	0.037	0.037	0.039	0.035	0.034	0.14	0.021	0.011	0.04	0.039	0.009	0.036	0.02	0.021	0.011	0.079	0.041	2.288	0.05	0.033	0.022	0.041	0.006	0.255	0.016	0.238	0.012	0.058	0.04	0.046	0.069	0.076	0.046	0.409	0.231	0.072	0.201	0.017	0	0.219	0.058	0.002	0.109	0.23	0.058	0.026	0.005	0.01	0.005	0.077	0.112	0.044	0.18	0.125	0.06	0.09	0.056	0.042	0.026	0.074	0.795	0.297	0.095	0.003	0.128	0.018	0.012	0.022	0.124	0.081	0.036	0.256	1.247	0.004
ASV_97	-0.286	11.501	0.469634759733947	0.715740820804329	NotSig	0.23	0.216	0.087	0.62	0.384	0.414	0.269	0.855	0.067	0.113	0.78	0.332	0.116	1.077	0.545	0.342	0.33	0.166	0.108	0.037	0.031	0.094	0.02	0.046	0.011	0.196	0.021	0.151	0.032	0.034	0.033	0.105	0.112	0.101	0.091	0.038	0.889	0.023	0.023	0.235	0.034	0.351	0.233	0.694	0.364	0.277	0.167	0.181	0.13	1.763	0.091	0.229	0.449	0.01	0.01	0.072	0.02	0.182	0.031	0.096	0.123	0.017	0.107	0.202	0.021	0.085	0.01	0.069	0.033	0.021	0.029	0.305	0.09	0.167	0.145	0.795
ASV_28	-0.946	7.584	0.469815115746155	0.715740820804329	NotSig	0.007	0.014	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0.009	0	0	0.008	0	0.088	0.107	0.05	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135	0	0.001	0	0	0.08	0.122	0.065	0.082	0.005	0	0.001	0	0	0	0	0	0	0	0	0	0	0
ASV_79	-0.284	12.373	0.470324731370141	0.715740820804329	NotSig	0.377	0.388	0.056	0.056	0.034	0.44	0.972	0.144	0.028	0.163	0.061	0.141	1.033	0.108	0.146	2.023	0.057	0.367	1.057	0.183	1.128	0.503	0.741	0.324	0.203	0.174	0.942	0.496	0.102	0.247	0.487	0.602	0.394	0.244	0.196	0.064	0.054	0.439	0.248	0.022	0.008	0.046	0.055	0.148	0.147	0.085	0.64	0.284	0.721	0.043	0.047	0.152	0.055	0.355	0.413	0.355	1.367	0.839	0.293	1.44	1.872	0.098	0.722	0.637	0.079	0.072	0.178	0.273	0.923	0.28	0.295	0.226	0.033	0.282	0.122	0.012
ASV_38	-0.295	11.641	0.477207125191697	0.715740820804329	NotSig	0.239	0.272	0.052	0.034	0.034	0.27	0.125	1.161	0.228	0.216	0.597	0.489	0.437	0.261	0.282	0.314	0.808	0.093	0.059	0.072	0.111	0.042	0.019	0.066	0.017	0.143	0.064	0.071	0.03	0.824	0.033	0.592	0.087	0.123	0.186	0.798	0.081	0.161	0.021	0.065	0.251	0.041	0.031	0.101	3.529	0.286	0.212	0.538	0.622	0.138	0.518	0.458	0.88	0.019	0.029	0.051	0.014	0.064	0.056	0.01	0.035	0.005	0.107	0.198	0.038	0.045	0.033	0.034	0.157	0.14	0.788	0.08	0.036	0.096	0.008	0.123
ASV_73	-0.357	11.874	0.477332389289936	0.715740820804329	NotSig	0.398	0.411	0.241	0.438	0.141	0.021	0.016	0.243	0.234	0.216	0.002	0.011	0.015	0.004	0.016	0.002	0.002	0.356	0.043	0.119	0.116	0.129	0.025	0.087	0.064	0.189	0.11	0.955	0.261	8.086	0.121	0.295	0.329	0.021	0.052	0.209	0.021	1.915	0.384	0.03	0.011	0.259	0.163	0.011	0.922	0.183	0.013	0	0.002	0.002	0.017	0.005	0.002	0.057	0.187	0.386	0.064	0.079	0.067	0.046	0.11	0.199	0.087	0.174	0.156	0.085	0.845	0.251	0.267	0.043	0.136	0.02	0.195	6.583	2.731	0.026
ASV_32	-0.275	12.117	0.478572264798161	0.715740820804329	NotSig	0.335	0.351	0.117	0.087	0.204	0.122	0.077	0.209	0.179	0.585	0.514	0.214	0.242	0.125	0.045	0.083	0.037	0.527	0.124	0.12	0.226	0.071	0.242	0.122	0.101	1.322	0.074	0.148	3.633	0.43	0.258	0.135	0.177	0.417	0.141	0.241	0.544	0.281	0.879	0.016	0	0.119	0.083	0.065	0.33	0.514	0.26	0.449	0.08	0.173	0.096	0.183	0.045	0.039	0.026	0.665	0.147	0.14	1.454	0.072	0.137	0.597	0.195	0.326	2.246	0.877	0.125	0.618	0.222	0.059	0.213	0.421	0.958	0.257	0.092	0.013
ASV_7	0.322	14.439	0.495595861517513	0.73469912803912	NotSig	1.792	1.416	0.61	0.314	0.226	6.909	1.495	0.154	3.035	5.474	2.296	1.3	1.935	2.192	7.999	2.076	19.546	0.641	0.662	0.145	0.139	0.038	0.295	0.33	0.113	0.764	0.132	0.321	0.234	0.284	0.043	0.804	0.419	0.353	0.526	0.06	0.272	1.035	0.36	0.672	5.666	0.691	0.327	2.531	0.09	5.477	2.097	1.535	7.591	0.82	4.174	1.966	5.744	0.041	0.056	0.118	0.055	0.276	0.595	0.138	0.134	0.538	0.769	7.064	0.495	0.188	0.261	0.141	0.157	0.302	0.101	0.487	0.341	0.346	0.091	3.832
ASV_34	-0.293	12.203	0.514025413196122	0.753754118926014	NotSig	0.373	0.423	0.465	3.094	0.283	0.36	0.433	0.277	0.476	2.432	0.055	0.059	0.087	0.231	0.464	0.432	0.726	1.294	0.055	0.045	0.05	0.289	0.012	0.087	0.422	0.014	0.009	0.076	0.06	0.186	0.402	0.274	0.455	0.094	0.193	0.031	0.145	0.13	0.151	0.118	0.068	0.939	6.146	0.178	0.177	2.603	0.788	0.179	0.123	0.775	0.196	0.183	0.619	0.018	0.025	0.041	0.012	0.105	0.039	0.019	0.397	0.007	0.058	0.021	0.006	0.047	0.015	0.333	0.063	0.125	0.039	0.122	0.043	0.148	0.097	0.107
ASV_134	-0.248	10.108	0.517369691097146	0.753754118926014	NotSig	0.08	0.089	0.035	0.056	0.029	0.059	0.413	0.007	0.003	0.021	0	0.009	0.02	0.006	0.043	0.065	0.044	0.131	0.256	0.28	0.037	0.11	0.048	0.078	0.264	0.052	0.131	0.098	0.122	0.11	0.033	0.039	0.013	0.033	0.022	0.13	0.106	0.08	0.143	0.008	0	0.021	0.028	0.028	0.011	0.057	0.013	0.054	0.043	0.008	0.027	0.293	0.045	0.073	0.037	0.087	0.034	0.05	0.424	0.026	0.032	0.042	0.332	0.239	0.174	0.06	0.008	0.122	0.014	0.024	0.048	0.063	0.031	0.045	0.517	0.022
ASV_174	0.344	10.165	0.544616022903426	0.786667588638282	NotSig	0.131	0.075	0.031	0.057	0.013	0.273	0.277	0.036	0.241	0.051	0.522	0.448	0.035	0.36	0.085	0.037	0.004	0	0.003	0	0.006	0.13	0.009	0.012	0.034	0.001	0.001	0.008	0.017	1.068	0.003	0.783	0.278	0	0.007	0.007	0	0.175	0.02	0.03	0.043	0.083	0.108	0.185	0.045	0.118	0.451	0.581	0.128	0.384	0.125	0.134	0.018	0.003	0.001	0	0	0.032	0.006	0.007	0.004	0.001	0	0	0	0.005	0	0.003	0.024	0.01	0.004	0.001	0.008	0.12	0.013	0.026
ASV_110	0.27	8.914	0.551792917809159	0.790279687370745	NotSig	0.044	0.029	0.005	0.014	0.01	0.063	0.037	0.699	0.081	0.042	0.136	0.02	0.012	0.006	0.072	0.037	0.103	0.012	0.001	0.015	0.004	0.003	0.004	0.006	0.004	0.042	0.003	0.006	0.007	0.031	0.003	0.021	0.049	0.002	0.039	0.007	0.012	0.036	0.004	0.012	0.034	0.041	0.028	0.064	0.19	0.091	0.005	0.014	0.052	0.008	0.135	0.126	0.067	0.004	0.002	0.005	0.001	0.003	0.031	0.003	0.008	0.017	0.012	0.004	0.006	0	0	0.004	0.025	0.012	0.001	0.006	0.005	0.014	0.008	0.03
ASV_119	-0.325	9.511	0.564283368287541	0.801377220509197	NotSig	0.05	0.064	0	0	0	0.103	0.075	0.051	0.034	0.048	0.18	0.239	0.192	0.246	0	0	0.194	0.03	0.018	0	0.068	0	0.015	0.01	0.004	0.009	0.001	0.006	0.01	0.122	0.013	0.016	0.031	0.076	0.039	0.016	0.005	0	0.003	0.017	0.097	0	0	0.094	0.385	0.049	0.292	0.275	0.357	0.144	0.002	0	0.002	0.003	0.001	0.036	0.008	0.006	0.012	0.007	0.006	0	0.016	0.173	0.006	0	0.128	0.005	0.01	0.015	0.168	0.004	0.002	0.001	0.003	0.038
ASV_66	-0.415	9.565	0.56943695710733	0.801957047926157	NotSig	0.065	0.054	0	0	0.002	0.832	0.798	0	0.426	0	0	0.005	0.003	0.011	0.045	0.002	0	0.013	0.01	0.127	0.022	0.004	0.004	0.004	0.001	0.007	0.009	0.003	0.012	0.015	0.084	0.002	0	0	0	0	0.006	0	0	0.047	0.057	0.044	0.003	0.758	0	0.004	0.117	0	0.019	0.002	0	0	0.014	0.021	0.176	0.005	0.004	0	0.178	0.024	0.01	0.008	0.076	0.008	0	0.003	0.005	0.337	0	0	0	0.003	0	0	0.002	0.082
ASV_147	0.241	10.398	0.592187911876479	0.82255466966029	NotSig	0.136	0.108	0.007	0.054	0.025	0.208	0.08	0.026	0.086	0.021	0.006	0.075	0.012	0.051	0.011	0.072	0.004	0.013	0.077	0.013	0.023	0.017	0.007	0.009	0.008	0.014	0.044	0.137	0.042	0.436	0.093	0.137	0.179	0.099	0.046	0.058	2.277	0.737	0.089	0.005	0	0.018	0.05	0.101	0.034	0.024	0.064	0.009	0.005	0.004	0.012	0.01	0.002	0.101	0.05	0.105	0.011	0.047	0.032	0.043	0.021	0.009	0.087	0.056	0.16	0.145	0.043	0.198	0.094	0.097	0.021	0.415	0.084	1.593	0.038	0.007
ASV_62	0.259	11.31	0.594286957537683	0.82255466966029	NotSig	0.221	0.164	0.126	0.192	0.037	0.141	0.102	0.301	0.555	1.319	1.207	0.521	0.535	0.348	0.475	0.337	0.817	0.003	0.015	0.003	0.009	0.064	0.01	0.012	0.02	0.018	0.017	0.303	0.005	0.034	0.028	0.163	0.269	0.021	0.015	0.01	0.07	0.099	0.013	0.072	0.322	0.112	0.211	0.052	0.383	0.844	0.154	0.964	0.284	0.23	0.321	0.594	0.747	0.001	0.007	0.008	0.001	0.079	0.009	0.076	0.008	0.001	0.058	0.117	0.018	0.006	0.018	0.022	0.01	0.018	0.008	0.007	0.01	0.137	0.055	0.166
