ID	sulfur_respiration	respiration_of_sulfur_compounds	knallgas_bacteria	dark_hydrogen_oxidation	fermentation	aerobic_chemoheterotrophy	human_pathogens_all	human_gut	human_associated	mammal_gut	animal_parasites_or_symbionts	aromatic_compound_degradation	nitrate_respiration	nitrate_reduction	nitrogen_respiration	fumarate_respiration	chemoheterotrophy
IS00P027	0	0	0	0	3.82743389540078	3.48158593636762	0	0	0	0	3.16016829295851	0	0	3.11627558758054	0	0	3.94743372188705
IS00P033	0	0.301029995663981	0	0.477121254719662	3.69775227416775	3.44808766669234	1.07918124604762	0	1.07918124604762	0	3.52672686731464	0	0.477121254719662	3.25695815256093	0.477121254719662	0.477121254719662	3.8294324336176
IS00P038	0	0.301029995663981	0	0	3.73013600399668	3.51560894923448	1.27875360095283	0	1.27875360095283	0	3.33685982091681	0.301029995663981	0	3.05842602445701	0	0	3.89292898235521
IS00P039	0	0	0	0	3.75404238678544	3.37675939540488	0.602059991327962	0	0.602059991327962	0	3.63286204010023	0	0	3.41780372263988	0	0	3.81531204352436
IS00P043	0	0	0	0	3.79678241170131	3.63245729218472	0	0	0	0	3.5641924606262	0	0	3.44793286559218	0	0	3.91561086266147
IS00P052	0.477121254719662	0.477121254719662	0	0	3.94497590841205	3.828337600059	0.602059991327962	0.301029995663981	0.698970004336019	0.301029995663981	3.82885315967664	0.477121254719662	0	3.81398107563647	0	0	3.9670328821587
IS00P053	0	0	0	0	3.78468859950142	2.88649072517248	0	0	0	0	3.38327665040765	0.903089986991944	0	2.20411998265593	0	0	3.8326366275967
IS00P062	0	0	0	0	3.67458560230291	2.30102999566398	0	0	0	0	3.67586995531896	0.301029995663981	0	2.57403126772772	0	0	3.68106024363181
IS00P069	0	0	0	0	3.79399980098447	3.27207378750001	0.301029995663981	0	0.301029995663981	0	3.62838893005031	0	0	3.23954972084047	0	0	3.81043415592267
IS00P070	0	0	0.301029995663981	0.301029995663981	3.90395770852317	3.03822263836872	0.301029995663981	0	0.301029995663981	0	3.37857957611577	0	0	3.17753649992986	0	0	3.91328390176042
IS00P081	0	0	0	0	3.67596154964217	3.65944078187032	0	0.698970004336019	0.698970004336019	0.698970004336019	3.35679046035172	0.477121254719662	0	3.23704079137919	0	0	3.89220594597577
IS00P083	0	0	0	0	3.67751570479876	3.20466251174822	1.9731278535997	1.20411998265592	2.03742649794062	1.20411998265592	2.82412583391655	1.17609125905568	1.9731278535997	2.70070371714502	1.9731278535997	0	3.78311713749047
IS03P020	0	0	0	0	3.85805571805036	3.52814507825311	0	0	0	0	3.57518784492766	0.602059991327962	0	3.44138088491651	0	0	3.90183959205123
IS03P027	0	0	0	0	3.63558426631123	3.65388755807098	0	0.301029995663981	0.301029995663981	0.301029995663981	3.27554168840131	0	0	2.97680833733807	0	0	3.90934203836131
IS03P033	0	0	0	0.301029995663981	3.72255166200096	3.31576049066573	0.301029995663981	0	0.301029995663981	0	3.49568306761692	0	0.301029995663981	3.14050804303818	0.301029995663981	0.301029995663981	3.81677141233335
IS03P038	0	0.602059991327962	0	0.301029995663981	3.62376600013393	3.68948644836425	1.44715803134222	0.301029995663981	1.46239799789896	0.301029995663981	3.17782497186468	0	0.301029995663981	2.90902085421116	0.301029995663981	0.301029995663981	3.93115263852329
IS03P039	0	0	0	0	3.7880976333803	3.30920417967041	0	0	0	0	3.48784512011144	0	0	3.45377685969044	0	0	3.85064623518307
IS03P043	0	0	0	0	3.70165431732575	3.73287604136271	0	0	0	0	3.37438169805088	0	0	3.27623195792183	0	0	3.94772772696332
IS03P052	0	0	0	0	3.70070371714502	2.36361197989214	0	0.477121254719662	0.477121254719662	0.477121254719662	3.27253777737524	0	0	3.22530928172586	0	0	3.70603466071435
