group	variable	value
IS07P052	methanol_oxidation	0
IS07P053	methanol_oxidation	0
IS07P062	methanol_oxidation	0
IS07P069	methanol_oxidation	0
IS07P070	methanol_oxidation	0
DE03P016	methylotrophy	0
DE03P017	methylotrophy	1
DE03P049	methylotrophy	0
DE03P054	methylotrophy	0
DE03P060	methylotrophy	0
DE03P065	methylotrophy	0
DE03P076	methylotrophy	0
DE03P081	methylotrophy	0
DE03P083	methylotrophy	0
DE07P016	methylotrophy	1
DE07P049	methylotrophy	0
DE07P054	methylotrophy	0
DE07P060	methylotrophy	0
DE07P065	methylotrophy	0
DE07P076	methylotrophy	0
DE08P017	methylotrophy	229
DE10P016	methylotrophy	2
DG00P016	methylotrophy	0
DG00P017	methylotrophy	0
DG00P049	methylotrophy	0
DG00P054	methylotrophy	0
DG00P060	methylotrophy	0
DG00P076	methylotrophy	0
DG00P081	methylotrophy	0
DG00P083	methylotrophy	0
DS00P030	methylotrophy	0
DS00P037	methylotrophy	0
DS00P049	methylotrophy	0
DS00P054	methylotrophy	0
DS00P060	methylotrophy	0
DS00P065	methylotrophy	0
DS00P076	methylotrophy	0
DS00P119	methylotrophy	0
DS00P138	methylotrophy	0
DS00P140	methylotrophy	0
DS00P166	methylotrophy	0
DS00P172	methylotrophy	0
DS00P180	methylotrophy	0
DS00P191	methylotrophy	0
DS00P193	methylotrophy	0
DS00P194	methylotrophy	0
DS00P196	methylotrophy	0
DS03P016	methylotrophy	180
DS03P017	methylotrophy	0
DS03P030	methylotrophy	0
DS03P037	methylotrophy	0
DS03P049	methylotrophy	0
DS03P054	methylotrophy	0
DS03P060	methylotrophy	0
DS03P065	methylotrophy	0
DS03P076	methylotrophy	0
DS03P237	methylotrophy	0
DS03P239	methylotrophy	0
DS03P245	methylotrophy	0
DS03P272	methylotrophy	0
DS03P279	methylotrophy	0
DS03P288	methylotrophy	0
DS03P295	methylotrophy	0
DS03P298	methylotrophy	0
DS03P312	methylotrophy	0
DS03P313	methylotrophy	0
DS04P138	methylotrophy	0
DS04P194	methylotrophy	0
DS04P86	methylotrophy	0
DS05P114	methylotrophy	0
DS05P196	methylotrophy	0
DS06P140	methylotrophy	0
DS06P180	methylotrophy	0
DS07P016	methylotrophy	0
DS07P037	methylotrophy	0
DS07P049	methylotrophy	0
DS07P054	methylotrophy	0
DS07P060	methylotrophy	0
DS07P065	methylotrophy	0
DS07P076	methylotrophy	0
DS07P172	methylotrophy	0
DS07P193	methylotrophy	0
DS08P017	methylotrophy	0
DS08P191	methylotrophy	0
DS10P016	methylotrophy	0
DS10P049	methylotrophy	0
DS10P054	methylotrophy	0
DS10P166	methylotrophy	0
HE02P026	methylotrophy	0
HE03P003	methylotrophy	165
HE03P004	methylotrophy	0
HE03P005	methylotrophy	224
HE03P010	methylotrophy	1
HE03P011	methylotrophy	0
HE03P012	methylotrophy	0
HE03P014	methylotrophy	0
HE03P019	methylotrophy	132
HE03P021	methylotrophy	0
HE03P022	methylotrophy	0
HE03P023	methylotrophy	0
HE03P024	methylotrophy	0
HE03P025	methylotrophy	0
HE03P028	methylotrophy	0
HE03P046	methylotrophy	0
HE03P047	methylotrophy	0
HE03P048	methylotrophy	0
HE03P050	methylotrophy	0
HE03P051	methylotrophy	0
HE03P055	methylotrophy	0
HE03P056	methylotrophy	0
HE03P057	methylotrophy	0
HE03P058	methylotrophy	0
HE03P059	methylotrophy	0
HE03P061	methylotrophy	0
HE03P063	methylotrophy	0
HE03P064	methylotrophy	0
HE03P066	methylotrophy	0
HE03P067	methylotrophy	0
HE03P068	methylotrophy	0
HE03P071	methylotrophy	0
HE03P072	methylotrophy	0
HE03P073	methylotrophy	0
HE03P074	methylotrophy	0
HE03P075	methylotrophy	0
HE03P077	methylotrophy	0
HE03P078	methylotrophy	0
HE03P082	methylotrophy	0
HE05P026	methylotrophy	0
HE07P004	methylotrophy	0
HE07P010	methylotrophy	0
HE07P012	methylotrophy	0
HE07P019	methylotrophy	0
HE07P021	methylotrophy	0
HE07P022	methylotrophy	0
HE07P023	methylotrophy	0
HE07P024	methylotrophy	0
HE07P025	methylotrophy	0
HE07P028	methylotrophy	0
HE07P046	methylotrophy	0
HE07P047	methylotrophy	0
HE07P048	methylotrophy	0
HE07P051	methylotrophy	0
HE07P055	methylotrophy	0
HE07P056	methylotrophy	0
HE07P057	methylotrophy	0
HE07P058	methylotrophy	0
HE07P059	methylotrophy	0
HE07P061	methylotrophy	0
HE07P063	methylotrophy	0
HE07P064	methylotrophy	0
HE07P066	methylotrophy	0
HE07P068	methylotrophy	0
HE07P071	methylotrophy	0
HE07P072	methylotrophy	0
HE07P073	methylotrophy	0
HE07P074	methylotrophy	0
HE07P075	methylotrophy	0
HE07P077	methylotrophy	0
HE07P078	methylotrophy	0
HE10P003	methylotrophy	1
HE10P049	methylotrophy	0
HE10P054	methylotrophy	0
HG00P003	methylotrophy	235
HG00P010	methylotrophy	0
HG00P011	methylotrophy	1
HG00P012	methylotrophy	0
HG00P014	methylotrophy	0
HG00P021	methylotrophy	0
HG00P022	methylotrophy	0
HG00P023	methylotrophy	0
HG00P024	methylotrophy	0
HG00P025	methylotrophy	0
HG00P026	methylotrophy	0
HG00P028	methylotrophy	0
HG00P046	methylotrophy	0
HG00P047	methylotrophy	0
HG00P048	methylotrophy	0
HG00P050	methylotrophy	0
HG00P051	methylotrophy	0
HG00P055	methylotrophy	0
HG00P056	methylotrophy	0
HG00P058	methylotrophy	0
HG00P059	methylotrophy	0
HG00P061	methylotrophy	0
HG00P063	methylotrophy	0
HG00P064	methylotrophy	0
HG00P066	methylotrophy	0
HG00P071	methylotrophy	0
HG00P072	methylotrophy	0
HG00P073	methylotrophy	0
HG00P074	methylotrophy	0
HG00P075	methylotrophy	0
HG00P077	methylotrophy	0
HG00P078	methylotrophy	0
HG00P082	methylotrophy	0
HS00P003	methylotrophy	0
HS00P004	methylotrophy	0
HS00P010	methylotrophy	0
HS00P011	methylotrophy	0
HS00P012	methylotrophy	0
HS00P014	methylotrophy	296
HS00P019	methylotrophy	221
HS00P025	methylotrophy	0
HS00P029	methylotrophy	0
HS00P034	methylotrophy	0
HS00P036	methylotrophy	0
HS00P040	methylotrophy	0
HS00P041	methylotrophy	0
HS00P042	methylotrophy	0
HS00P044	methylotrophy	0
HS00P045	methylotrophy	0
HS00P046	methylotrophy	0
HS00P047	methylotrophy	0
HS00P048	methylotrophy	0
HS00P050	methylotrophy	0
HS00P051	methylotrophy	0
HS00P055	methylotrophy	0
HS00P056	methylotrophy	0
HS00P057	methylotrophy	0
HS00P058	methylotrophy	0
HS00P059	methylotrophy	0
HS00P061	methylotrophy	0
HS00P063	methylotrophy	0
HS00P064	methylotrophy	0
HS00P068	methylotrophy	0
HS00P071	methylotrophy	0
HS00P072	methylotrophy	0
HS00P073	methylotrophy	0
HS00P074	methylotrophy	0
HS00P075	methylotrophy	0
HS00P077	methylotrophy	0
HS00P082	methylotrophy	0
HS00P109	methylotrophy	0
HS00P110	methylotrophy	0
HS00P118	methylotrophy	0
HS00P137	methylotrophy	0
HS00P142	methylotrophy	0
HS00P167	methylotrophy	0
HS00P176	methylotrophy	0
HS00P179	methylotrophy	0
HS00P192	methylotrophy	0
HS00P198	methylotrophy	0
HS00P201	methylotrophy	0
HS00P93	methylotrophy	0
HS00P96	methylotrophy	0
HS03P003	methylotrophy	0
HS03P004	methylotrophy	0
HS03P005	methylotrophy	5
HS03P010	methylotrophy	0
HS03P011	methylotrophy	0
HS03P012	methylotrophy	0
HS03P014	methylotrophy	158
HS03P019	methylotrophy	1
HS03P024	methylotrophy	0
HS03P025	methylotrophy	0
HS03P026	methylotrophy	0
HS03P029	methylotrophy	0
HS03P031	methylotrophy	0
HS03P034	methylotrophy	0
HS03P035	methylotrophy	0
HS03P040	methylotrophy	0
HS03P041	methylotrophy	0
HS03P042	methylotrophy	0
HS03P044	methylotrophy	0
HS03P045	methylotrophy	0
HS03P046	methylotrophy	0
HS03P047	methylotrophy	0
HS03P048	methylotrophy	0
HS03P050	methylotrophy	0
HS03P051	methylotrophy	0
HS03P055	methylotrophy	0
HS03P056	methylotrophy	0
HS03P057	methylotrophy	0
HS03P058	methylotrophy	0
HS03P059	methylotrophy	0
HS03P061	methylotrophy	0
HS03P063	methylotrophy	0
HS03P064	methylotrophy	0
HS03P066	methylotrophy	0
HS03P067	methylotrophy	0
HS03P068	methylotrophy	0
HS03P071	methylotrophy	0
HS03P072	methylotrophy	0
HS03P073	methylotrophy	0
HS03P074	methylotrophy	0
HS03P075	methylotrophy	0
HS03P077	methylotrophy	0
HS07P004	methylotrophy	0
HS07P010	methylotrophy	0
HS07P011	methylotrophy	1
HS07P012	methylotrophy	0
HS07P014	methylotrophy	0
HS07P019	methylotrophy	1
HS07P024	methylotrophy	0
HS07P025	methylotrophy	0
HS07P026	methylotrophy	0
HS07P029	methylotrophy	0
HS07P031	methylotrophy	0
HS07P034	methylotrophy	0
HS07P035	methylotrophy	0
HS07P036	methylotrophy	0
HS07P040	methylotrophy	0
HS07P041	methylotrophy	0
HS07P042	methylotrophy	0
HS07P045	methylotrophy	0
HS07P046	methylotrophy	0
HS07P047	methylotrophy	0
HS07P048	methylotrophy	0
HS07P050	methylotrophy	0
HS07P051	methylotrophy	0
HS07P055	methylotrophy	0
HS07P056	methylotrophy	0
HS07P057	methylotrophy	0
HS07P058	methylotrophy	0
HS07P059	methylotrophy	0
HS07P061	methylotrophy	0
HS07P063	methylotrophy	0
HS07P064	methylotrophy	0
HS07P066	methylotrophy	0
HS07P068	methylotrophy	0
HS07P071	methylotrophy	0
HS07P072	methylotrophy	0
HS07P073	methylotrophy	0
HS07P074	methylotrophy	0
HS07P075	methylotrophy	0
HS07P077	methylotrophy	0
HS10P003	methylotrophy	0
IE03P013	methylotrophy	0
IE03P020	methylotrophy	0
IE03P027	methylotrophy	0
IE03P052	methylotrophy	0
IE03P053	methylotrophy	0
IE03P062	methylotrophy	0
IE03P069	methylotrophy	0
IE03P070	methylotrophy	0
IE07P013	methylotrophy	0
IE07P020	methylotrophy	0
IE07P027	methylotrophy	0
IE07P052	methylotrophy	0
IE07P053	methylotrophy	0
IE07P062	methylotrophy	0
IE07P069	methylotrophy	0
IE07P070	methylotrophy	0
IG00P013	methylotrophy	0
IG00P020	methylotrophy	0
IG00P052	methylotrophy	0
IG00P053	methylotrophy	0
IG00P062	methylotrophy	0
IG00P069	methylotrophy	0
IG00P070	methylotrophy	0
IS00P013	methylotrophy	0
IS00P020	methylotrophy	0
IS00P027	methylotrophy	0
IS00P033	methylotrophy	0
IS00P038	methylotrophy	0
IS00P039	methylotrophy	0
IS00P043	methylotrophy	0
IS00P052	methylotrophy	0
IS00P053	methylotrophy	0
IS00P062	methylotrophy	0
IS00P069	methylotrophy	0
IS00P070	methylotrophy	0
IS00P081	methylotrophy	0
IS00P083	methylotrophy	0
IS03P020	methylotrophy	0
IS03P027	methylotrophy	0
IS03P033	methylotrophy	0
IS03P038	methylotrophy	0
IS03P039	methylotrophy	0
IS03P043	methylotrophy	0
IS03P052	methylotrophy	0
IS03P053	methylotrophy	0
IS03P062	methylotrophy	0
IS03P069	methylotrophy	0
IS03P070	methylotrophy	0
IS03P081	methylotrophy	0
IS03P082	methylotrophy	0
IS03P083	methylotrophy	0
IS07P013	methylotrophy	1
IS07P020	methylotrophy	0
IS07P027	methylotrophy	0
IS07P033	methylotrophy	0
IS07P038	methylotrophy	0
IS07P039	methylotrophy	0
IS07P043	methylotrophy	0
IS07P052	methylotrophy	0
IS07P053	methylotrophy	0
IS07P062	methylotrophy	0
IS07P069	methylotrophy	0
IS07P070	methylotrophy	0
DE03P016	sulfate_respiration	0
DE03P017	sulfate_respiration	0
DE03P049	sulfate_respiration	0
DE03P054	sulfate_respiration	0
DE03P060	sulfate_respiration	0
DE03P065	sulfate_respiration	0
DE03P076	sulfate_respiration	0
DE03P081	sulfate_respiration	0
DE03P083	sulfate_respiration	0
DE07P016	sulfate_respiration	0
DE07P049	sulfate_respiration	0
DE07P054	sulfate_respiration	0
DE07P060	sulfate_respiration	0
DE07P065	sulfate_respiration	0
DE07P076	sulfate_respiration	0
DE08P017	sulfate_respiration	0
DE10P016	sulfate_respiration	0
DG00P016	sulfate_respiration	0
DG00P017	sulfate_respiration	0
DG00P049	sulfate_respiration	0
DG00P054	sulfate_respiration	0
DG00P060	sulfate_respiration	0
DG00P076	sulfate_respiration	0
DG00P081	sulfate_respiration	0
DG00P083	sulfate_respiration	0
DS00P030	sulfate_respiration	0
DS00P037	sulfate_respiration	1
DS00P049	sulfate_respiration	0
DS00P054	sulfate_respiration	0
DS00P060	sulfate_respiration	2
DS00P065	sulfate_respiration	0
DS00P076	sulfate_respiration	0
DS00P119	sulfate_respiration	34
DS00P138	sulfate_respiration	41
DS00P140	sulfate_respiration	6
DS00P166	sulfate_respiration	0
DS00P172	sulfate_respiration	161
DS00P180	sulfate_respiration	3
DS00P191	sulfate_respiration	12
DS00P193	sulfate_respiration	9
DS00P194	sulfate_respiration	48
DS00P196	sulfate_respiration	0
DS03P016	sulfate_respiration	0
DS03P017	sulfate_respiration	0
DS03P030	sulfate_respiration	0
DS03P037	sulfate_respiration	0
DS03P049	sulfate_respiration	0
DS03P054	sulfate_respiration	0
DS03P060	sulfate_respiration	5
DS03P065	sulfate_respiration	0
DS03P076	sulfate_respiration	0
DS03P237	sulfate_respiration	1
DS03P239	sulfate_respiration	4
DS03P245	sulfate_respiration	2
DS03P272	sulfate_respiration	1
DS03P279	sulfate_respiration	2
DS03P288	sulfate_respiration	0
DS03P295	sulfate_respiration	1
DS03P298	sulfate_respiration	43
DS03P312	sulfate_respiration	57
DS03P313	sulfate_respiration	0
DS04P138	sulfate_respiration	2
DS04P194	sulfate_respiration	0
DS04P86	sulfate_respiration	74
DS05P114	sulfate_respiration	0
DS05P196	sulfate_respiration	0
DS06P140	sulfate_respiration	0
DS06P180	sulfate_respiration	0
DS07P016	sulfate_respiration	0
DS07P037	sulfate_respiration	4
DS07P049	sulfate_respiration	0
DS07P054	sulfate_respiration	0
DS07P060	sulfate_respiration	0
DS07P065	sulfate_respiration	0
DS07P076	sulfate_respiration	9
DS07P172	sulfate_respiration	3
DS07P193	sulfate_respiration	0
DS08P017	sulfate_respiration	0
DS08P191	sulfate_respiration	0
DS10P016	sulfate_respiration	0
DS10P049	sulfate_respiration	1
DS10P054	sulfate_respiration	0
DS10P166	sulfate_respiration	0
HE02P026	sulfate_respiration	0
HE03P003	sulfate_respiration	0
HE03P004	sulfate_respiration	0
HE03P005	sulfate_respiration	0
HE03P010	sulfate_respiration	0
HE03P011	sulfate_respiration	1
HE03P012	sulfate_respiration	0
HE03P014	sulfate_respiration	0
HE03P019	sulfate_respiration	0
HE03P021	sulfate_respiration	1
HE03P022	sulfate_respiration	0
HE03P023	sulfate_respiration	0
HE03P024	sulfate_respiration	0
HE03P025	sulfate_respiration	0
