Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
HS00P057	0.257	0.00381	313.4	0.914	0.634	18.2	38.1	10000.0	311.0	0.301	0.0865	3.64	5.25	1.58
HS00P058	0.271	0.00174	291.5	0.855	0.504	9.06	17.4	10000.0	288.0	0.384	0.145	2.86	4.12	1.24
HS00P059	0.0667	0.00753	338.4	0.975	0.743	50.6	75.3	10000.0	336.0	0.285	0.0251	4.32	6.24	1.88
HS00P061	0.138	0.00605	396.5	0.952	0.686	31.4	60.5	10000.0	394.0	0.294	0.0475	4.10	5.92	1.78
HS00P063	0.180	0.00275	258.8	0.926	0.599	17.4	27.5	10000.0	254.0	0.400	0.0736	3.31	4.78	1.44
HS00P064	0.378	0.00195	315.3	0.830	0.518	8.69	19.5	10000.0	310.0	0.389	0.170	2.97	4.28	1.29
HS00P068	0.211	0.00393	318.5	0.925	0.638	19.6	39.3	10000.0	316.0	0.287	0.0754	3.67	5.30	1.59
HS00P071	0.319	0.00371	371.5	0.886	0.612	14.9	37.1	10000.0	368.0	0.328	0.114	3.61	5.21	1.57
HS00P072	0.314	0.00363	353.9	0.885	0.613	14.6	36.3	10000.0	351.0	0.338	0.115	3.59	5.18	1.56
HS00P073	0.0886	0.0113	567.4	0.975	0.746	60.6	113.1	10000.0	566.0	0.284	0.0252	4.73	6.82	2.05
HS00P074	0.298	0.0048	421.6	0.899	0.641	17.7	48.0	10000.0	418.0	0.334	0.101	3.87	5.58	1.68
HS00P075	0.194	0.00308	320.5	0.914	0.595	16.2	30.8	10000.0	318.0	0.364	0.0864	3.43	4.95	1.49
HS00P077	0.149	0.00562	366.0	0.954	0.685	31.2	56.2	10000.0	360.0	0.335	0.0459	4.03	5.81	1.75
HS00P082	0.0893	0.00731	404.3	0.970	0.715	44.8	73.1	10000.0	403.0	0.282	0.0297	4.29	6.19	1.86
HS00P109	0.104	0.00532	211.4	0.965	0.744	36.8	53.2	10000.0	209.0	0.238	0.035	3.97	5.73	1.73
HS00P110	0.085	0.00692	281.8	0.973	0.753	48.0	69.2	10000.0	278.0	0.247	0.0267	4.24	6.11	1.84
HS00P118	0.152	0.00573	254.6	0.957	0.732	34.1	57.3	10000.0	252.0	0.245	0.0427	4.05	5.84	1.76
HS00P137	0.145	0.00537	243.7	0.958	0.728	33.2	53.7	10000.0	238.0	0.255	0.0419	3.98	5.75	1.73
HS00P142	0.316	0.00396	311.5	0.891	0.642	16.0	39.6	10000.0	310.0	0.235	0.109	3.68	5.31	1.60
HS00P167	0.162	0.00463	226.0	0.949	0.709	27.9	46.3	10000.0	223.0	0.250	0.0509	3.83	5.53	1.67
HS00P176	0.160	0.00514	237.8	0.953	0.722	30.8	51.4	10000.0	234.0	0.247	0.0468	3.94	5.68	1.71
HS00P179	0.0756	0.00765	336.6	0.973	0.747	49.3	76.5	10000.0	333.0	0.263	0.0268	4.34	6.26	1.88
HS00P192	0.134	0.00503	260.4	0.954	0.705	30.1	50.3	10000.0	258.0	0.263	0.0464	3.92	5.65	1.70
HS00P198	0.0631	0.0113	334.5	0.984	0.815	80.5	113.4	10000.0	333.0	0.174	0.016	4.73	6.83	2.05
HS00P201	0.120	0.00739	283.9	0.968	0.763	45.3	73.9	10000.0	280.0	0.238	0.0317	4.30	6.21	1.87
HS00P93	0.0987	0.0043	249.5	0.954	0.682	27.9	43.0	10000.0	248.0	0.253	0.0455	3.76	5.43	1.63
HS00P96	0.0457	0.0112	335.7	0.985	0.812	81.8	111.8	10000.0	334.0	0.206	0.0152	4.72	6.81	2.05
HS03P003	0.238	0.00355	421.1	0.892	0.591	14.2	35.5	10000.0	419.0	0.283	0.108	3.57	5.15	1.55
HS03P004	0.146	0.00443	377.0	0.943	0.640	24.1	44.3	10000.0	375.0	0.346	0.0568	3.79	5.47	1.65
HS03P005	0.181	0.00507	457.8	0.930	0.641	22.1	50.7	10000.0	456.0	0.311	0.0699	3.93	5.66	1.71
HS03P010	0.156	0.00544	415.3	0.944	0.664	26.9	54.4	10000.0	411.0	0.342	0.0557	4.00	5.76	1.74
HS03P011	0.398	0.00298	435.1	0.830	0.559	9.88	29.8	10000.0	432.0	0.333	0.170	3.39	4.90	1.47
HS03P012	0.418	0.00232	358.3	0.804	0.536	8.04	23.2	10000.0	354.0	0.290	0.196	3.14	4.54	1.37
HS03P014	0.167	0.00622	509.1	0.941	0.663	26.8	62.2	10000.0	507.0	0.311	0.0585	4.13	5.96	1.79
HS03P019	0.158	0.00598	431.6	0.947	0.675	28.8	59.8	10000.0	427.0	0.304	0.0531	4.09	5.90	1.78
HS03P024	0.189	0.00519	411.3	0.940	0.656	25.3	51.9	10000.0	410.0	0.277	0.0597	3.95	5.70	1.72
HS03P025	0.149	0.00631	382.8	0.956	0.698	33.8	63.1	10000.0	381.0	0.238	0.0436	4.15	5.98	1.80
HS03P026	0.0521	0.0139	543.6	0.984	0.784	86.9	138.9	10000.0	541.0	0.277	0.0157	4.93	7.12	2.14
HS03P029	0.0734	0.0108	492.6	0.979	0.757	65.2	108.5	10000.0	490.0	0.295	0.0214	4.69	6.76	2.04
HS03P031	0.216	0.00857	535.3	0.943	0.709	33.2	85.7	10000.0	533.0	0.272	0.0566	4.45	6.42	1.93
HS03P034	0.0983	0.00883	494.9	0.972	0.723	51.0	88.3	10000.0	492.0	0.320	0.0275	4.48	6.46	1.95
HS03P035	0.183	0.0048	418.2	0.934	0.642	22.6	48.0	10000.0	416.0	0.293	0.0656	3.87	5.59	1.68
HS03P040	0.113	0.00708	438.2	0.966	0.701	41.3	70.8	10000.0	436.0	0.314	0.0336	4.26	6.15	1.85
HS03P041	0.0922	0.00969	475.9	0.970	0.742	51.2	96.9	10000.0	474.0	0.253	0.0295	4.57	6.60	1.99
HS03P042	0.0744	0.0108	519.9	0.974	0.749	58.1	107.7	10000.0	519.0	0.237	0.0255	4.68	6.75	2.03
HS03P044	0.222	0.00422	393.0	0.920	0.627	19.0	42.2	10000.0	391.0	0.278	0.0805	3.74	5.40	1.63
HS03P045	0.194	0.00331	362.9	0.923	0.595	17.6	33.1	10000.0	359.0	0.328	0.077	3.50	5.05	1.52
HS03P046	0.130	0.0059	313.8	0.959	0.711	34.7	59.0	10000.0	310.0	0.302	0.0409	4.08	5.88	1.77
HS03P047	0.260	0.00414	355.6	0.902	0.634	16.7	41.4	10000.0	354.0	0.273	0.0982	3.72	5.37	1.62
HS03P048	0.206	0.00574	382.3	0.942	0.682	28.0	57.4	10000.0	381.0	0.270	0.0579	4.05	5.84	1.76
HS03P050	0.208	0.0036	295.6	0.922	0.631	18.5	36.0	10000.0	293.0	0.279	0.0779	3.58	5.17	1.56
HS03P051	0.292	0.00292	320.0	0.888	0.586	13.5	29.2	10000.0	317.0	0.346	0.112	3.38	4.87	1.47
HS03P055	0.129	0.00456	324.5	0.952	0.663	27.9	45.6	10000.0	318.0	0.395	0.0477	3.82	5.51	1.66
HS03P056	0.147	0.00512	298.8	0.958	0.691	32.1	51.2	10000.0	297.0	0.302	0.0424	3.94	5.68	1.71
HS03P057	0.0961	0.0053	305.6	0.964	0.695	35.0	53.0	10000.0	302.0	0.320	0.0364	3.97	5.73	1.72
HS03P058	0.296	0.00209	317.6	0.867	0.528	10.4	20.9	10000.0	316.0	0.341	0.133	3.04	4.39	1.32
HS03P059	0.126	0.00563	287.8	0.962	0.713	35.5	56.3	10000.0	284.0	0.281	0.0383	4.03	5.81	1.75
HS03P061	0.187	0.00196	262.0	0.901	0.535	12.3	19.6	10000.0	260.0	0.341	0.0994	2.97	4.29	1.29
HS03P063	0.114	0.00869	506.8	0.969	0.717	47.5	86.9	10000.0	505.0	0.294	0.0306	4.46	6.44	1.94
HS03P064	0.152	0.00499	339.9	0.952	0.672	28.8	49.9	10000.0	336.0	0.356	0.0482	3.91	5.64	1.70
HS03P066	0.208	0.0038	327.0	0.927	0.629	19.9	38.0	10000.0	324.0	0.323	0.0725	3.64	5.25	1.58
HS03P067	0.108	0.00561	310.4	0.965	0.703	37.2	56.1	10000.0	308.0	0.324	0.0347	4.03	5.81	1.75
HS03P068	0.187	0.00515	472.6	0.935	0.640	23.0	51.5	10000.0	471.0	0.273	0.0652	3.94	5.69	1.71
HS03P071	0.432	0.00215	317.3	0.804	0.533	8.20	21.5	10000.0	315.0	0.323	0.196	3.07	4.43	1.33
HS03P072	0.553	0.00129	268.7	0.689	0.458	4.81	12.9	10000.0	266.0	0.375	0.311	2.56	3.69	1.11
HS03P073	0.136	0.00443	329.2	0.950	0.655	26.6	44.3	10000.0	326.0	0.385	0.0502	3.79	5.47	1.65
HS03P074	0.078	0.00637	369.0	0.968	0.704	40.8	63.7	10000.0	366.0	0.362	0.0317	4.15	5.99	1.80
HS03P075	0.526	0.00162	354.9	0.716	0.475	5.44	16.2	10000.0	353.0	0.314	0.284	2.79	4.02	1.21
HS03P077	0.0995	0.0077	392.1	0.970	0.728	45.9	77.0	10000.0	390.0	0.304	0.0304	4.34	6.27	1.89
HS07P004	0.312	0.00322	428.4	0.876	0.574	12.7	32.2	10000.0	425.0	0.354	0.124	3.47	5.01	1.51
HS07P010	0.157	0.00663	476.6	0.951	0.681	31.5	66.3	10000.0	474.0	0.305	0.0486	4.19	6.05	1.82
HS07P011	0.216	0.00643	474.2	0.938	0.676	27.4	64.3	10000.0	472.0	0.317	0.0621	4.16	6.01	1.81
HS07P012	0.159	0.0075	513.7	0.951	0.692	32.8	75.0	10000.0	512.0	0.279	0.0494	4.32	6.23	1.88
HS07P014	0.121	0.0103	554.6	0.965	0.734	47.6	102.9	10000.0	553.0	0.258	0.0348	4.63	6.69	2.01
HS07P019	0.193	0.00733	458.7	0.949	0.701	33.4	73.3	10000.0	457.0	0.266	0.0505	4.29	6.20	1.86
HS07P024	0.0891	0.0107	457.8	0.978	0.763	63.5	106.6	10000.0	455.0	0.259	0.0225	4.67	6.74	2.03
HS07P025	0.115	0.00696	485.1	0.958	0.686	35.0	69.6	10000.0	483.0	0.302	0.0419	4.24	6.12	1.84
HS07P026	0.209	0.00731	463.3	0.946	0.700	32.5	73.1	10000.0	462.0	0.274	0.0543	4.29	6.19	1.86
HS07P029	0.111	0.0099	523.6	0.968	0.734	49.3	99.0	10000.0	522.0	0.260	0.0318	4.59	6.63	2.00
HS07P031	0.132	0.0124	574.1	0.971	0.760	59.5	124.2	10000.0	571.0	0.278	0.0289	4.82	6.96	2.09
HS07P034	0.121	0.00592	409.3	0.955	0.679	31.7	59.2	10000.0	406.0	0.307	0.0449	4.08	5.89	1.77
HS07P035	0.244	0.0037	438.1	0.896	0.594	14.9	37.0	10000.0	436.0	0.323	0.104	3.61	5.21	1.57
HS07P036	0.115	0.00575	443.6	0.953	0.665	29.9	57.5	10000.0	442.0	0.305	0.0472	4.05	5.84	1.76
HS07P040	0.0846	0.00818	475.1	0.968	0.715	44.7	81.8	10000.0	473.0	0.308	0.032	4.40	6.35	1.91
HS07P041	0.101	0.00871	486.2	0.966	0.723	44.9	87.1	10000.0	484.0	0.274	0.0336	4.47	6.44	1.94
HS07P042	0.105	0.00707	468.6	0.958	0.693	35.0	70.7	10000.0	467.0	0.282	0.0422	4.26	6.14	1.85
HS07P045	0.149	0.00686	433.1	0.954	0.698	34.0	68.6	10000.0	429.0	0.300	0.0456	4.23	6.10	1.84
HS07P046	0.108	0.00573	397.1	0.959	0.678	33.0	57.3	10000.0	393.0	0.358	0.0412	4.05	5.84	1.76
HS07P047	0.0916	0.00786	344.3	0.973	0.748	50.5	78.6	10000.0	341.0	0.298	0.0268	4.36	6.30	1.90
HS07P048	0.138	0.00336	373.7	0.924	0.594	17.5	33.6	10000.0	371.0	0.333	0.0757	3.52	5.07	1.53
HS07P050	0.102	0.00477	318.1	0.958	0.672	30.6	47.7	10000.0	315.0	0.348	0.0417	3.87	5.58	1.68
HS07P051	0.205	0.00406	414.8	0.925	0.615	19.5	40.6	10000.0	413.0	0.343	0.0755	3.70	5.34	1.61
HS07P055	0.151	0.00334	331.1	0.932	0.606	19.3	33.4	10000.0	327.0	0.369	0.0676	3.51	5.06	1.52
HS07P056	0.304	0.00272	294.5	0.883	0.582	13.0	27.2	10000.0	293.0	0.316	0.117	3.31	4.77	1.44
HS07P057	0.106	0.00545	371.9	0.957	0.676	31.5	54.5	10000.0	369.0	0.346	0.0432	4.00	5.77	1.74
HS07P058	0.0975	0.007	371.5	0.969	0.719	43.0	70.0	10000.0	369.0	0.289	0.0312	4.25	6.13	1.84
HS07P059	0.139	0.00377	307.6	0.943	0.635	22.7	37.7	10000.0	305.0	0.314	0.0573	3.63	5.24	1.58
HS07P061	0.675	0.000567	193.7	0.537	0.331	2.79	5.67	10000.0	189.0	0.421	0.463	1.73	2.50	0.753
HS07P063	0.397	0.00189	311.2	0.823	0.513	8.43	18.9	10000.0	308.0	0.362	0.177	2.94	4.24	1.28
HS07P064	0.241	0.00246	354.4	0.882	0.546	11.9	24.6	10000.0	351.0	0.392	0.118	3.20	4.62	1.39
HS07P066	0.379	0.00216	285.3	0.836	0.545	9.33	21.6	10000.0	280.0	0.335	0.164	3.07	4.43	1.33
HS07P068	0.105	0.00595	337.3	0.966	0.703	38.0	59.5	10000.0	335.0	0.289	0.0342	4.09	5.89	1.77
HS07P071	0.227	0.00624	494.4	0.932	0.667	25.2	62.4	10000.0	492.0	0.310	0.0679	4.13	5.96	1.79
HS07P072	0.186	0.00511	468.1	0.936	0.640	23.7	51.1	10000.0	466.0	0.323	0.0636	3.93	5.68	1.71
HS07P073	0.197	0.00561	387.7	0.943	0.676	27.8	56.1	10000.0	386.0	0.295	0.0566	4.03	5.81	1.75
HS07P074	0.120	0.00423	319.6	0.953	0.650	27.0	42.3	10000.0	317.0	0.358	0.0472	3.75	5.40	1.63
HS07P075	0.0914	0.00673	421.1	0.968	0.697	41.0	67.3	10000.0	419.0	0.314	0.0324	4.21	6.07	1.83
HS07P077	0.153	0.00499	376.9	0.947	0.660	27.0	49.9	10000.0	373.0	0.396	0.0534	3.91	5.64	1.70
HS10P003	0.180	0.00633	366.3	0.950	0.703	31.9	63.3	10000.0	365.0	0.238	0.0496	4.15	5.98	1.80
IE03P013	0.246	0.00326	410.2	0.891	0.580	13.8	32.6	10000.0	406.0	0.334	0.109	3.48	5.03	1.51
IE03P020	0.194	0.00652	487.2	0.945	0.675	29.8	65.2	10000.0	485.0	0.321	0.0549	4.18	6.03	1.81
IE03P027	0.0893	0.00722	418.8	0.967	0.710	41.8	72.2	10000.0	415.0	0.317	0.0328	4.28	6.17	1.86
IE03P052	0.140	0.00539	387.1	0.955	0.670	30.5	53.9	10000.0	384.0	0.351	0.0452	3.99	5.75	1.73
IE03P053	0.207	0.00512	455.0	0.934	0.644	23.5	51.2	10000.0	452.0	0.313	0.0659	3.94	5.68	1.71
IE03P062	0.203	0.00252	260.2	0.907	0.581	14.2	25.2	10000.0	258.0	0.282	0.093	3.23	4.66	1.40
IE03P069	0.126	0.00623	451.6	0.958	0.676	33.4	62.3	10000.0	450.0	0.286	0.0423	4.13	5.96	1.79
IE03P070	0.0875	0.00922	484.7	0.973	0.732	51.8	92.2	10000.0	482.0	0.269	0.0275	4.52	6.53	1.96
IE07P013	0.169	0.00527	442.2	0.940	0.651	25.1	52.7	10000.0	440.0	0.315	0.0597	3.96	5.72	1.72
IE07P020	0.0799	0.011	481.6	0.980	0.762	68.1	110.1	10000.0	480.0	0.270	0.0203	4.70	6.78	2.04
IE07P027	0.163	0.00578	374.3	0.956	0.686	33.2	57.8	10000.0	370.0	0.372	0.044	4.06	5.85	1.76
IE07P052	0.116	0.00691	405.9	0.964	0.706	38.7	69.1	10000.0	404.0	0.277	0.0364	4.24	6.11	1.84
IE07P053	0.201	0.00505	402.5	0.935	0.655	23.7	50.5	10000.0	399.0	0.302	0.0647	3.92	5.66	1.70
IE07P062	0.142	0.00339	272.0	0.939	0.629	21.1	33.9	10000.0	270.0	0.299	0.0609	3.52	5.08	1.53
IE07P069	0.0787	0.00951	469.7	0.973	0.741	53.4	95.1	10000.0	467.0	0.286	0.0271	4.56	6.57	1.98
IE07P070	0.387	0.00194	272.3	0.822	0.530	8.37	19.4	10000.0	270.0	0.317	0.178	2.96	4.28	1.29
IG00P013	0.0765	0.0114	484.3	0.979	0.766	68.8	113.5	10000.0	482.0	0.286	0.0206	4.73	6.83	2.06
IG00P020	0.0877	0.0123	514.7	0.979	0.771	70.5	122.6	10000.0	513.0	0.241	0.021	4.81	6.94	2.09
IG00P052	0.281	0.00456	435.8	0.904	0.629	17.6	45.6	10000.0	433.0	0.309	0.0963	3.82	5.51	1.66
IG00P053	0.189	0.00568	370.9	0.947	0.683	29.3	56.8	10000.0	369.0	0.286	0.0527	4.04	5.83	1.75
IG00P062	0.169	0.00359	271.7	0.935	0.640	20.7	35.9	10000.0	269.0	0.278	0.0651	3.58	5.17	1.55
IG00P069	0.0874	0.00566	438.9	0.961	0.664	33.1	56.6	10000.0	437.0	0.324	0.0391	4.04	5.82	1.75
IG00P070	0.0932	0.0135	514.5	0.980	0.786	75.8	135.2	10000.0	513.0	0.212	0.0203	4.91	7.08	2.13
IS00P013	0.281	0.00335	438.5	0.890	0.578	13.9	33.5	10000.0	437.0	0.313	0.110	3.51	5.07	1.53
IS00P020	0.224	0.0066	480.5	0.937	0.679	27.7	66.0	10000.0	478.0	0.301	0.0628	4.19	6.05	1.82
IS00P027	0.281	0.00363	368.4	0.901	0.609	16.0	36.3	10000.0	366.0	0.330	0.0995	3.59	5.18	1.56
IS00P033	0.0652	0.0142	596.3	0.982	0.775	80.8	141.7	10000.0	595.0	0.260	0.0182	4.95	7.15	2.15
IS00P038	0.104	0.00671	497.0	0.957	0.678	33.2	67.1	10000.0	495.0	0.278	0.0427	4.21	6.07	1.83
IS00P039	0.160	0.00497	365.4	0.938	0.663	23.9	49.7	10000.0	362.0	0.287	0.0623	3.91	5.64	1.70
IS00P043	0.147	0.00439	382.2	0.933	0.637	21.5	43.9	10000.0	379.0	0.326	0.0672	3.78	5.46	1.64
IS00P052	0.334	0.00224	364.6	0.854	0.528	9.90	22.4	10000.0	362.0	0.339	0.146	3.11	4.49	1.35
IS00P053	0.0808	0.00728	412.3	0.969	0.712	43.4	72.8	10000.0	411.0	0.267	0.031	4.29	6.19	1.86
IS00P062	0.340	0.0014	280.4	0.797	0.469	6.56	14.0	10000.0	278.0	0.323	0.203	2.64	3.81	1.15
IS00P069	0.121	0.00409	293.5	0.948	0.654	25.2	40.9	10000.0	292.0	0.304	0.0516	3.71	5.35	1.61
IS00P070	0.281	0.0035	343.9	0.903	0.610	16.3	35.0	10000.0	341.0	0.351	0.0969	3.55	5.13	1.54
IS00P081	0.187	0.00382	316.5	0.928	0.634	19.6	38.2	10000.0	314.0	0.270	0.0722	3.64	5.25	1.58
IS00P083	0.140	0.00407	311.0	0.943	0.647	23.8	40.7	10000.0	309.0	0.313	0.0571	3.71	5.35	1.61
IS03P020	0.139	0.00906	498.5	0.965	0.726	45.4	90.6	10000.0	495.0	0.304	0.0352	4.51	6.50	1.96
IS03P027	0.172	0.00514	396.0	0.938	0.659	24.5	51.4	10000.0	394.0	0.278	0.0617	3.94	5.68	1.71
IS03P033	0.0665	0.0122	533.4	0.980	0.766	71.7	122.2	10000.0	532.0	0.236	0.0195	4.81	6.93	2.09
IS03P038	0.245	0.00462	481.8	0.917	0.621	19.1	46.2	10000.0	479.0	0.323	0.0833	3.83	5.53	1.66
IS03P039	0.0828	0.00629	422.6	0.961	0.686	34.6	62.9	10000.0	419.0	0.319	0.0395	4.14	5.98	1.80
IS03P043	0.248	0.00386	427.5	0.908	0.603	16.6	38.6	10000.0	425.0	0.331	0.0917	3.65	5.27	1.59
IS03P052	0.143	0.0053	389.9	0.949	0.666	28.0	53.0	10000.0	387.0	0.351	0.0511	3.97	5.73	1.72
IS03P053	0.322	0.00278	331.5	0.871	0.574	11.9	27.8	10000.0	329.0	0.285	0.129	3.33	4.80	1.44
IS03P062	0.299	0.00166	264.5	0.851	0.506	8.96	16.6	10000.0	260.0	0.414	0.149	2.81	4.06	1.22
IS03P069	0.188	0.00655	528.7	0.939	0.667	26.8	65.5	10000.0	527.0	0.288	0.0609	4.18	6.03	1.82
IS03P070	0.341	0.00198	311.5	0.855	0.521	9.79	19.8	10000.0	309.0	0.381	0.145	2.98	4.31	1.30
IS03P081	0.130	0.00503	377.6	0.956	0.661	30.0	50.3	10000.0	376.0	0.332	0.0443	3.92	5.65	1.70
IS03P082	0.183	0.00281	319.0	0.921	0.580	16.4	28.1	10000.0	316.0	0.391	0.0791	3.34	4.81	1.45
IS03P083	0.125	0.00532	407.9	0.953	0.662	29.3	53.2	10000.0	404.0	0.343	0.047	3.97	5.73	1.73
IS07P013	0.270	0.00405	429.0	0.903	0.611	16.4	40.5	10000.0	426.0	0.328	0.0973	3.70	5.34	1.61
IS07P020	0.207	0.00629	460.6	0.938	0.676	26.9	62.9	10000.0	458.0	0.301	0.0619	4.14	5.97	1.80
IS07P027	0.155	0.00665	421.7	0.955	0.695	34.1	66.5	10000.0	420.0	0.290	0.0447	4.20	6.05	1.82
IS07P033	0.0738	0.0107	544.4	0.975	0.743	58.4	107.5	10000.0	543.0	0.261	0.0249	4.68	6.75	2.03
IS07P038	0.148	0.00523	439.0	0.947	0.651	26.7	52.3	10000.0	437.0	0.324	0.0533	3.96	5.71	1.72
IS07P039	0.141	0.00656	419.2	0.955	0.693	33.3	65.6	10000.0	417.0	0.297	0.0448	4.18	6.04	1.82
IS07P043	0.125	0.00523	415.6	0.944	0.657	25.7	52.3	10000.0	411.0	0.301	0.0558	3.96	5.71	1.72
IS07P052	0.152	0.00695	460.0	0.956	0.693	35.1	69.5	10000.0	457.0	0.345	0.0438	4.24	6.12	1.84
IS07P053	0.364	0.00224	261.7	0.850	0.560	10.3	22.4	10000.0	257.0	0.403	0.150	3.11	4.49	1.35
IS07P062	0.163	0.00336	253.7	0.937	0.637	20.9	33.6	10000.0	250.0	0.303	0.0627	3.52	5.07	1.53
IS07P069	0.106	0.0117	590.9	0.974	0.747	59.7	117.0	10000.0	589.0	0.264	0.026	4.76	6.87	2.07
IS07P070	0.209	0.00601	473.9	0.938	0.665	26.3	60.1	10000.0	472.0	0.277	0.0624	4.10	5.91	1.78
