OTUID	variable	value
HG00P073	ASV_104	2
HG00P074	ASV_104	125
HG00P075	ASV_104	69
HG00P077	ASV_104	4
HG00P078	ASV_104	43
HG00P082	ASV_104	189
HS00P003	ASV_104	26
HS00P004	ASV_104	104
HS00P010	ASV_104	25
HS00P011	ASV_104	51
HS00P012	ASV_104	26
HS00P014	ASV_104	214
HS00P019	ASV_104	71
HS00P025	ASV_104	676
HS00P029	ASV_104	7
HS00P031	ASV_104	0
HS00P034	ASV_104	115
HS00P036	ASV_104	22
HS00P040	ASV_104	39
HS00P041	ASV_104	14
HS00P042	ASV_104	194
HS00P044	ASV_104	0
HS00P045	ASV_104	8
HS00P046	ASV_104	67
HS00P047	ASV_104	2
HS00P048	ASV_104	9
HS00P050	ASV_104	10
HS00P051	ASV_104	21
HS00P055	ASV_104	45
HS00P056	ASV_104	27
HS00P057	ASV_104	1572
HS00P058	ASV_104	2
HS00P059	ASV_104	0
HS00P061	ASV_104	2
HS00P063	ASV_104	19
