D	I	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Schaalia	-0.00145952380952381	-0.00106666666666667	-0.00125710678210678	0.159295437514057
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Lancefieldella	-0.000876190476190476	-0.00171666666666667	-0.00127896825396825	0.0684853472980408
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptoniphilaceae|Parvimonas	-0.002275	-0.00025	-0.00128091630591631	0.0876028526427133
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae|Vallitalea	-0.00126269841269841	-0.0023	-0.00129202741702742	0.0871280231206702
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Aminipila	-0.00120119047619048	-0.00235	-0.00135674603174603	0.0824662513183411
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Unassigned|Unassigned	-0.00140952380952381	-0.000559523809523809	-0.00138344155844156	0.131709966959425
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Unassigned	-0.00132380952380952	-0.0019	-0.001502886002886	0.0524348151848152
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Aggregatibacter	-0.00216666666666667	-0.000866666666666667	-0.00151439393939394	0.0650611688535063
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Unassigned	-0.00168333333333333	-0.00177619047619048	-0.0015248556998557	0.211389023008295
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Stomatobaculum	-0.00187619047619048	-0.00105952380952381	-0.00154166666666667	0.121793034081502
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Unassigned	-0.00157857142857143	-0.000533333333333333	-0.00156194083694084	0.112574113794702
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned|Saccharibacteria_genera_incertae_sedis	-0.000876190476190476	-0.00308333333333333	-0.00166987734487734	0.0723808581769108
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Unassigned	-0.00205	-0.00163333333333333	-0.00172943722943723	0.0680231018981019
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus	-0.00160952380952381	-0.00273333333333333	-0.00216204906204906	0.0821470909809145
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	-0.00172857142857143	-0.00346666666666667	-0.00243138528138528	0.132517876799843
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Eikenella	-0.00291904761904762	-0.0042	-0.00308553391053391	0.0830095226668756
