ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HE10P003	HE07P004	HE07P010	HE07P012	HE07P019	HE07P021	HE07P022	HE07P023	HE07P024	HE07P025	HE05P026	HE07P028	HE07P046	HE07P047	HE07P048	HE10P049	HE07P051	HE10P054	HE07P055	HE07P056	HE07P057	HE07P058	HE07P059	HE07P061	HE07P063	HE07P064	HE07P066	HE07P068	HE07P071	HE07P072	HE07P073	HE07P074	HE07P075	HE07P077	HE07P078	DE07P016	DE10P016	DE08P017	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076
ASV_114	1.188	9.876	0.298744086091227	0.573724438061561	NotSig	0.102	0.042	0.07	0.006	0.017	0.072	2.607	0.021	0.002	0.035	0.012	0.02	0.003	0.027	0.001	0.001	0.004	0	0.011	0.002	0	0.003	0	0.48	0.009	0.008	0.002	0	0.02	0.022	0.015	0.004	0.006	0.002	0.071	0.003	0.003	0.087	0.003	0.166	0.005	0.008	0.056	0	0.01
ASV_83	0.919	11.93	0.322257439327079	0.611223875814405	NotSig	0.317	0.229	0.231	0.036	0.041	0.017	0.647	0.804	0.012	0.014	0.018	0.002	0	0	0.087	0.378	0.057	0.034	0.07	0.192	0.026	0.012	0.122	0.254	0.036	0.149	0.074	1.098	0.101	0.098	0.029	0.302	0.071	3.468	0.558	2.052	0.001	0.176	0.06	0.259	0.017	0.066	0.129	0.735	0.391
ASV_46	0.894	13.016	0.329303499404028	0.611223875814405	NotSig	0.457	0.435	0.257	0.357	0.034	0.189	0.396	0.048	0.007	0.071	0.006	0.182	0.018	0.027	0.193	0.213	1.069	0.127	0.109	0.458	0.136	0.133	0.119	0.182	0.117	0.363	1.399	0.178	0.17	0.014	0.029	0.021	0.613	1.072	0.979	0.225	6.482	0.616	0.006	0.757	0.384	0.782	0.145	0.674	0.118
ASV_99	-0.773	9.64	0.329659404408095	0.611223875814405	NotSig	0.057	0.106	0.15	0.102	0.041	0	0.184	0.008	0.002	0	0	0.115	0.028	0.02	0.005	0.015	0.089	0.001	0.008	0.011	0.017	0.043	0.021	0.156	0.016	0.016	0.201	0.005	0.019	0.112	0.261	0.01	0.02	0.046	0.245	0.025	0.007	0.148	0	0.618	0.004	0.015	0.064	0	0.003
ASV_100	-0.7	10.275	0.332737257839795	0.611223875814405	NotSig	0.078	0.17	0.053	0.058	0.08	0.077	0.635	0.016	0.063	0.045	0.012	0.177	0.16	0.584	0.012	0.04	0.016	0.01	0.124	0.016	0.036	0.008	0.004	0.02	0.078	0.003	0.018	0.008	0.033	0.035	0.024	0.007	0.034	0.003	0.014	0.013	0.212	0.248	0.045	0.547	0.005	0.215	0.013	0.274	0.016
ASV_119	0.956	9.432	0.340096042170078	0.611872707922827	NotSig	0.064	0.034	0	0	0.094	0.385	0.049	0.292	0.275	0.357	0.144	0.002	0	0.002	0.003	0.001	0.036	0.008	0.006	0.012	0.007	0.006	0	0.016	0.173	0.006	0	0.128	0.005	0.01	0.015	0.168	0.004	0.002	0.001	0.003	0.038	0.063	0	0.086	0.031	0.003	0.01	0.068	0.009
ASV_86	1.05	10.992	0.340331565353525	0.611872707922827	NotSig	0.167	0.113	0	0	0.23	0	0	0	0	0.234	0	0.162	0.077	1.135	0.032	0.062	0.024	0.019	0.89	0.128	0.068	0.172	0.133	0.071	0.188	0.02	0.023	0.158	1.12	0.082	0.223	0.015	0.175	0.33	0.023	0.016	0.022	0	0	0	0.114	0.109	0.016	0.663	0.003
ASV_39	0.742	11.488	0.345250772493068	0.614142006319514	NotSig	0.22	0.172	0.096	0.168	0.286	0.145	0.158	0.098	0.235	0.27	0.966	0.179	0.085	0.029	0.021	0.098	0.029	0.015	0.033	0.065	0.029	0.04	0.027	0.014	0.045	0.033	1.764	0.04	0.073	0.057	0.143	0.011	0.034	0.061	0.442	1.901	0.019	0.178	0.212	0.22	0.015	0.386	0.044	0.202	0.123
ASV_143	0.941	11.527	0.348861731400434	0.614142006319514	NotSig	0.216	0.132	0.032	0.071	0.049	0	0.022	0.151	0.009	0.002	0.006	0.005	0	0.002	0.039	1.22	0.137	0.016	0.008	0.412	0.115	0.021	0.036	0.013	0.006	0.108	0.14	0.048	0.328	0.314	0.024	2.559	0.014	0.968	0.026	0.652	0.007	0.006	0.005	0.072	0.147	0.134	0.035	0.154	0.504
ASV_21	0.793	12.872	0.396288558320913	0.690440890270457	NotSig	0.528	0.353	0.673	1.798	0.329	0.015	0.201	0	0.009	0.002	0.01	0.005	0.015	0.002	0.293	0.487	0.622	0.152	0.036	0.064	0.31	0.36	0.185	0.118	0.117	0.933	1.041	0.11	0.118	0.024	0.047	0.092	0.129	0.983	3.227	4.019	1.948	0.175	0.285	0.24	1.026	0.153	0.311	0.588	0.043
ASV_1	0.629	17.107	0.409001593465091	0.703736677186619	NotSig	9.542	8.83	1.007	2.227	0.344	1.846	1.993	9.853	7.878	6.047	1.297	0.314	2.525	0.343	18.594	7.879	3.953	56.083	30.762	6.341	38.706	22.622	2.657	21.963	18.15	4.248	1.944	4.912	4.246	14.653	13.054	4.293	5.858	5.326	9.668	2.109	0.286	5.384	3.701	1.802	7.122	11.202	21.711	2.75	16.966
ASV_147	0.611	10.2	0.414797227216504	0.703736677186619	NotSig	0.108	0.062	0.018	0.05	0.101	0.034	0.024	0.064	0.009	0.005	0.004	0.012	0.01	0.002	0.101	0.05	0.105	0.011	0.047	0.032	0.043	0.021	0.009	0.087	0.056	0.16	0.145	0.043	0.198	0.094	0.097	0.021	0.415	0.084	1.593	0.038	0.007	0.063	0.019	0.045	0.161	0.047	0.016	0.133	0.01
ASV_188	0.636	9.132	0.416412235021668	0.703736677186619	NotSig	0.044	0.035	0	0	0.022	0.004	0.003	0.05	0.056	0.066	0.197	0.044	0.015	0.008	0.004	0.01	0.088	0.016	0.03	0.045	0.013	0.005	0.023	0.037	0.176	0.018	0.014	0.1	0.241	0.147	0.001	0.036	0.018	0.003	0.003	0.045	0.008	0.005	0.003	0.017	0.025	0.003	0.03	0.12	0.075
ASV_49	0.598	11.433	0.422148827150775	0.70636783948991	NotSig	0.226	0.219	0.049	0.049	0.09	0.008	0.067	0.303	0.103	0.154	0.769	0.012	0.018	0.022	0.079	0.431	0.096	0.401	0.082	0.082	0.056	0.359	0.018	0.156	0.676	0.055	0.037	0.015	0.907	0.629	0.894	0.029	0.956	0.057	0.224	0.034	0.007	0.158	0.013	0.122	0.087	0.027	1.059	0.205	0.08
ASV_31	0.706	12.474	0.427630815210844	0.708525566378751	NotSig	0.388	0.346	1.517	0.424	2.81	0.053	0.79	0.719	0.378	0.634	0.73	0.341	0.401	0.469	0.014	0.037	0.063	0.02	0.028	0.039	0.079	0.089	0.023	0.031	0.034	0.019	0.212	0.01	0.057	0.018	0.028	0.019	0.034	0.066	0.252	0.036	3.094	0.866	0.353	0.982	0.013	0.326	0.033	0.113	0.079
