ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS10P003	HS07P004	HS07P010	HS07P011	HS07P012	HS07P014	HS07P019	HS07P024	HS07P025	HS07P026	HS07P029	HS07P031	HS07P034	HS07P035	HS07P036	HS07P040	HS07P041	HS07P042	HS07P045	HS07P046	HS07P047	HS07P048	HS07P050	HS07P051	HS07P055	HS07P056	HS07P057	HS07P058	HS07P059	HS07P061	HS07P063	HS07P064	HS07P066	HS07P068	HS07P071	HS07P072	HS07P073	HS07P074	HS07P075	HS07P077	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_63	0.236	11.092	0.709189181686389	0.804021470148364	NotSig	0.196	0.168	0.013	0.177	0.282	0.079	0.292	0.056	0.123	0.243	0.28	0.224	0.271	0.064	0.069	0.228	0.057	0.638	0.606	1.031	0.11	0.05	0.002	0	0.025	0.01	0.035	0.038	1.611	0.021	0.125	0.02	0.05	0.583	0.075	0.029	0.16	0.019	0.129	0.006	0.009	0.006	0.592	0.133	0.348	0.122	0.185	0.007	0.134	0.007	0.853	0.071	0.004	0.001	0	0.062	0.002
ASV_203	-0.25	10.4	0.712597854510078	0.804021470148364	NotSig	0.092	0.085	0.046	0.024	0.093	0.018	0.025	0.094	0.044	0.015	0.057	0.075	0.012	0.058	0.004	0.019	0.015	0.019	0.088	0.023	0.064	0.022	0.207	0.015	0.027	0.034	0.008	0.057	0.01	2.146	0.048	0	0	0.013	0	0.014	0.164	0.02	0.018	0.015	0.051	0.007	0	0.016	0.023	0.066	0.065	0.104	0.184	0.043	0.037	0.017	0.189	0	0.193	0.014	0.323
ASV_97	0.199	11.337	0.713628523800323	0.804021470148364	NotSig	0.212	0.174	0.083	0.052	0.255	0.098	0.106	0.129	0.13	0.748	0.161	0.251	0.494	0.13	0.108	0.106	0.084	0.163	0.34	0.289	0.11	0.25	0.063	0.034	0.297	0.322	0.832	0.211	1.741	0.323	0.086	0.011	0.01	0.013	0.042	0.1	0.073	0.077	0.026	0.079	0.044	0.01	0.087	0.086	0.166	0.276	0.202	0.091	0.256	0.041	0.848	0.003	0.138	0.004	0.004	0.084	0.324
ASV_96	0.401	9.66	0.722419703811991	0.80853595989554	NotSig	0.066	0.057	0.005	0	0.003	0	0	0	0.002	0	0	0.015	0	0	0	0	0	0.002	0	0	0	0.02	1.54	0.375	0.001	0.313	0.026	0.001	0.027	0.002	0.002	0.002	0	0.005	0.022	0.245	0.004	0.026	0	0	0	0.001	0	0.001	0.002	0	0.263	0.539	0.003	0.021	0.007	0	0.012	0.003	0	0	0.008
ASV_144	0.201	9.501	0.769569792387138	0.855640098114646	NotSig	0.072	0.028	0.146	0.011	0.096	0.114	0.089	0.048	0.09	0.006	0.047	0.322	0.058	0.119	0.169	0.075	0.294	0.293	0.063	0.056	0.378	0	0.044	0.052	0.001	0.004	0.002	0.006	0	0.039	0.004	0.005	0.004	0.007	0.003	0.002	0.046	0.041	0.055	0.002	0.089	0.004	0.008	0.075	0.042	0.034	0	0.026	0.004	0.005	0.011	0.212	0.002	0	0	0	0
ASV_47	-0.207	10.964	0.783234293482444	0.863692748185636	NotSig	0.19	0.146	0.218	0.042	0.087	1.883	1.434	0.243	0.283	0.622	0.198	0.039	0.36	0.05	0.069	0.115	0.084	0.412	0.151	0.4	0.079	0	0	0.021	0.001	0.002	0	0	0.002	0.002	0.002	0.046	0	0.149	0.38	0.004	0.037	0.021	0.138	0	0.001	0.005	0.121	0.27	0.774	0.054	0.005	0.035	0.008	0.005	0.007	0.171	0.001	0	0.007	0.54	0.199
ASV_4	0.163	15.295	0.787033628524189	0.863692748185636	NotSig	3.931	3.536	1.298	0.647	0.42	2.021	9.834	2.24	2.713	3.615	9.63	20.217	5.28	1.429	11.057	3.319	10.926	6.044	9.995	10.439	4.525	0.081	0.143	12.143	3.926	0.154	0.352	0.403	0.323	0.367	0.442	0.913	0.085	5.777	2.421	0.313	3.41	6.42	2.024	1.477	0.152	0.242	22.115	12.353	8.761	3.12	0.762	1.205	1.029	0.14	0.163	1.247	0.052	0.004	0.027	2.033	0.034
ASV_3	0.166	15.043	0.795199324535476	0.867023779654809	NotSig	3.141	2.843	5.71	13.015	9.112	6.804	1.284	7.159	19.993	4.506	4.495	1.388	9.623	6.68	1.627	2.528	1.208	0.824	2.619	1.546	1.453	0.033	0.112	0.375	0.161	0.344	0.406	2.32	0.18	9.662	0.132	0.038	2.083	0.292	5.405	0.054	0.131	0.166	1.91	0.087	0.055	0.102	0.467	2.396	5.968	4.103	0.993	2.93	20.917	2.428	1.877	0.152	0.01	0.036	0.021	0.09	0.265
ASV_220	0.13	10.149	0.818839369743007	0.883527258726437	NotSig	0.107	0.099	0.058	0.207	0.131	0.277	0.392	0.426	0.111	0.053	0.035	0.206	0.156	0.331	0.096	0.264	0.168	0.189	0.134	0.073	0.213	0.009	0.025	0.043	0.003	0.011	0.002	0.003	0.018	0.017	0.152	0.002	0.012	0.028	0.078	0.025	0.086	0.202	0.008	0.021	0.016	0.007	0.229	0.43	0.504	0.081	0.012	0.012	0.021	0.038	0.011	0.102	0.005	0.005	0	0	0.031
ASV_69	0.169	13.034	0.820791595384914	0.883527258726437	NotSig	0.517	0.491	0.005	0.053	0.087	0.074	0.097	0.288	0.095	0.109	0.025	0	0.05	0.058	0.033	0.012	0.01	0.023	0.042	0.017	0.139	0.797	0.479	0.653	8.174	0.79	1.098	0.129	0.375	0.368	0.629	0.013	0.008	0.005	0.102	4.241	0.362	0.368	0.16	0.306	0.284	0.131	0.052	0.509	0.258	0.044	0.268	1.082	0.325	0.121	0.844	0	0.445	2.718	0.27	0.001	0.425
ASV_130	0.099	11.028	0.875213392710584	0.936145970684106	NotSig	0.19	0.139	0.568	0.018	1.461	0.191	0.109	0.151	0.434	0.132	0.044	0.239	0.206	0.426	0.484	0.092	0.88	0.193	0.096	0.117	0.191	0.004	0.046	0.58	0.001	0.004	0.014	0.003	0.003	0.011	0.154	0.002	0.014	0.015	0.142	0.24	0.057	0.084	0.095	0.01	0.051	0.027	0.482	0.535	0.203	0.073	0.009	0.234	0.004	0.034	0.047	0.344	0.012	0	0	0.01	0.098
ASV_99	0.105	12.608	0.900034505296653	0.956640449026002	NotSig	0.353	0.39	0.079	0	0.036	0.026	0.023	0.118	0.23	0.028	0.082	0.176	0.065	0.206	0.004	0.012	0.022	0.014	0.044	0.025	2.137	0.068	0.353	0.018	0.184	0.283	0.327	0.015	0.056	0.003	0	0.002	0.026	0.014	0.028	4.641	0.119	0.143	0.063	2.086	1.737	0.627	0	0.563	0.042	0.208	0.106	0.009	0.084	4.656	0.026	0.007	0.072	0.072	0.006	0	0.003
ASV_148	0.154	9.237	0.909805322993233	0.960981872411602	NotSig	0.036	0.039	0.067	0.001	0	0	0	0	0	0	0.003	0	0	0	0.006	0	0.007	0	0	0	0	0.59	0	0.015	0.06	0.006	0.005	0	0.265	0	0	0	0.002	0	0	0	0	0	0.001	0.318	0.072	0.039	0	0.001	0	0	0.002	0.002	0.558	0	0	0	0.022	0	0	0	0
ASV_56	-0.082	13.09	0.921151694977384	0.966923207771292	NotSig	0.509	0.612	0.772	0.003	0.005	0.096	0.178	1.547	0.291	0.002	0	0.021	0.086	0.029	0.252	0.021	0.022	0.037	0.103	0.04	0.163	0.107	0.032	0.488	0.99	0.372	8.036	0.235	0.233	3.489	0.002	0.035	0.164	0.067	0.002	0.025	0.191	0.098	0.104	0.025	0.13	1.864	0.015	0.148	0.403	0.09	3.855	0.169	1.131	3.227	0	0.001	0.046	0	0.086	0	0.002
ASV_1	-0.041	16.081	0.94069574246256	0.976335478544011	NotSig	6.212	5.672	5.815	31.267	6.652	21.516	15.99	12.146	4.341	8.721	2.293	2.654	11.062	13.333	3.882	19.785	8.443	7.865	5.961	6.722	10.891	0.43	0.735	13.379	0.394	0.256	0.161	0.168	1.44	1	0.675	0.812	6.027	0.355	1.947	1.3	8.316	2.578	3.521	1.477	3.556	0.621	23.926	16.554	11.594	13.581	0.167	3.092	0.317	0.668	1.284	9.567	0.184	2.81	0.235	0.4	0.693
ASV_9	0.038	14.229	0.94935202264497	0.976335478544011	NotSig	1.186	1.195	1.956	0.311	0.397	1.183	0.54	0.99	1.227	0.345	0.765	0.672	0.573	0.214	0.102	0.325	0.17	0.317	1.172	0.87	0.244	2.515	0.345	6.706	0.756	0.391	0.678	0.793	10.564	1.633	0.253	5.162	1.715	0.131	0.114	0.24	0.448	0.257	0.524	0.333	1.323	0.169	0.362	0.375	1.039	0.335	2.037	3.013	0.91	0.189	3.06	0.056	0.691	0.199	0.003	5.401	0.259
ASV_32	0.039	11.666	0.949677619455913	0.976335478544011	NotSig	0.338	0.331	0.019	0.747	0.167	1.813	1.128	0.685	0.608	0.264	0.23	2.147	0.118	1.554	0.179	0.261	0.289	0.137	0.14	0.224	0.139	0.018	0.01	0.055	0.007	0.041	0.003	0.021	0.021	0.114	0.007	0.009	0.008	0.031	0.297	0.01	1.309	0.131	0.025	0.07	0.446	0.029	0.534	2.903	0.284	0.213	0.031	0.332	0.109	0.315	0.026	0.138	0.002	0.001	0.003	0.006	0.073
ASV_91	0.048	11.94	0.957711870632347	0.976335478544011	NotSig	0.256	0.296	0.013	0.003	0.029	0.004	0.03	0.057	0.002	0.279	0.425	0.069	0.017	0.069	0.008	0.009	0.025	0.1	0.075	0.322	0.024	0.043	0.01	0.018	0.046	0.017	0.728	6.894	0.104	0.691	0	0	0	0	0.005	0.002	0.106	0.004	0.004	0	0.001	0.004	0.002	0.027	0.438	0.137	0.017	0.102	0.675	0.013	0	0	0	0.036	2.777	0.185	0.028
ASV_23	-0.032	13.411	0.959004079516603	0.976335478544011	NotSig	0.745	0.641	0.934	0.292	0.287	0.407	0.303	1.005	0.685	0.111	0.608	0.454	0.189	0.159	0.067	0.087	0.193	0.247	0.776	0.362	0.178	1.898	0.146	1.992	0.707	0.203	0.376	0.553	8.048	1.071	0.099	0.717	5.049	0.093	0.097	0.224	0.209	0.118	0.142	0.207	0.446	0.074	0.229	0.191	0.703	0.259	1.336	0.833	0.434	0.087	1.151	0.006	0.346	0.044	0	3.893	0.099
ASV_43	0.019	12.507	0.97338002593285	0.984501864713011	NotSig	0.397	0.345	0.238	0.302	0.297	0.594	0.473	0.816	0.423	0.188	0.189	0.496	0.369	0.254	0.27	0.581	0.509	0.324	0.224	0.291	0.358	0.01	0.015	0.564	0.107	0.043	0.018	0.054	0.034	0.13	0.231	0.088	1.861	1.507	1.997	0.073	0.485	0.766	0.203	0.019	0.291	0.191	0.594	0.697	0.495	0.428	0.041	0.142	0.298	0.093	0.129	0.708	0.02	0.619	0.032	0.622	0.262
ASV_34	0.019	13.316	0.978676409892224	0.984501864713011	NotSig	0.495	0.727	0.296	0.12	0.072	0.061	0.04	0.447	0.302	0.09	0.082	0.039	0.101	0.302	0.043	0.071	0.032	0.051	0.013	0.05	0.013	0.831	0.448	0.049	1.422	0.829	0.505	0.018	0.312	0.018	0.253	0.834	0.172	2.779	0.092	0.124	0.134	0.168	0.103	8.075	0.044	0.385	0.054	0.065	0.769	0.029	0.238	0.2	0.623	0.052	5.906	0.004	0.098	0.064	0.146	2.623	0.035
ASV_147	-0.009	9.984	0.989792574483097	0.989792574483097	NotSig	0.098	0.082	0.031	0.068	0.807	0.037	0.137	0.054	0.009	0.041	0.091	0.027	0.108	0.087	0.083	0.094	0.072	0.589	0.648	0.603	0.022	0.003	0	0.031	0.008	0.033	0.017	0.001	0.016	0.008	0.062	0.002	0	0.01	0.07	0.002	0.034	0.001	0.003	0.002	0.009	0.012	0.443	0.184	0.118	0.225	0.003	0.002	0.025	0.002	0.019	0.007	0.005	0	0.001	0.194	0.003
