ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS10P003	HS07P004	HS07P010	HS07P011	HS07P012	HS07P014	HS07P019	HS07P024	HS07P025	HS07P026	HS07P029	HS07P031	HS07P034	HS07P035	HS07P036	HS07P040	HS07P041	HS07P042	HS07P045	HS07P046	HS07P047	HS07P048	HS07P050	HS07P051	HS07P055	HS07P056	HS07P057	HS07P058	HS07P059	HS07P061	HS07P063	HS07P064	HS07P066	HS07P068	HS07P071	HS07P072	HS07P073	HS07P074	HS07P075	HS07P077	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_18	-1.847	13.904	0.00493459537583836	0.0269015038231188	Depleted	0.714	2.597	0.092	0.068	0.756	0.074	0.201	1.351	0.163	0.467	2.772	0.17	0.213	0.535	0.051	1.208	0.109	0.265	0.126	0.665	0.062	7.724	0.015	0.095	0.345	0.317	2.118	0.294	6.259	0.288	0.499	0.011	0.016	0.058	0.013	0.027	0.25	0.133	0.31	0.134	0.211	0.082	0.004	0.146	2.634	0.117	0.713	0.065	13.082	0.1	15.538	0.007	0.085	0.001	0.089	0.231	6.137
ASV_5	1.874	14.476	0.00568600655134289	0.0300292220992796	Enriched	2.279	0.809	1.164	1.562	1.269	1.753	1.813	1.657	2.037	3.003	3.147	4.233	1.918	1.461	0.832	1.996	1.908	8.87	8.861	9.883	1.594	1.422	0.058	0.326	0.222	0.218	0.24	2.014	1.286	1.318	0.528	0.046	0.145	20.727	0.413	0.462	1.376	0.42	0.56	0.089	0.191	0.131	1.735	1.039	2.037	3.436	0.87	1.344	0.295	0.079	0.981	0.107	0.128	0.001	0.003	0	0.086
ASV_66	3.74	11.768	0.0061879180527557	0.0316896409368398	Enriched	0.377	0.027	0.017	0	0.178	0.026	0.029	0.07	0	0	0	0	0	0	0.002	0.002	0.012	0.002	0.329	0	0.11	10.721	0.002	0	0.001	0.08	0.002	0.004	0.217	0	0.011	0.005	0.026	0.058	0	0	2.725	0.087	0.028	0.027	0.254	0.05	0	0.03	0.033	0.22	0.009	0	0	0	0.004	0	0.055	0.004	0	0	0.044
ASV_137	3.487	14.102	0.00683042118831976	0.0339512112007659	Enriched	1.102	0.096	0.013	0.003	0.007	0.012	0.003	0.01	0.005	0.026	0.009	0.096	0.007	0.016	0.002	0	0	0.002	0.008	0.004	0.009	0.004	0.017	0.021	0.003	0.017	0.002	0	0.005	0.018	0.007	0	0.002	0.084	37.341	0.303	0.097	5.731	0.015	0.13	0.029	0.032	0.004	0.112	0.047	0.027	0.017	0.046	0.003	0.007	0.127	0	0.518	0.215	0.176	0.121	0.026
ASV_25	1.611	13.2	0.00756927476925657	0.036077285125774	Enriched	1.003	0.335	1.013	0.091	0.209	0.54	0.545	0.591	1.297	1.656	0.268	1.293	2.746	0.699	3.493	0.895	11.633	2.2	0.948	1.287	1.482	0.029	0.387	0.36	0.074	0.079	0.018	0.122	0.048	0.415	0.477	0.975	0.232	0.193	0.067	0.663	0.306	0.112	0.43	0.031	1.912	0.317	0.44	0.653	0.901	0.616	0.537	0.481	0.143	0.605	0.056	0.075	0.037	0.141	0.297	0.021	0.024
ASV_42	2.083	12.796	0.00775019946328491	0.036077285125774	Enriched	0.714	0.17	2.449	0.342	2.97	0.065	0.017	0.025	0.098	1.356	3.267	0.137	1.103	0.146	0.043	2.849	0.156	0.049	0.593	1.153	0.108	0.026	0.058	0.921	0.004	0.097	0.071	2.181	0.05	5.569	0.002	0.346	0.04	0.014	0.161	0.035	0.24	0.087	0.061	0.11	1.538	0.009	0.056	0.016	0.033	0.35	0.986	0.741	0.184	0.02	0.009	0.052	0.012	0.001	0.053	0.035	0.003
ASV_109	-1.867	10.87	0.00805740125169913	0.036077285125774	Depleted	0.076	0.298	0.003	0.011	0	0.03	0.01	0.006	0.014	0.019	0.098	0.036	0.036	0.013	0	0.012	0.005	0.005	0.021	0.027	0.009	1.101	0.258	0.009	0.095	0.467	0.211	0.032	0.117	0.056	0	0.004	0.006	0.01	0.002	0.008	0.044	0.121	0.035	0.101	0.008	0.007	0.004	0.014	0.024	0.022	0.041	0.039	3.53	0.572	0.007	0.004	0.012	0	0.177	0.008	0.012
ASV_84	2.418	10.968	0.00811205227680126	0.036077285125774	Enriched	0.258	0.04	0.437	0.015	0.028	0.303	0.079	0.1	1.627	0.126	0.195	0.143	0.868	0.191	3.875	0.16	0.371	0.205	0.359	0.548	0.095	0	0.019	0.006	0.007	0.025	0.036	0	0.021	0.023	0	0.002	0.002	0.001	0.249	0.093	0.001	0.005	0.079	0.006	0.012	0.014	0.002	0.062	0.059	0.144	0.017	0.019	0.018	0.274	0	0	0	0	0	0	0
ASV_20	1.942	12.959	0.00927140908582302	0.0394833780648057	Enriched	0.62	0.211	0.027	0.264	0.184	0.326	0.082	0.391	0.432	0.217	0.677	0.131	0.523	0.326	0.632	0.36	0.101	0.414	1.413	0.429	0.187	0.024	0.131	0.903	0.06	0.717	0.065	0.593	0.468	0.479	0.299	3.205	0.097	0.261	0.149	0.056	1.101	0.702	7.685	0.374	0.14	0.175	0	0.027	0.123	0.394	0.039	0.276	0.227	0.414	1.381	0.158	0.011	0	0	0	0.119
ASV_114	2.278	9.509	0.00935423516049831	0.0394833780648057	Enriched	0.068	0.017	0	0.004	0.002	0.012	0.007	0.151	0.013	0.032	0.016	0.027	0	0.008	0	0.021	0.002	0.021	0.004	0.042	0.011	1.085	0.549	0.061	0.01	0.001	0.002	0.003	0.069	0.192	0.064	0.002	0	0.002	0.005	0.015	0.026	0.001	0.03	0	0.194	0.055	0.004	0.021	0.007	0.002	0.007	0.123	0.001	0.01	0.047	0.003	0	0	0	0.023	0.003
