z	module	p	roles	label	role_7
ASV_139	0.670820393249937	5	0	Peripherals		ultra peripheral
ASV_103	0	6	0	Peripherals		ultra peripheral
ASV_34	0	6	0.444444444444444	Peripherals		peripheral
ASV_293	-0.577350269189626	7	0	Peripherals		ultra peripheral
ASV_1219	-0.577350269189626	7	0	Peripherals		ultra peripheral
ASV_86	1.15470053837925	7	0	Peripherals		ultra peripheral
ASV_407	0	14	0	Peripherals		ultra peripheral
ASV_118	0	14	0	Peripherals		ultra peripheral
ASV_397	0	4	0	Peripherals		ultra peripheral
ASV_212	0	4	0	Peripherals		ultra peripheral
ASV_474	0	10	0	Peripherals		ultra peripheral
ASV_294	0	10	0	Peripherals		ultra peripheral
ASV_423	0	8	0	Peripherals		ultra peripheral
ASV_225	0	8	0	Peripherals		ultra peripheral
ASV_545	0	17	0	Peripherals		ultra peripheral
ASV_217	0	17	0.5	Peripherals		peripheral
ASV_342	-0.5	13	0	Peripherals		ultra peripheral
ASV_635	-0.5	13	0	Peripherals		ultra peripheral
ASV_616	-0.5	13	0	Peripherals		ultra peripheral
ASV_229	1.5	13	0	Peripherals		ultra peripheral
ASV_391	0	12	0	Peripherals		ultra peripheral
ASV_248	0	12	0	Peripherals		ultra peripheral
ASV_290	-0.577350269189626	20	0	Peripherals		ultra peripheral
ASV_550	-0.577350269189626	20	0	Peripherals		ultra peripheral
ASV_254	1.15470053837925	20	0	Peripherals		ultra peripheral
ASV_410	0	19	0	Peripherals		ultra peripheral
ASV_885	0	19	0	Peripherals		ultra peripheral
ASV_357	0	15	0	Peripherals		ultra peripheral
ASV_291	0	15	0	Peripherals		ultra peripheral
