orig_model	model	color	OTU	X1	X2
236	24	model_24	#348BBB	ASV_27	6.92625772347896	17.5323941783809
237	23	mini_model	#C1C1C1	ASV_188	22.8963403051655	5.11319638442631
238	3	model_3	#FDB567	ASV_731	-2.1734011900346	-15.1837787242224
239	3	model_3	#FDB567	ASV_197	-1.41729140475527	-18.0525100741057
240	2	model_2	#BA2148	ASV_708	13.0615992291947	-8.83764534606412
241	4	model_4	#E65948	ASV_486	-12.3158208277322	10.1147504757572
242	2	model_2	#BA2148	ASV_248	1.79686288975918	3.02768146333633
243	3	model_3	#FDB567	ASV_747	-6.47593442686895	-23.1437941570506
244	2	model_2	#BA2148	ASV_1155	11.6129265334814	-7.53615646292576
245	1	model_1	#9E0142	ASV_103	-2.55752566127257	-11.2993230557793
246	1	model_1	#9E0142	ASV_298	-15.5287759656674	-7.36507454613651
247	2	model_2	#BA2148	ASV_134	-3.65040372366088	-5.80012410490785
248	11	model_11	#FDD07D	ASV_874	2.21849783021733	-24.0484672272196
249	3	model_3	#FDB567	ASV_389	-2.6262468812549	-13.8115944332989
250	1	model_1	#9E0142	ASV_645	5.63775708630066	-16.0141584508949
251	11	model_11	#FDD07D	ASV_413	-1.41201252023295	-26.112428488241
252	9	model_9	#FEF6B1	ASV_380	-9.99732457704095	10.2777875469699
253	19	mini_model	#C1C1C1	ASV_726	10.8435336503837	15.7407325735476
254	1	model_1	#9E0142	ASV_280	6.79582314361706	-15.4380908598402
255	11	model_11	#FDD07D	ASV_430	2.99777908557322	-21.8108955940465
256	4	model_4	#E65948	ASV_625	-13.7681141503465	12.2956438091225
257	4	model_4	#E65948	ASV_996	-12.9148928523486	6.20325148333002
258	4	model_4	#E65948	ASV_232	-10.5918776956338	3.81493286612635
259	2	model_2	#BA2148	ASV_606	3.74941905559901	-5.98466443401511
260	3	model_3	#FDB567	ASV_770	-2.61881365939273	-16.8035801503195
261	24	model_24	#348BBB	ASV_148	8.05950137929075	16.957586550319
262	1	model_1	#9E0142	ASV_211	4.29257019370442	-15.4367462773292
263	2	model_2	#BA2148	ASV_624	-1.01822885150914	1.68610854561967
264	4	model_4	#E65948	ASV_713	-13.4289474993665	8.17120815491533
