ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_46	1.481	15.119	0.08573732420777	0.445450582838773	NotSig	0.255	0.091	0.49	0.041	0.004	0.003	3.56	0.143	0.075	0	0	0	0.001	0	0	0	0	0.017	0.006	0.374	0.116	0.151	0.232	0.072	0.019	0.253	0.006	0.073	0.064	0.005	0.004	0	0	0.005
ASV_59	-1.765	16.127	0.273288327857885	0.607706939578719	NotSig	0.242	0.822	0.054	0.072	0.294	0.034	1.347	0.014	1.461	0.004	0.076	0.018	0.462	0	0.019	0.004	0.004	0.118	0.133	0.062	0.235	0.173	0.335	7.157	0.346	0.074	0.199	0.064	0.003	0.244	0.196	0	0	3.248
ASV_30	-0.527	14.549	0.119641538596292	0.493156585921301	NotSig	0.165	0.237	0.173	2.397	0.079	0.088	0	0.01	0.014	0.001	0.003	0.008	0	0	0.003	0.003	0	0.019	0.004	1.141	0.39	0.208	1.154	0.024	0.311	0.047	0.22	0.047	0.011	0	0	0	0.006	0.003
ASV_138	-2.634	16.931	0.339767327311792	0.652507708132874	NotSig	0.214	1.33	0.357	0.008	0.041	0.062	0.048	0.001	1.373	0.633	0.379	0.001	0	0.002	0.736	0	0	0	0	0	0.235	1.593	0.32	0.108	0.132	12.495	1.148	3.655	0	0.005	0.246	0	0	0.008
ASV_42	1.759	15.962	0.96987408825479	1	NotSig	0.576	0.17	0.258	0.387	6.383	0.009	0.025	0.036	0.006	1.168	0.015	0.001	0	0	0.821	0.458	0.016	0.035	0.168	0.056	0.016	0.033	0.35	0.986	0.741	0.184	0.02	0.009	0.052	0.012	0.001	0.053	0.035	0.003
ASV_72	0.848	16.252	0.326138584303648	0.640900241247867	NotSig	0.595	0.331	0.057	0.138	7.805	0.177	0.014	0.114	0.002	0.103	0.116	0.006	0	0	0.356	0.204	0.065	0.575	0.389	0.06	0.027	0.286	0.223	0.675	0.829	0.124	0.01	0.039	0.251	0.001	0.498	1.056	0.869	0.011
ASV_60	-1.236	16.008	0.495884971462072	0.730043124898141	NotSig	0.264	0.622	0	0.251	0.187	1.913	0.043	0.07	0.074	0	0.203	0.001	1.285	0.026	0	0.151	0.27	0.013	0	0.031	0.25	0.182	0.768	0.405	0.418	0.016	0.015	0.047	0.007	0.025	0.575	0.004	0	6.589
ASV_41	0.764	14.651	0.939686179468114	1	NotSig	0.247	0.145	0.02	0.226	0.036	0.007	0.014	0.541	0.01	0.048	0	0.004	0.013	0.005	0.074	0	0.519	0.106	2.573	0.029	0.081	0.106	0.029	0.056	0.095	0.023	1.609	0.114	0.013	0.02	0	0	0	0.003
ASV_48	1.133	15.2	0.0589122023038912	0.445450582838773	NotSig	0.26	0.118	0.052	0.092	0	0.009	0	0.475	3.764	0	0	0.018	0.001	0	0	0	0	0.001	0	0.168	0.256	0.317	0.548	0.005	0.002	0.044	0.001	0.241	0.169	0.019	0	0.003	0.001	0
ASV_24	-0.196	9.966	0.426948771991406	0.693791754486034	NotSig	0.011	0.012	0	0.01	0	0.088	0	0	0.084	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.002	0.079	0.1	0	0	0.001	0	0	0	0
ASV_32	-0.43	14.825	0.306364456385389	0.630151637327794	NotSig	0.246	0.331	0.245	1.469	0.225	0.031	0.009	0.616	0.008	0	0	0	0	0	0.001	0	0.157	0.748	0.672	0.534	2.903	0.284	0.213	0.031	0.332	0.109	0.315	0.026	0.138	0.002	0.001	0.003	0.006	0.073
