ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083
ASV_203	0.959	11.092	0.541423282599753	1	NotSig	0.054	0.028	0.041	0.218	0.006	0.018	0.026	0.002	0.107	0.014	0.033	0.081	0.005	0.019	0.078	0.012	0.008	0.003	0.012
ASV_146	0.957	14.33	0.664812620947746	1	NotSig	0.326	0.168	0.024	0.061	2.059	0.238	0.175	0.053	0	0	0.031	0.067	0.524	0.371	0.353	0.122	0.043	0.001	0.001
ASV_142	-1.211	9.946	0.309338324037324	1	NotSig	0.007	0.016	0.002	0	0.026	0.019	0	0	0.009	0	0.002	0.005	0.008	0.099	0.001	0.009	0.016	0.003	0.003
ASV_143	-0.517	11.977	0.814808720691074	1	NotSig	0.081	0.116	0.024	0.052	0.217	0.164	0.086	0.074	0.004	0.026	0.034	0.082	0.403	0.135	0.041	0.135	0.206	0.001	0.004
ASV_108	0.872	12.31	0.563463732865863	1	NotSig	0.163	0.089	0.007	0.241	0.386	0.045	0.508	0.1	0.014	0	0.002	0.056	0.112	0.241	0.273	0.096	0.005	0.016	0
ASV_123	0.107	13.297	0.73565245946642	1	NotSig	0.191	0.178	0.241	0.656	0.014	0.191	0.059	0.368	0	0.002	0.069	0.084	0.036	0.019	0.24	0.146	1.006	0	0
ASV_125	1.044	8.247	0.799502808501881	1	NotSig	0.005	0.002	0.002	0.003	0	0	0.003	0	0.03	0	0.002	0	0	0.013	0.003	0.002	0	0.001	0
ASV_407	-0.25	9.431	1	1	NotSig	0.014	0.016	0	0	0.004	0	0.054	0.011	0.029	0.014	0	0	0.004	0.012	0.056	0.002	0	0.069	0.007
ASV_141	0.427	12.513	0.888358700123406	1	NotSig	0.152	0.113	0.009	0.008	0.111	0.351	0.584	0.142	0.007	0.004	0.1	0.012	0.242	0.103	0.394	0.103	0.056	0.006	0.001
ASV_127	0.799	12.116	0.73565245946642	1	NotSig	0.115	0.066	0.444	0.194	0.002	0.028	0	0	0.102	0.153	0.327	0.191	0.002	0	0.008	0.007	0.002	0.016	0.044
ASV_140	-0.962	14.058	0.235870012340601	1	NotSig	0.154	0.3	0.066	0.003	0.237	0.907	0.003	0.004	0.002	0.012	0.048	0.005	0.182	0.534	0.044	1.705	0.162	0.01	0.012
ASV_135	-3.544	13.712	0.808741160319879	1	NotSig	0.018	0.206	0.048	0.023	0.01	0.001	0.011	0.049	0	0	0.021	1.342	0.011	0.006	0.012	0.457	0	0.006	0
ASV_147	0.152	13.152	0.962566844919786	1	NotSig	0.187	0.169	0.328	0.031	0.036	0.01	0.182	0.91	0	0.002	0.015	0.142	0.88	0.046	0.163	0.25	0.007	0.015	0.001
ASV_158	-1.331	12.505	0.526556284010655	1	NotSig	0.028	0.071	0.124	0	0.022	0.004	0	0.009	0.034	0.034	0.005	0	0.001	0.015	0	0.01	0	0.581	0.026
ASV_220	-1.349	14.556	0.888358700123406	1	NotSig	0.157	0.399	0.269	0.236	0.154	0.243	0.145	0.196	0.005	0.005	0.223	2.409	0.131	0.428	0.121	0.062	0.196	0.022	0
ASV_134	-0.599	11.31	0.742986425339367	1	NotSig	0.073	0.11	0.031	0.034	0.062	0.197	0.17	0.032	0.002	0.055	0.03	0.035	0.144	0.254	0.154	0.151	0.193	0.012	0.02
ASV_207	0.874	11.26	0.73565245946642	1	NotSig	0.044	0.024	0.007	0	0.001	0.05	0.004	0.002	0.046	0.245	0.002	0	0	0.01	0.013	0.019	0.002	0.138	0.035
ASV_101	1.994	8.841	0.829406356088729	1	NotSig	0.006	0.002	0	0	0.001	0.046	0	0.004	0	0	0	0	0.005	0.003	0	0.005	0.002	0	0
ASV_167	-0.097	11.065	0.921648384539667	1	NotSig	0.057	0.061	0.214	0	0.103	0.038	0.035	0.066	0	0	0.199	0	0.092	0.129	0.057	0.024	0.048	0	0
ASV_149	0.245	11.71	0.814808720691074	1	NotSig	0.131	0.11	0.173	0.075	0.317	0.066	0.248	0.162	0.002	0.004	0.335	0.287	0.047	0.122	0.089	0.091	0.015	0.001	0.005
ASV_870	1.296	13.648	0.541423282599753	1	NotSig	0.211	0.086	0.017	0.001	0.288	1.284	0.009	0.028	0.034	0.026	0.03	0.007	0.233	0.319	0.043	0.027	0.063	0.043	0.009
ASV_210	-0.98	10.729	0.742986425339367	1	NotSig	0.025	0.049	0.005	0.011	0.013	0.006	0.016	0.004	0.077	0.067	0.005	0.009	0.004	0.17	0.005	0.017	0.012	0.132	0.09
ASV_157	3.169	11.804	0.961147855167293	1	NotSig	0.051	0.006	0.026	0.019	0	0	0.001	0.004	0.358	0	0.025	0.012	0.002	0	0	0.002	0.002	0.003	0.005
ASV_144	0.152	11.765	0.80943544919808	1	NotSig	0.08	0.072	0.158	0.003	0.067	0.225	0.12	0.068	0.002	0	0.008	0	0.013	0.106	0.096	0.077	0.348	0.003	0
ASV_121	0.691	12.494	0.962566844919786	1	NotSig	0.16	0.099	0.041	0.027	0.099	0.577	0.059	0.461	0.009	0.004	0.028	0.011	0.074	0.064	0.191	0.293	0.218	0.01	0.001
ASV_311	0.281	11.438	0.742986425339367	1	NotSig	0.071	0.058	0.046	0.045	0.035	0.065	0.277	0.07	0.005	0.025	0.057	0.091	0.065	0.064	0.102	0.106	0.026	0.009	0.005
ASV_166	-3.836	13.142	0.464963624582472	1	NotSig	0.011	0.161	0.002	0	0.001	0.046	0.009	0.032	0	0	0	0	0.006	0.02	0.008	0.904	0.505	0.001	0.003
ASV_177	-1.726	10.473	0.289543007927846	1	NotSig	0.013	0.044	0.02	0.003	0.001	0	0.032	0.038	0.007	0.004	0	0.077	0.02	0.003	0.022	0.142	0.015	0.004	0.109
ASV_235	0.154	11.287	0.962566844919786	1	NotSig	0.092	0.083	0.25	0.027	0.07	0.224	0.077	0.068	0.005	0.016	0.061	0.074	0.13	0.125	0.119	0.039	0.188	0.006	0.005
ASV_151	-1.132	12.255	0.177665829328152	1	NotSig	0.065	0.143	0.007	0.001	0.043	0.019	0.404	0.047	0.002	0	0.008	0.065	0.03	0.489	0.421	0.197	0.008	0.07	0
ASV_169	1.544	11.821	0.814808720691074	1	NotSig	0.072	0.025	0.012	0.001	0.063	0.362	0.011	0.123	0.004	0.002	0.01	0.012	0.062	0.038	0.012	0.048	0.04	0.001	0
ASV_128	-5.044	11.832	0.948456767535626	1	NotSig	0.001	0.041	0	0	0.007	0	0.003	0	0	0	0	0	0	0	0.001	0.365	0	0	0
ASV_131	-2.41	14.311	0.590123203680901	1	NotSig	0.051	0.273	0	0	0	0.004	0.405	0	0	0.002	0	0	0	0.009	2.032	0.413	0	0	0.003
ASV_156	0.735	7.13	1	1	NotSig	0.002	0.001	0	0.001	0.001	0.014	0.001	0	0	0	0	0	0	0.006	0.001	0.002	0.003	0	0
ASV_183	-2.43	11.593	0.765326328087461	1	NotSig	0.008	0.041	0	0	0	0.055	0.005	0	0	0	0	0	0.05	0.309	0.005	0	0	0	0
