ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_94	0.781	15.841	0.191651062017431	0.649900536559303	NotSig	0.419	0.244	0.104	0.115	0.044	0.237	0.473	0.233	0.126	0.021	0.048	0.021	0.003	1.901	5.87	0	0.001	0.536	0.027	0.018	0.023	0.063	0.022	0.019	0.004	0.052	0.041	0.89	0.058	0.098	0.225	0.078	0.547	0.241	0.229	0.689	0.12	0.001	0.025	0.182	1.101	0.008	0.057
ASV_53	-0.471	12.174	0.682577470256734	0.809088503132051	NotSig	0.053	0.073	0.017	0.055	0.208	0.028	0.031	0.151	0.004	0	0.005	0.013	0	0	0	0.001	0	0.006	0.027	0.036	0.117	0.131	0.057	0.042	0	0.076	0	0.368	0.017	0.124	0.204	0.032	0.044	0.462	0.096	0.024	0.004	0	0.001	0.018	0	0	0.072
ASV_66	-0.463	11.104	0.920488173456633	0.953660159108395	NotSig	0.019	0.027	0	0.062	0	0	0.036	0.007	0.013	0	0.113	0	0	0.004	0	0.083	0	0	0.004	0.003	0.004	0.007	0.055	0.107	0	0.002	0	0	0	0.03	0.033	0.22	0.009	0	0	0	0.004	0	0.055	0.004	0	0	0.044
ASV_74	-0.19	13.243	0.0650728771987913	0.467086786746955	NotSig	0.091	0.103	0.317	0.283	0.969	0.122	0.009	0.01	0	0.024	0.001	0	0	0.03	0	0	0	0.001	0.094	0.008	0.003	0	0.004	0.009	0	0	0	0.475	0.214	0.397	0.17	0.147	0.003	0.176	0.032	0.003	0.004	0.013	0.009	0.015	0	0.367	0.002
ASV_63	-0.335	13.871	0.302962030655022	0.649900536559303	NotSig	0.133	0.168	0.44	0.507	0.194	0.147	0.01	1.499	0.012	0.304	0.004	0.006	0.003	0	0.025	0	0.044	0.043	0.087	0.006	0.01	0.068	0.025	0.028	0	0	0.001	0	0.592	0.133	0.348	0.122	0.185	0.007	0.134	0.007	0.853	0.071	0.004	0.001	0	0.062	0.002
ASV_90	-3.287	15.24	0.0164374986182075	0.429861909142883	NotSig	0.079	0.77	0.067	0.065	0.102	0.1	0.501	0.393	0.001	0.004	0.223	0.143	0	0.03	0.001	0.004	0.246	0	0.053	0.052	0	0.044	0.004	0.001	0	0	0	0.017	0.091	0.093	0.09	0.029	0.762	3.513	0.184	2.407	0.026	0.006	0.02	3.871	0.001	0.064	0.39
ASV_119	0.07	14.84	0.260909717072296	0.649900536559303	NotSig	0.29	0.276	0.065	0.005	0.017	0.004	0.013	0.005	0.003	0.036	0.017	0.078	0.001	0.046	0	0.007	0.077	1.598	0.034	0.251	0.986	0.121	0.775	0.5	0	0.103	0.04	2.754	0.064	0.074	0.016	0.002	0.007	0.808	0.03	0.185	0	0.01	2.933	0	0.009	0	0.003
ASV_881	2.054	15.911	0.0152482904337024	0.429861909142883	NotSig	0.257	0.062	0.072	0.067	6.162	0.289	0.004	0.017	0	0.008	0.032	0.006	0	0.001	0	0	0	0.006	0.014	0.005	0.001	0.001	0.001	0.003	0	0	0	0	0.031	0.16	0.087	0.144	0.005	0.323	0.035	0.092	0.009	0.02	0.011	0.001	0	0.004	0.008
ASV_86	-2.209	15.345	0.372912165262575	0.649900536559303	NotSig	0.088	0.407	0	0	0.102	1.107	0.486	0.122	0.001	0.008	0.004	0.158	0	0.03	0.246	0.001	0.003	0.011	0	0	0	0.007	0	0	0	0	0	0	0	0	0	1.098	0.128	0.255	0.115	0.107	0.002	0.003	0	0	4.162	0	0.229
ASV_88	-1.863	15.403	0.758407007613621	0.85447189524468	NotSig	0.135	0.492	0.08	0.031	0.044	0.006	0.512	0.043	0.553	0.003	0.006	0.301	0.047	0.055	0.003	0.005	0.101	0.06	0.007	0.032	0.399	0.157	0.376	0.129	0.004	0.12	0.261	0.179	0.01	0.119	0.012	0.022	0.089	4.332	0.027	1.555	0.079	0.028	0.971	0.013	0.118	0	0.003
ASV_79	-1.521	15.57	0.413562183178996	0.705979888457074	NotSig	0.149	0.426	0.039	0.309	0.097	0.701	0.045	0.002	0.01	1.325	0.074	0	0.029	0.004	0.046	0.375	0.055	0.405	0.093	0.008	0.013	0.159	0.003	0.036	0.001	0.005	0.022	0.007	0.191	0.185	0.237	0.35	0.032	0.309	0.021	0.053	0.11	4.864	0.001	0.014	0.015	0.008	0.006
ASV_77	-0.889	13.125	0.0203484927404915	0.429861909142883	NotSig	0.1	0.185	0.158	0.843	0.471	0.186	0.007	0.002	0.001	0.717	0.023	0.003	0.003	0.008	0	0.012	0	0.04	0.004	0.106	0.001	0.007	0.001	0	0	0	0	0	0.723	0.358	0.894	0.127	0.009	0.139	0.008	0.01	0.137	0.234	0.004	0.004	0.001	0.117	0.006
ASV_124	-0.386	14.68	0.147528879454444	0.628531312753992	NotSig	0.21	0.275	0.118	0.083	0.039	0.041	0.178	0.043	1.625	0	0.031	0.015	0.058	1.122	0.712	0.011	0.013	0.161	0.018	0.866	0.062	0.029	0.055	0.099	0	0.04	0.005	0.042	0.002	0.044	0.168	0.083	0.142	0.197	0.24	0.123	0.176	0	0.019	0.114	2.625	0.095	0.092
ASV_99	-1.053	15.507	0.160302041198104	0.628531312753992	NotSig	0.188	0.39	0.086	0.057	0.039	0.169	0.047	0.067	0.079	0.008	0.047	0.126	0	3.728	0.001	0.001	0	0.006	0	0	0	0.001	0	0	0.011	0	0.006	0.412	0	0.563	0.042	0.208	0.106	0.009	0.084	4.656	0.026	0.007	0.072	0.072	0.006	0	0.003
ASV_85	0.189	16.097	0.639582324589754	0.802270568990388	NotSig	0.553	0.485	0.192	0.531	0.036	0.026	0.026	0.235	0.01	0.071	7.009	0.024	0.376	0.037	0.225	0.104	0.807	2.677	0.05	0.259	0.427	0.229	0.185	0.123	0.034	0.138	0.512	0.038	0.148	0.209	0.204	0.093	0.029	0.03	0.092	0.006	0.429	0.024	0.081	0.22	0.065	3.458	2.189
ASV_75	0.247	14.444	0.680960513857557	0.809088503132051	NotSig	0.267	0.225	1.827	0.075	0.194	1.276	0.013	0.038	0	0.934	0.087	0	0	0	0	0.061	2.229	0.094	0.016	0.023	0.006	0.051	0.014	0.009	0	0	0	0	1.17	0.156	0.119	1.663	0.012	0.033	0.035	0.105	0	0.079	0.004	0	0	0.003	0.002
ASV_84	1.373	14.483	0.494250418436409	0.763743269889489	NotSig	0.103	0.04	0.07	0.089	2.29	0.107	0.006	0.012	0	0.006	0.002	0	0	0.003	0	0	0	0	0.078	0.001	0	0	0	0	0	0	0	0.006	0.002	0.062	0.059	0.144	0.017	0.019	0.018	0.274	0	0	0	0	0	0	0
ASV_106	-0.938	16.984	0.351364282991046	0.649900536559303	NotSig	0.461	0.883	0	0.018	0	0.013	0.053	0.192	10.612	0	0.057	0	0.302	0.006	0.639	0.004	0.001	0	0.003	0.057	0.003	0.003	0.001	0.011	0	0	0	0	0	0.01	0.012	0.002	0.034	0.067	0.029	0.024	12.961	0	0.067	0	0.004	0.026	0.002
ASV_76	1.108	15.524	0.303679182845355	0.649900536559303	NotSig	0.376	0.175	0.185	0.265	0.332	0.152	0.074	0.307	0.022	0.032	0.028	0.036	0.424	0.008	0.041	0	0.357	0.029	4.712	0.151	0.92	0.264	0.151	0.36	0.016	0.426	0.43	0.067	0.229	0.132	0.199	0.127	0.212	0.116	0.114	0.006	0.12	0.031	0.016	0	0.019	0.947	0.353
ASV_78	1.101	14.025	0.674693583249305	0.809088503132051	NotSig	0.207	0.096	0.142	0.083	0.086	0.509	0.022	0.014	0.007	0.446	0.014	0.011	0.004	0.001	0.001	0.044	0.32	0.245	0.025	1.667	0.048	0.69	0.208	0.772	0	0.003	0	0.017	0.15	0.14	0.151	0.406	0.024	0.046	0.013	0.361	0.084	0.056	0.005	0	0	0.009	0.002
ASV_83	0.771	13.407	0.0855895160647491	0.50042992642649	NotSig	0.104	0.061	0.503	1.086	0.701	0.237	0.003	0.062	0	0	0	0	0	0.001	0	0	0.003	0	0.016	0	0	0.004	0.006	0.007	0	0.031	0.001	0.034	0.226	0.156	0.09	0.289	0.007	0.007	0.056	0.01	0.011	0	0.002	0.01	0	0.045	0.002
ASV_64	-1.052	17.589	0.162109388116886	0.628531312753992	NotSig	0.879	1.822	1.447	0.081	0.008	1.567	0.012	0	0	19.713	0.006	0	0	0	0	0	0.004	0	0	0.003	0	0.001	0	0	0	0	0	0	6.254	3.328	0.081	0.418	0.003	0.012	0.003	0	0	17.227	0	0	0.001	0	0
ASV_97	0.641	14.075	0.639582324589754	0.802270568990388	NotSig	0.271	0.174	0.438	0.14	0.114	0.485	0.013	0.468	0.01	0.003	0.036	0.021	0.755	0.073	0.016	0	0.016	0.06	0.029	0.049	0.524	0.265	0.217	1.726	0.333	0.443	0.319	0.502	0.087	0.086	0.166	0.276	0.202	0.091	0.256	0.041	0.848	0.003	0.138	0.004	0.004	0.084	0.324
ASV_89	1.535	15.085	0.357225140960521	0.649900536559303	NotSig	0.228	0.079	0.087	0.088	0.047	0.013	0.092	0.055	0.006	0.025	0.005	0.116	0.001	0.004	0.001	3.476	0.005	0.001	0.023	0.515	0.059	0.596	0.333	0.309	0	0.01	0.004	0.064	0.075	0.109	0.509	0.005	0.044	0.337	0.037	0.033	0.004	0.014	0.002	0.013	0	0	0
ASV_70	-0.234	12.828	0.858102441941135	0.923689889732814	NotSig	0.087	0.102	0.17	0.159	0.302	0.135	0.001	0	0.002	0.081	0	0.354	0	0	0.001	0	0	0.029	0.007	0.012	0.416	0.309	0.15	0.05	0	0.08	0	0	0.16	0.161	0.727	0.066	0.002	0.005	0.008	0.003	0.004	0.035	0	0	0	0.36	0
ASV_100	-3.14	16.535	0.524100815183353	0.763743269889489	NotSig	0.107	0.943	0.19	0.167	0.006	0.019	0.193	0.149	0.012	0	0.115	0	0	0.668	0.003	0.001	0	0.076	0.087	0.102	0.146	0.379	0.155	0.109	0.134	0.001	0.068	0.001	0.044	0.041	0.126	0.012	0.694	0.71	0.069	0.018	0.238	0	2.648	0	0.047	0.001	9.495
ASV_93	-1.158	12.765	0.0365527459831021	0.467086786746955	NotSig	0.057	0.127	0.149	0.417	0.299	0.214	0.003	0.002	0	0.251	0.049	0.003	0.009	0.01	0	0.013	0	0.033	0	0.027	0	0.001	0.001	0.001	0	0	0	0	0.696	0.324	0.455	0.152	0.017	0.028	0.015	0.014	0.131	0.051	0.011	0	0	0.013	0.005
ASV_118	-0.995	14.482	0.921701432829932	0.953660159108395	NotSig	0.126	0.251	0	0	0.003	0.25	0.06	0.379	0.014	0	0.127	0	0.472	0	0.001	0	0	0.472	0.026	0.956	0.013	0.435	0.029	0.038	0	0	0	0	0	0	0	0.68	0.009	0.002	0.457	0.131	2.289	0	0.015	0	0.184	0.003	0
ASV_98	2.545	12.645	0.560871239443182	0.763743269889489	NotSig	0.037	0.006	0.149	0.029	0.097	0.004	0.641	0.017	0	0.001	0	0.008	0	0.003	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0.012	0	0.007	0.005	0.021	0.034	0	0	0.001	0	0	0.003	0
ASV_61	-0.968	11.692	0.348086646457918	0.649900536559303	NotSig	0.029	0.057	0.01	0.218	0.011	0.265	0	0	0	0.007	0	0	0	0	0	0	0	0.233	0.003	0	0	0.003	0	0.004	0	0	0	0	0	0.175	0.331	0.325	0	0	0.008	0.006	0	0	0.002	0.001	0	0	0.002
ASV_117	2.314	16.399	0.364465475077616	0.649900536559303	NotSig	0.827	0.166	0.041	0.039	0.31	0.062	0.128	0.103	1.116	0.001	0.014	0.057	0.099	0.475	8.103	0.008	1.234	0.157	0.003	0.229	0	0.032	0.001	0.04	8.641	0.023	0.328	0.249	0.037	0.076	0.048	0.127	0.044	0.176	0.045	0.008	0.376	0	0.002	0.027	0	1.403	0.122
ASV_104	0.55	16.587	0.550069678269796	0.763743269889489	NotSig	0.447	0.305	0.072	0.193	0.008	0.038	0.064	0.098	0.002	0	0.002	0	0.068	0.108	0	0.009	0.004	0	0	0.29	0.003	0.026	0.003	0.004	9.844	0.025	0.469	0.289	0.025	0.156	0.75	0.572	0.022	0.012	0.057	0.001	0	0	0.112	0.138	0	0.009	2.725
ASV_105	5.188	17.046	0.26730890031312	0.649900536559303	NotSig	1.071	0.029	0	0.002	0.069	0.024	0.254	0	13.531	0	0	0.113	0	0	0	0	0	0	0.094	0.148	1.358	0.715	8.074	0.802	0	0.468	2.179	0.004	0	0	0.002	0.034	0.003	0	0.001	0.121	0.26	0	0.006	0	0.001	0.012	0
ASV_136	4.824	16.883	0.289605200500201	0.649900536559303	NotSig	0.902	0.032	0.046	0	0	0.021	0.006	0.065	0	0.067	0.047	0.001	12.085	0.22	0	0	0.079	9.062	0.027	0.106	0.036	0.481	0.435	0.681	0	0	0	0	0.017	0.031	0	0.274	0.022	0.021	0.032	0.025	0	0.003	0.049	0	0.003	0.001	0
ASV_174	2.792	17.734	0.449397378862261	0.744589774781589	NotSig	0.871	0.126	0.048	0.347	0.033	0.015	0.201	0.014	0	0	0	0	0.003	0.015	21.801	0	0.021	0.001	0	0.009	0.001	0	0	0.007	0.049	0.033	0.021	0.018	0.031	0.156	0.752	0.064	0.128	0.193	0.518	0.037	0.006	0	0.002	0	0	0	0
ASV_112	2.215	14.029	0.253328834987334	0.649900536559303	NotSig	0.213	0.046	0.233	0.047	0.006	0.006	0.592	0.024	0.014	0.001	0.183	0.003	0	0.019	0.047	0.017	1.672	0.004	0.038	1.17	0.017	0.867	0.013	0.008	0.183	0.04	0.217	0.116	0.021	0.137	0.009	0.007	0.038	0.121	0.011	0.039	0.017	0.001	0.172	0.104	0.007	0.001	0.003
ASV_111	-1.761	13.636	0.0858725909252558	0.50042992642649	NotSig	0.039	0.131	0.003	0.179	0.199	0.107	0.012	0.043	0.001	0	0.01	0	0	0	0	0	0.001	0.026	0.15	0.003	0.001	0.009	0.01	0.032	0	0	0	0.224	0.058	0.325	0.125	0.076	0.01	0.046	0.015	0.006	0.004	0.001	0.03	1.273	0	0.001	0.002
ASV_126	0.985	13.805	0.350324341349474	0.649900536559303	NotSig	0.242	0.122	0.06	0.003	0.017	0.013	0.099	0.014	1.26	0	0.025	1.166	0.019	0.199	0.001	0.077	0.015	0.01	0.011	0.639	0.017	1.432	0.017	0.004	0.269	0.126	0.446	0.363	0.004	0.086	0	0.024	0.005	0.297	0.04	0.369	0.056	0.011	0.181	0.753	0	0.008	0.002
ASV_96	-1.313	12.433	0.113457675136521	0.587515413504591	NotSig	0.023	0.057	0	0.005	0.003	0	0.553	0.005	0.013	0	0.004	0	0	0	0.001	0	0	0	0	0	0.003	0	0.003	0.007	0.001	0	0.002	0	0	0.001	0.002	0	0.263	0.539	0.003	0.021	0.007	0	0.012	0.003	0	0	0.008
ASV_130	-1.117	12.637	0.0714386645023029	0.467086786746955	NotSig	0.064	0.139	0.116	0.268	0.307	0.079	0.01	0.007	0.002	0.637	0.098	0.001	0	0.035	0	0.001	0.003	0.003	0.052	0.008	0.001	0.01	0.014	0.011	0.002	0	0.001	0	0.482	0.535	0.203	0.073	0.009	0.234	0.004	0.034	0.047	0.344	0.012	0	0	0.01	0.098
ASV_137	0.579	13.775	0.734890305626674	0.842854882334254	NotSig	0.144	0.096	0.026	0.013	0	0.004	0.044	0.002	0.004	0	0.065	0.138	0.084	1.402	0.36	0.231	0.04	0.304	0.014	0.629	0.041	0.201	0.085	0.026	0	0.011	0.021	0	0.004	0.112	0.047	0.027	0.017	0.046	0.003	0.007	0.127	0	0.518	0.215	0.176	0.121	0.026
ASV_107	6.243	18.65	0.97796565385019	0.99563973193182	NotSig	1.721	0.023	0.005	0.019	0.451	0.092	0	0.005	0	0	0.001	0.021	0	0	0	0	0	1.911	41.14	0.207	0.109	0.329	0.189	0.189	0	0	0	0.067	0.023	0.044	0.01	0.11	0.007	0.007	0.012	0.011	0	0	0.006	0	0.087	0.001	0.021
ASV_109	-1.432	15.108	0.303489549238474	0.649900536559303	NotSig	0.11	0.298	0.014	0.019	0.006	0.013	0.006	0.808	0	0.004	0.017	0.025	0.042	0.006	0	0	0.005	0.001	0.001	0.001	0.014	0.131	0.015	0.049	1.65	0.007	0.022	0.013	0.004	0.014	0.024	0.022	0.041	0.039	3.53	0.572	0.007	0.004	0.012	0	0.177	0.008	0.012
ASV_189	-1.696	15.162	0.101982997308645	0.574504218172034	NotSig	0.157	0.507	0.158	0.205	0.072	0.047	0.007	0.098	0.025	0.013	0.056	0.062	0.595	0.881	0.967	0.005	0.023	0.422	0.044	0.027	0.032	0.047	0.015	0.013	0.168	0.004	0.079	0.006	0.276	0.113	0.187	0.054	0.116	0.037	0.023	0.006	0.399	0.051	0.007	3.667	0.192	0.98	1.502
ASV_92	-2.899	10.765	0.325258620145455	0.649900536559303	NotSig	0.004	0.026	0.002	0.002	0.022	0.034	0.001	0.01	0.002	0.015	0.002	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.003	0.088	0	0.007	0.041	0.082	0.174	0	0.001	0	0	0	0
ASV_82	-1.972	12.109	0.0613384133698322	0.467086786746955	NotSig	0.016	0.062	0.057	0.042	0.111	0.15	0.004	0	0	0.022	0.004	0	0	0	0	0	0	0.017	0	0	0	0.003	0	0.003	0	0	0.001	0	0	0.038	0.442	0.22	0	0.13	0.037	0.022	0.03	0.008	0.004	0	0	0	0.005
ASV_95	-0.558	13.572	0.517198089218364	0.763743269889489	NotSig	0.067	0.099	0.007	0.096	0.191	0.073	0.003	0.002	0	1.218	0.007	0	0	0	0.001	0	0	0	0.016	0	0	0.003	0	0.122	0	0	0	0	0.01	0.071	0.118	0.103	0	0.005	0.001	0.003	0	1.166	0.001	0	0	0	0
ASV_110	1.186	16.046	0.564898868261456	0.763743269889489	NotSig	0.394	0.173	0.067	0.006	0.014	0.019	6.764	0.036	0.148	0.008	0.041	0.074	0.508	0.22	0.004	0.001	0.494	0.019	0.003	0.024	0.034	0.632	0.109	0.045	0.038	0.468	0.394	0.064	0.062	0.049	0.003	0.012	0.342	1.511	0.012	0.176	0.009	0.014	0.102	0.117	0.177	0	0.008
ASV_80	-2.525	18.686	0.0665287933623822	0.467086786746955	NotSig	0.489	2.815	0.003	0.006	0	0.002	0.006	0	0	12.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.017	0.005	0.009	0.005	0.006	0	0	42.184	0	0	0	0	0
ASV_114	5.604	15.521	0.0357736425901681	0.467086786746955	NotSig	0.817	0.017	0.13	0.01	0.003	0.013	0.006	0.002	3.545	0.001	0.013	0.599	0.086	0.006	0.003	0	0.001	0.003	0.057	4.702	1.015	0.613	3.768	1.785	0	3.205	1.196	0.482	0.004	0.021	0.007	0.002	0.007	0.123	0.001	0.01	0.047	0.003	0	0	0	0.023	0.003
ASV_199	1.102	15.997	0.14629601037164	0.628531312753992	NotSig	0.395	0.184	0.007	0.003	0	0	0.006	0.002	0	0	0.026	0	0.003	0.075	0.003	0	0.043	0.006	0.033	0.086	0.098	6.541	0.701	0.331	0	0.011	0.025	2.277	0.002	0.001	0	0	0	0.016	0.015	0.052	0	0.004	2.664	0	0.001	0.001	0.005
ASV_159	-1.409	14.209	0.220988704897985	0.649900536559303	NotSig	0.089	0.236	0.113	0.068	0.028	0.058	0.012	0.01	0.003	0	0.061	0.021	0.099	0.984	0.001	0.004	0.18	0.097	0.023	0.003	0.006	0.162	0.001	0.013	0.053	0.053	0.251	0.007	0.031	0.074	0.061	0.017	0.003	0.341	0.006	0.078	0.06	0.089	0.005	1.894	0.024	0.774	0.084
ASV_116	-0.205	13.039	0.36202802104959	0.649900536559303	NotSig	0.079	0.091	0.296	0.294	0.842	0.263	0.004	0.002	0.001	0.197	0.001	0	0	0.001	0	0	0	0.007	0.005	0.039	0.001	0.003	0.008	0.023	0	0.007	0.011	0.048	0.451	0.184	0.173	0.32	0.007	0.009	0.086	0.01	0.021	0.1	0.001	0	0	0.004	0
ASV_122	-3.399	14.425	0.00398162429902811	0.263347420463372	NotSig	0.042	0.44	0.039	0.015	0.055	0.038	0.2	0.082	0.049	0	0.023	0.001	0	0.4	0.012	0.001	0	0	0.005	0.003	0	0.06	0	0.004	0.063	0	0.02	0.014	0.123	0.096	0.005	0.046	0.624	0.615	0.04	2.2	0.23	0.038	0.047	0.557	0.003	1.971	0
ASV_120	2.791	14.403	0.487786262263504	0.763743269889489	NotSig	0.231	0.033	0.005	0.003	0.011	0.049	0.007	0.319	0.093	0.001	0.007	0.007	0.006	2.166	0.015	0	0	0.054	0.025	0.05	0.065	0.118	0.97	2.026	0	0	0	0	0.002	0.003	0.002	0.007	0	0.125	0.089	0.19	0.051	0	0.011	0.006	0	0.001	0.012
ASV_91	-0.182	15.42	0.60651731080974	0.794584694006558	NotSig	0.261	0.296	0.007	0.058	0.008	0.908	0.023	0.094	0.001	0.004	0.006	0.119	0.004	0	0	0.001	0	0.004	0.068	0.061	0.439	0.089	0.409	4.386	0.003	0.047	0.002	0.036	0.002	0.027	0.438	0.137	0.017	0.102	0.675	0.013	0	0	0	0.036	2.777	0.185	0.028
ASV_152	1.52	14.772	0.288740429316606	0.649900536559303	NotSig	0.221	0.077	0.053	0.023	0.105	0.1	0.01	0.017	0.001	0.497	0.277	0.078	0.031	0.475	0.004	0.007	0.019	0.16	0.056	0.372	0.079	2.798	0.357	0.06	0.054	0.003	0.029	0.092	0.212	0.368	0.149	0.086	0.01	0.079	0.018	0.016	0.024	0.131	0.044	0	0.015	0.003	0.005
ASV_129	1.34	15.265	0.291131208627308	0.649900536559303	NotSig	0.358	0.141	0.247	0.102	0.03	0.06	0.006	0.055	0.001	0.001	0.004	0.067	0.392	0.048	0.01	0	1.176	3.937	0.01	0.012	0.06	0.258	0.099	0.305	0.014	0.129	0.102	2.175	0.108	0.031	0.263	0.022	0.009	0.016	0.056	0.016	0.011	0.001	0.007	0	0.243	0.004	1.331
ASV_176	-1.739	14.924	0.0357736425901681	0.467086786746955	NotSig	0.166	0.556	0.017	0.002	0	0	0.267	0.041	0.003	0	1.201	0.001	0.001	0.848	0.001	0.873	0.003	0.425	0.042	0.444	0.001	0.007	0.001	0.004	0.002	0	0.001	0.138	0.031	0.051	0.003	0	0.771	1.003	0.023	0.448	0.009	0.001	0.012	3.108	0.283	2.544	0.043
ASV_200	0.68	14.102	0.634911717831692	0.802270568990388	NotSig	0.137	0.086	0.142	0.183	0.21	0.348	0.035	0.07	0.009	0.006	0.01	0	1.759	0	0.003	0.003	0	0.047	0.008	0.018	0.237	0.061	0.02	0.313	0	0.007	0.045	0.041	0.114	0.184	0.236	0.381	0.087	0.053	0.063	0.017	0.062	0.023	0.062	0	0	0	0.005
ASV_103	-0.497	14.16	0.616498285111368	0.801447770644778	NotSig	0.195	0.275	0.036	0.057	0.072	0.028	0.019	0.276	0.04	0	0.055	0.001	0.257	0.069	0	0.004	0.502	0.054	0.014	0.04	0.047	0.023	0.064	0.443	0.818	0.673	1.122	0.348	0.008	0.033	0.102	0.078	0.166	0.023	0.58	0.034	1.83	0	0.02	0.133	0.205	0.134	0.776
ASV_154	1.532	15.951	0.461219255055361	0.756757806838408	NotSig	0.43	0.149	0.036	0.274	0.033	0.049	0.007	0.048	0.007	0.031	1.056	0.003	0.06	0.48	0.318	0.122	0.354	6.335	0.019	0.613	0.018	0.482	0.027	0.056	0.381	0.072	0.246	0.041	0.01	0.013	0.106	0.076	0.019	0.051	0.035	0.005	0.507	0.007	0.116	0.341	0.027	0.285	0.632
ASV_148	-1.941	12.446	0.649467074139064	0.802270568990388	NotSig	0.01	0.039	0.002	0	0	0.002	0.001	0.216	0	0	0.038	0	0.001	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0.001	0	0	0.002	0.002	0.558	0	0	0	0.022	0	0	0	0
ASV_209	-0.351	14.772	0.870520785725843	0.931126663213085	NotSig	0.186	0.237	0.014	0.031	0.21	0.073	0.031	0.357	0.02	0	0.016	0.239	0	0	0	0	0	0	0.063	0.024	0.024	0.051	0.217	1.322	0.142	0.09	1.721	0.196	0.002	0.044	0.116	0.044	0.014	0.014	0.128	0.016	0.032	0	0.025	0.086	0.217	2.798	0.026
ASV_115	-1.077	12.791	0.033751910173799	0.467086786746955	NotSig	0.047	0.098	0.043	0.174	0.695	0.1	0	0	0.008	0.035	0.001	0	0	0.01	0	0	0	0.006	0.001	0	0	0.001	0	0.007	0	0	0	0.131	0.708	0.198	0.185	0.044	0.003	0.005	0.05	0.005	0.258	0.013	0.001	0.003	0	0	0.002
ASV_188	1.309	13.389	0.828565121836202	0.897612215322552	NotSig	0.128	0.052	0.005	0.01	0.017	0.009	0.133	0.012	0.007	0.039	0.022	0.001	0.044	0.003	1.011	0.235	0.122	0.037	0.064	0.29	0.006	0.117	0.008	0.001	0	0.006	1.073	0.07	0	0.024	0.007	0.01	0.022	0.279	0.019	0.084	0.006	0.013	0.032	0.11	0.06	0.055	0.057
ASV_203	1.435	14.302	1	1	NotSig	0.23	0.085	0.027	0.047	0.008	0.045	0.193	0.012	1.15	0.015	0.011	2.019	0	0.062	0.003	0.001	0.132	0.001	0.008	0.273	0.055	0.114	0.491	0.034	0.058	0.777	0.435	0	0	0.016	0.023	0.066	0.065	0.104	0.184	0.043	0.037	0.017	0.189	0	0.193	0.014	0.323
ASV_146	-0.263	11.999	0.743547792670266	0.843352865511913	NotSig	0.047	0.056	0.012	0.39	0.097	0.081	0.004	0.005	0.002	0.289	0.098	0	0.028	0.026	0.028	0.013	0	0.084	0.045	0.004	0	0.004	0	0.003	0.001	0	0	0	0.012	0.123	0.111	0.064	0	0.033	0.001	0.003	0.071	0.409	0.002	0	0.001	0.01	0
ASV_142	-2.921	14.231	0.0715996904298904	0.467086786746955	NotSig	0.021	0.155	0.003	0.002	0.033	0.002	0.225	0.026	0.006	0	0.014	0.007	0	0.01	0.179	0	0	0	0	0	0.001	0	0	0	0.014	0	0.001	0.01	0	0.011	0.002	0.005	1.923	0.039	0.039	0.061	0.017	0.001	0.002	0.001	0.229	0	0.002
ASV_143	-1.089	12.584	0.0573010071085058	0.467086786746955	NotSig	0.059	0.126	0.007	0.614	0.136	0.182	0.004	0.062	0.001	0.489	0	0	0	0	0	0	0	0.003	0.01	0.003	0.003	0	0.001	0	0	0	0	0.025	0.002	0.141	0.388	0.174	0.005	0.014	0.067	0.009	0.011	0.5	0.001	0	0	0.576	0
ASV_108	-0.651	12.176	0.507415579793667	0.763743269889489	NotSig	0.035	0.056	0.005	0.463	0.127	0.214	0.001	0.005	0.001	0.025	0	0	0.004	0	0	0.039	0	0.006	0.004	0.006	0.005	0.009	0.003	0.004	0	0	0	0	0.008	0.12	0.313	0.281	0.003	0	0.004	0.047	0.007	0.047	0.002	0	0	0	0
ASV_123	1.069	15.305	0.594082151226642	0.790550264230728	NotSig	0.284	0.135	0.257	0.055	0.047	0.024	0	0.175	0.003	0	0.001	0.131	0.013	0	0	0.184	0.455	1.615	0.045	0.066	0.051	4.049	0.071	0.134	0	0	0	0	0.301	1.488	0.062	0	0	0.002	0.089	0.057	0.019	0	0.001	0.004	0.001	0.001	0.002
