#OTUID	IE03P013	IE03P020	IE03P027	IE03P052	IE03P053	IE03P062	IE03P069	IE03P070	IE07P013	IE07P020	IE07P027	IE07P052	IE07P053	IE07P062	IE07P069	IE07P070	IG00P013	IG00P020	IG00P052	IG00P053	IG00P062	IG00P069	IG00P070	IS00P013	IS00P020	IS00P027	IS00P033	IS00P038	IS00P039	IS00P043	IS00P052	IS00P053	IS00P062	IS00P069	IS00P070	IS00P081	IS00P083	IS03P020	IS03P027	IS03P033	IS03P038	IS03P039	IS03P043	IS03P052	IS03P053	IS03P062	IS03P069	IS03P070	IS03P081	IS03P082	IS03P083	IS07P013	IS07P020	IS07P027	IS07P033	IS07P038	IS07P039	IS07P043	IS07P052	IS07P053	IS07P062	IS07P069	IS07P070
ASV_104	60	8	1	0	2	0	1	5	73	19	0	4	1	0	1	6	59	13	0	1	0	0	7	26	1	2	7	32	0	3	0	0	0	1	0	0	8	13	0	121	21	2	4	1	3	0	0	0	0	0	0	17	7	1	41	9	3	3	0	1	0	4	0
ASV_105	4	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	86	0	0	0	1	0	0	2	0	0	11	0	1	0	7	11	0	0	3	0	0	0	0	4	1	2	0	5	842	0	2	0	7	0	4	0	0	0	6	0	0	0	21	10	1	0	8
ASV_136	0	0	0	0	0	2	0	1	0	3	0	0	2	0	0	0	0	2	1	0	0	0	1	0	3	0	0	2	9	106	5	1	286	0	0	0	2	0	0	17	3	5	56	1	4	1	2	0	14	1830	2	1	0	1	2	0	1	35	2	0	2	2	36
ASV_174	16	8	0	1	1	0	3	4	35	43	0	0	1	0	0	0	37	3	8	2	0	1	17	45	3	0	2	22	3	3	1	1	0	14	3	0	11	97	0	22	23	9	9	2	0	0	1	0	0	0	0	200	27	1	21	2	0	6	1	1	0	3	0
ASV_112	1	17	5	1	4	2	2	0	2	12	18	0	1	1	3	0	1	59	11	0	1	0	2	1	30	1	2	0	0	0	3	3	11	3	8	1	0	1	0	1	2	0	0	29	2	11	8	2	22	1379	19	0	2	1	2	1	1	1	8	0	6	15	37
ASV_111	5	2	2	111	24	8	0	3	68	4	0	78	46	14	6	2	32	0	7	86	1	1	3	15	2	0	88	2	1	4	6	37	81	0	1	1	0	4	0	82	5	3	0	4	4	2	2	1	59	1	2	72	16	0	18	2	6	2	23	6	0	13	5
ASV_126	3	5	8	0	3	2	3	0	2	4	2	0	0	3	1	0	0	61	1	0	0	2	1	1	1	10	3	1	3	3	9	1	9	4	1	3	416	0	4	0	0	1	1	24	1	0	144	2	4	2	0	0	0	1	1	0	2	1	3	0	1	19	16
ASV_96	1	3	0	7	10	0	3	6	0	1	0	10	9	0	2	0	0	0	384	5	0	7	7	0	0	0	0	0	0	0	2	0	0	439	6	0	0	1	0	0	0	0	0	0	0	0	64	9	0	0	0	0	0	0	0	0	0	0	1	0	0	13	2
ASV_130	0	17	0	31	237	23	41	7	7	8	2	34	36	15	6	3	72	6	241	80	2	24	15	61	8	168	13	14	59	13	0	0	12	2	2	30	12	8	30	14	6	26	1	1	0	0	103	1	0	2	5	9	2	33	43	11	11	6	2	0	0	28	5
ASV_137	0	5	5	0	4	0	0	0	0	6	18	0	1	0	0	0	0	30	25	1	0	0	1	0	0	4	5	1	0	0	2	2	0	9	22	1	0	2	2	1	3	0	4	0	9	0	24	16	3	1	3	0	0	2	4	0	0	2	1	4	0	20	31
ASV_107	1	1	0	31	4	0	0	4	18	0	0	12	12	0	3	0	2	0	3	57	0	0	3	2	0	3	24	12	22	5	0	4	15	0	0	0	1	3	6	12	7	26	1	4	2	0	0	2	42	0	1	5	0	1	13	11	40	6	1	0	0	2	0
ASV_109	2	6	22	0	2	0	0	0	4	3	22	1	0	0	0	0	3	0	1	0	5	0	0	0	2	0	3	3	0	1	35	34	2	0	0	15	0	2	3	1	3	1	0	14	15	1	5	10	5	1	3	1	2	5	4	2	3	0	80	49	25	111	0
ASV_189	88	32	9	14	9	4	3	8	18	18	64	19	8	19	62	0	24	15	5	31	5	13	22	5	7	1	6	7	5	3	3	16	32	7	7	2	2	11	10	16	3	10	4	1	2	1	6	5	121	5	2	12	15	8	11	3	3	2	3	13	3	9	7
ASV_92	0	0	0	0	6	0	3	0	0	1	1	2	26	1	1	2	0	2	1	11	0	6	0	1	8	0	1	3	3	5	1243	0	0	0	0	0	0	17	0	0	6	1	2	8	0	0	6	2	1	0	1	1	5	0	2	1	4	37	3	0	0	0	0
ASV_82	20	2	0	59	24	142	78	11	3	63	0	11	10	33	18	214	16	7	32	4	70	261	9	25	208	2	14	63	101	13	5	0	0	0	17	25	62	106	0	9	31	12	3	0	0	0	0	3	3	1	78	51	94	3	169	17	6	20	0	0	1	32	1
ASV_95	0	0	0	8	20	0	0	0	0	1	1	5	2	0	3	0	1	2	4	0	0	2	3	209	48	127	21	65	65	5	4	0	4	0	0	78	0	34	43	34	7	12	3	4	1	2	1	0	1	0	4	14	10	72	16	10	9	6	3	0	1	0	1
ASV_110	3	5	11	0	4	0	5	7	8	8	3	0	2	0	1	0	61	22	0	0	1	0	7	3	1	2	2	0	0	0	3	6	2	0	2	66	1	5	0	0	1	0	0	3	19	13	7	0	2	5	1	2	5	3	4	1	0	0	11	0	2	3	238
ASV_80	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_114	1	11	1	0	2	0	4	0	4	8	0	1	1	1	0	0	1	3	2	0	0	3	1	11	2	2	0	1	1	2	0	0	0	3	0	0	0	13	0	1	1	0	0	0	7	0	3	1	0	0	0	5	14	1	0	0	1	1	1	1	0	5	21
ASV_199	0	0	0	1	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	8	8	6	0	4	0	1	0	1	0	0	0	0	497	0	2	5	1	9	3	0	0	0	1	0	0	0	0	5	0	2	22	58
ASV_159	7	28	18	5	8	0	1	0	5	8	12	10	6	2	0	2	7	6	10	2	1	3	0	2	2	7	4	4	5	1	6	9	11	24	55	0	0	13	12	0	3	4	2	69	1	8	20	63	0	1	0	3	7	18	2	1	5	2	72	0	16	12	16
ASV_116	3	12	0	1	2	12	5	29	4	30	1	0	7	1	247	380	29	43	0	2	0	10	74	13	11	0	95	20	9	30	2	1	1	1	0	1	5	48	0	142	34	28	9	1	2	1	0	0	2	0	1	73	23	2	89	190	119	28	7	3	3	2	1
ASV_122	1	5	5	0	4	15	0	9	0	2	10	4	8	31	4	0	0	7	3	0	0	1	13	0	4	4	49	6	0	0	17	6	1	5	7	0	2	1	1	21	7	1	0	85	1	88	86	4	1	1	6	0	1	0	67	0	2	1	42	0	27	8	5
ASV_120	1	0	22	2	0	0	3	0	1	0	34	0	0	0	0	2	1	0	0	0	2	6	0	1	7	0	10	1	0	0	0	150	0	0	3	0	0	16	2	3	0	0	2	2	0	1	0	0	1	0	190	0	13	1	0	0	0	3	6	1	0	0	0
ASV_91	298	2	1	0	1	0	5	210	44	3	0	18	0	0	59	6	111	0	2	13	0	1	20	1	3	1	11	13	2	0	0	4	0	2	0	36	0	2	1	1	3	6	0	1	4	0	0	0	0	0	0	3	4	2	0	4	1	0	1	4	0	1	0
ASV_152	0	2	1	9	78	15	4	8	3	3	1	30	29	2	14	5	2	31	32	13	3	2	8	78	10	99	18	26	66	28	7	7	0	1	5	16	43	13	18	5	13	35	22	8	0	6	21	2	3	2	24	8	2	17	19	4	20	18	2	0	1	38	32
ASV_129	1	27	6	0	4	1	0	0	5	76	13	0	1	0	0	0	2	9	4	2	0	0	0	0	13	3	10	3	0	0	4	16	13	5	52	0	3	8	0	4	10	0	0	1	1	1	3	13	6	15	0	7	18	2	7	4	0	4	7	10	1	16	7
ASV_176	2	0	755	1	0	5	10	6	0	1	56	1	1	9	5	0	0	0	1	1	0	4	11	2	0	3	1	0	0	2	3	3	41	1	2	0	3	0	13	0	0	1	1	1	1	3	32	8	2	2	5	2	0	5	1	0	1	0	24	0	0	7	7
ASV_200	3	17	3	20	29	16	5	2	1	11	4	35	41	11	1	2	4	7	6	7	16	5	4	17	24	3	18	23	13	26	3	11	3	0	36	16	0	41	20	38	35	48	57	2	1	1	9	15	9	3	0	37	45	34	31	68	110	42	5	1	13	8	12
ASV_103	52	0	6	1	0	0	3	13	18	5	6	0	2	0	5	1	15	0	5	2	1	1	4	0	4	2	9	4	0	1	3	11	59	103	11	0	0	0	3	20	11	3	1	1	6	2	15	11	142	5	2	3	4	0	9	1	1	4	9	7	6	25	3
ASV_154	11	53	28	11	25	0	1	3	29	18	51	19	8	10	1	0	3	2	8	5	4	6	9	8	8	0	4	5	1	2	9	57	0	64	78	1	2	27	7	2	8	2	4	1	1	2	18	37	4	6	0	5	33	14	6	3	5	7	185	3	45	13	7
ASV_148	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	33	3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	456	1	0	0	0	0	0	0	1	4	0	0	0	7
ASV_209	10	2	37	1	0	0	1	2	6	2	16	3	2	3	26	26	20	0	23	0	5	3	14	2	4	1	34	3	3	1	5	11	47	10	1	1	0	3	0	30	33	3	2	2	8	0	8	0	5	0	4	1	1	0	31	1	2	3	29	3	3	16	1
ASV_115	3	1	0	45	15	33	7	80	2	5	0	250	17	31	137	12	3	3	9	42	6	12	73	6	6	2	21	15	8	12	1	0	6	0	2	24	0	4	6	8	5	42	28	0	1	4	0	1	1	0	1	6	5	3	12	12	26	16	2	0	2	7	1
ASV_188	6	1	1	7	1	7	5	3	0	2	0	2	2	3	0	0	7	1	6	3	1	4	6	18	0	7	1	4	0	6	1	0	0	4	42	5	19	2	0	0	5	2	1	29	13	3	22	145	3	4	2	0	0	1	0	5	6	26	3	0	0	94	7
ASV_203	8	3	5	2	3	2	4	4	4	4	2	4	2	1	5	1	97	1	13	0	1	1	3	15	23	1	0	5	0	2	4	6	1	1	1	4	1	20	0	9	3	0	7	1	89	2	5	0	0	0	14	11	25	6	4	2	0	6	5	3	1	29	51
ASV_146	3	9	0	22	128	14	11	1	6	2	1	55	34	26	4	7	1	3	10	16	4	4	12	27	1	78	5	13	23	11	5	1	0	0	0	22	10	10	27	2	13	21	4	0	0	4	0	2	0	0	1	7	6	30	5	9	43	7	1	0	0	10	2
ASV_142	0	1	266	0	1	3	2	5	0	0	34	2	0	15	21	0	3	8	0	0	0	4	12	0	3	5	3	0	0	0	3	6	5	0	7	0	38	6	9	1	0	1	0	5	1	73	2	2	6	6	0	0	5	25	5	1	0	0	2	3	67	1	7
ASV_143	19	11	0	0	6	21	6	2	6	10	0	4	27	68	0	15	19	1	9	4	7	3	3	13	3	2	30	9	118	29	0	15	0	0	0	34	0	21	29	89	11	96	10	1	0	0	2	0	0	1	97	16	4	13	14	14	83	8	10	1	0	1	1
ASV_108	0	1	0	173	11	0	5	1	3	3	0	40	5	0	8	0	0	0	15	53	0	0	4	799	2	1	26	682	20	3	0	0	0	0	1	11	116	33	0	30	56	3	0	1	0	0	1	0	0	0	13	74	7	0	55	53	2	0	0	0	0	14	1
ASV_123	0	6	3	0	18	2	1	2	1	3	0	2	13	2	1	15	0	5	2	0	1	2	0	15	51	243	23	3	0	1	2	0	1	0	0	1	0	12	52	10	0	9	2	3	3	13	0	0	0	0	23	10	9	47	8	0	0	0	1	0	4	0	4
ASV_125	0	0	67	0	0	1	0	0	0	1	1	0	0	0	0	0	1	13	0	0	0	1	0	0	3	0	0	0	0	1	6	2	0	6	1	0	2	3	2	0	0	0	0	6	5	1	37	2	0	0	1	0	1	1	0	0	0	0	7	0	0	2	1
ASV_407	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	4	2	0	0	0	4	3	1	0	0	0	0	6	9	0	3	1	7	7	1	0	2	1	0	0	0	0	0	8	1	2	0	2	93	0	0
ASV_141	1	0	10	11	0	2	11	1	1	6	6	184	196	6	13	5	1	3	14	7	39	7	7	3	8	5	18	4	16	15	0	20	0	2	2	10	0	6	18	16	4	16	15	0	0	0	3	3	17	3	1	1	5	52	20	3	38	12	7	1	0	1	5
ASV_127	14	34	36	1	17	0	2	0	70	44	22	0	2	0	0	0	40	157	0	0	7	2	0	4	21	0	2	0	0	3	6	70	0	0	3	1	0	11	0	7	0	2	0	3	2	0	17	0	11	1	2	4	7	0	0	0	0	3	62	56	0	10	10
ASV_140	6	1	0	253	13	0	20	110	6	1	1	41	135	0	81	3	0	0	11	196	0	42	86	1	1	5	10	25	94	11	0	0	1	0	1	7	0	6	5	17	34	56	3	0	0	0	1	2	0	0	0	5	1	6	6	48	35	3	2	0	0	3	0
ASV_135	17	7	0	3	10	0	8	28	9	3	1	11	7	0	78	87	34	3	15	7	0	588	30	0	0	0	60	12	12	1	1	1	0	64	1	0	2	0	0	51	11	6	15	2	1	0	5	0	1	0	1	15	14	0	32	38	14	64	2	3	0	2	0
ASV_147	3	7	0	5	0	122	2	19	6	4	1	0	5	151	71	44	11	21	1	0	52	7	23	4	5	3	50	11	2	14	0	0	1	0	1	8	5	10	1	128	18	8	2	3	0	0	1	3	4	0	1	74	13	1	80	91	56	2	0	0	1	4	1
ASV_158	15	0	0	0	4	0	0	0	9	0	0	0	0	0	1	0	7	0	0	2	0	0	2	3	0	0	0	1	0	0	2	0	1	0	4	0	0	0	0	1	3	0	1	0	0	0	0	0	1	10	1	0	0	0	0	1	0	1	0	0	0	0	6
ASV_220	5	18	0	8	63	4	7	6	2	10	3	18	24	3	8	3	4	19	30	7	0	2	4	146	10	40	16	17	30	46	18	0	1	19	2	4	5	16	22	8	16	14	36	1	0	6	20	4	1	3	1	50	22	32	15	7	16	19	0	1	4	4	4
ASV_197	0	1	1	0	0	0	0	4	2	3	0	0	0	0	0	0	22	5	2	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	1	0	14	0	0	0	0	0	1	1	6	1	1	2	0	0	0	0	0	3	0
ASV_134	3	7	5	12	4	3	4	1	2	8	2	41	90	4	7	1	2	0	4	6	6	1	7	5	5	2	13	3	4	8	1	21	3	0	0	4	2	11	12	13	21	24	8	9	0	2	5	2	2	4	2	9	6	9	4	5	21	11	16	1	0	3	0
ASV_207	0	0	92	0	1	0	0	0	0	0	9	5	5	0	0	0	0	1	0	2	3	1	0	0	0	1	0	1	1	10	7	0	1	1	115	0	0	1	0	0	6	1	3	180	1	1	11	421	7	0	0	0	0	2	0	3	0	0	50	1	1	32	5
ASV_101	0	0	2	0	17	0	23	544	0	0	2	0	8	0	452	4	0	0	0	1	0	30	180	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	13	2	3	0	82	0	0	0	0	0	0	0	0	0	0	3	4	2	0	76	1	0	0	0	0
ASV_145	0	0	0	2	3	0	0	1	0	1	0	2	1	0	3	0	0	0	29	2	0	2	1	2	21	0	22	3	0	0	0	2	0	2	0	0	0	14	0	7	1	0	0	0	0	0	10	0	21	6	0	2	11	0	20	0	0	0	0	1	0	0	0
ASV_167	57	0	1	126	3	0	12	35	6	0	0	19	5	0	33	0	1	0	6	80	0	25	42	1	7	10	31	5	30	19	0	0	1	0	0	0	0	4	85	18	3	57	8	0	0	0	0	1	0	0	26	7	12	24	24	4	63	8	0	0	0	2	0
ASV_149	2	15	5	5	27	0	29	7	2	15	4	17	6	3	37	9	3	4	28	7	10	59	10	14	3	4	9	11	9	4	7	0	0	19	9	1	0	21	61	16	4	1	14	0	0	0	8	1	0	0	0	10	10	18	10	8	6	10	3	1	0	1	2
ASV_870	1	0	4	174	27	4	1	14	12	1	1	61	44	0	5	0	9	1	5	151	0	0	7	0	6	14	60	31	35	33	1	5	17	0	1	0	3	1	17	47	16	72	9	13	0	6	8	0	8	0	0	3	1	5	46	22	98	20	6	1	1	3	1
ASV_210	2	3	18	1	0	0	0	1	3	0	38	1	0	0	1	0	4	3	11	3	0	1	1	0	0	0	17	3	0	1	1	5	14	10	11	0	0	1	1	3	0	3	5	13	12	1	13	5	3	19	1	0	0	1	1	0	1	3	14	35	0	18	4
ASV_157	1	2	21	0	0	0	0	1	0	4	3	0	0	0	0	0	9	350	4	0	0	0	0	0	6	1	0	0	0	2	0	0	0	0	0	4	2	2	0	32	1	0	20	0	0	0	3	0	0	0	2	0	1	0	2	0	1	21	0	1	0	1	2
ASV_319	0	0	0	0	1	0	3	0	1	2	0	0	0	1	0	0	3	5	0	0	0	4	0	0	1	6	1	0	0	0	2	0	0	0	0	0	23	0	1	0	0	0	0	30	1	4	7	1	0	42	1	0	0	1	0	0	0	0	0	0	0	15	2
ASV_144	0	0	0	74	277	0	9	0	0	2	0	41	9	0	0	0	0	0	20	16	0	5	0	6	1	5	7	30	23	43	1	0	2	0	0	8	0	6	1	2	2	13	53	3	0	44	1	0	0	0	0	1	1	7	3	8	16	29	0	0	0	0	2
ASV_121	16	1	2	46	7	10	12	4	4	2	0	29	53	3	53	1	0	10	4	15	25	10	27	5	5	29	10	8	25	4	2	2	0	3	1	53	1	17	23	13	6	18	3	3	0	0	0	1	7	0	31	14	3	16	18	5	25	9	1	0	1	2	0
ASV_311	0	1	1	15	6	59	6	3	3	6	0	7	7	14	9	103	0	3	42	7	48	7	4	3	9	4	5	28	11	60	32	0	0	24	3	50	0	56	16	8	16	10	22	0	0	0	44	6	0	0	38	5	18	15	10	13	12	24	3	0	18	10	0
ASV_166	0	0	0	0	0	0	2	0	0	0	0	1	3	0	1	0	0	0	2	0	0	4	0	1	0	0	43	8	55	127	0	1	0	0	0	0	1	0	0	48	3	292	11	0	0	0	0	0	0	0	17	0	0	0	68	16	188	5	1	0	0	0	0
ASV_177	0	1	1	0	1	3	12	232	1	0	0	0	1	1	50	207	0	0	0	0	2	10	261	0	0	0	12	0	0	0	4	12	0	1	0	0	0	0	0	14	1	3	3	0	2	0	3	1	0	1	0	1	4	0	15	9	5	7	7	2	0	8	0
ASV_208	1	6	0	0	4	0	2	0	2	55	1	1	2	1	0	7	0	35	1	0	0	2	0	4	36	1	8	4	2	2	3	6	3	2	2	0	0	29	1	7	4	0	3	2	5	4	8	1	9	5	0	7	52	6	1	4	1	2	8	4	5	7	11
ASV_150	0	10	10	0	5	5	0	0	0	20	114	2	1	1	1	1	0	9	0	0	0	0	0	1	16	1	0	0	1	0	0	10	2	1	11	0	0	4	2	0	0	0	0	28	0	1	0	3	41	346	0	3	4	8	0	0	0	0	5	0	4	13	8
ASV_133	2	4	0	22	9	7	12	2	1	4	1	24	51	6	10	1	0	3	6	12	6	3	8	7	3	23	4	8	25	12	1	18	3	1	0	6	16	11	16	3	3	8	10	1	0	2	0	0	0	0	6	16	6	4	2	9	19	2	8	0	0	3	0
ASV_187	2	0	4	3	1	1	19	13	1	12	5	5	4	0	7	1	1	0	4	3	2	10	10	1	0	1	0	4	0	4	5	14	0	22	68	1	3	9	5	0	3	5	4	0	1	1	38	53	5	1	0	3	4	7	3	2	3	3	22	1	16	6	14
ASV_212	0	0	5	0	1	0	0	0	0	1	5	0	2	0	0	0	17	17	0	0	0	0	0	2	3	0	2	0	0	0	9	65	0	0	16	0	0	3	0	3	3	0	0	262	37	0	1	0	8	0	0	8	3	0	2	0	1	0	9	7	0	0	3
ASV_235	0	2	6	9	41	4	4	1	5	4	10	17	25	1	3	4	3	3	19	7	0	1	1	15	7	64	45	14	22	89	37	0	0	1	3	1	1	17	20	10	20	7	101	4	0	3	8	26	0	0	3	6	3	94	18	7	15	58	4	0	4	3	3
ASV_165	2	2	1	0	0	3	0	1	2	1	2	0	1	0	0	0	3	0	37	2	0	0	0	3	0	0	4	13	5	3	0	0	2	1097	11	0	0	0	0	10	26	1	1	0	0	0	23	21	0	0	0	13	5	0	10	109	1	1	0	1	1	16	6
ASV_221	16	2	71	2	3	1	0	0	2	2	207	3	1	1	0	0	2	5	4	0	0	0	0	1	1	0	19	4	0	0	3	7	0	2	147	1	1	4	13	9	3	1	0	9	27	1	3	3	27	3	0	2	4	48	1	1	0	10	6	135	1	137	4
ASV_151	2	12	0	7	4	3	1	9	1	5	1	9	1	1	22	38	8	0	3	2	7	3	20	4	0	8	5	33	2	10	1	0	0	0	1	34	0	2	4	2	46	7	24	0	0	1	0	0	4	0	2	8	1	1	9	33	7	22	1	0	3	0	0
ASV_169	8	0	1	2	4	0	0	1	6	1	4	1	16	1	1	0	9	0	2	0	7	3	0	0	1	1	2	141	23	20	4	1	5	0	1	1	0	1	7	0	374	10	19	0	0	632	1	0	3	0	13	2	0	3	8	247	5	19	3	0	315	2	1
ASV_139	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	17	0	0	1	1	0	2	10	2	0	0	31	0	0	1	1	0	76	0	2	13	0	6	0	0	0	4	2	0	0	0	1	39	1	1	4	0	3	1	0	0	20	9
ASV_193	0	11	637	0	0	0	0	0	0	2	34	0	0	4	2	0	0	16	0	0	0	1	1	1	0	0	0	1	0	0	0	0	9	0	0	0	1	6	7	0	0	0	0	0	0	13	0	0	0	0	0	0	1	3	0	0	0	0	1	0	15	0	0
ASV_202	14	4	32	1	0	3	1	0	20	7	26	2	0	2	0	0	89	3	1	0	0	1	0	0	1	0	1	0	0	0	5	5	7	6	1	0	0	2	0	0	1	0	0	1	2	0	3	1	10	478	5	1	0	5	1	1	0	0	21	152	2	0	6
ASV_186	0	2	0	17	3	9	1	0	19	0	0	167	5	34	4	0	1	1	8	35	41	1	0	6	13	0	2	9	23	2	15	6	1	0	10	8	0	19	0	2	17	4	5	0	0	0	1	7	4	1	4	27	17	0	5	5	3	6	3	0	0	2	0
ASV_163	7	1	3	10	2	0	0	4	4	0	6	5	9	1	0	0	1	7	3	1	3	4	5	3	2	12	6	1	11	5	0	4	6	1	4	0	0	0	46	8	1	23	4	1	0	1	8	3	10	1	4	1	3	17	9	2	18	1	3	1	1	6	4
ASV_247	1	0	1	1	9	1	0	6	2	0	0	3	22	0	1	0	2	0	34	1	0	0	5	0	0	1	0	1	1	0	0	0	2	5	2	0	4	1	2	8	0	10	5	2	1	34	1	2	0	0	0	0	0	2	1	0	3	7	0	13	4	8	1
ASV_294	0	3	3	0	1	0	13	6	0	4	7	0	0	2	14	1	4	12	0	1	5	4	15	3	11	3	2	2	0	1	0	19	5	1	0	1	0	5	2	6	2	3	0	9	2	5	2	0	4	0	3	0	2	2	3	0	4	0	4	1	5	1	6
ASV_182	0	72	0	0	0	0	1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	2	0	0	15	0	0	0	0	1	2	3	1	0	0	0	0	8	0	0	0	0	0	2	31	0	0	3	14	651	0	0	11	0	0	0	0	0	26	157	0	2	10
ASV_128	0	0	26	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	1	0	0	7	0	0	366	2	0	0	0	0	0	0	0	0	0	0	0	918	3	0	0	0	0	1	0	0	0	0	0	0	0	0	300	2	0	0	0	0	0	0	0	0
ASV_161	2	1	0	0	5	133	7	11	3	20	1	0	10	25	13	1	10	0	6	0	137	45	14	50	63	0	2	20	78	34	20	0	0	0	0	50	0	83	0	8	3	14	59	1	0	0	0	0	0	2	21	101	68	0	17	6	6	48	0	0	0	0	0
ASV_278	0	0	0	2	4	0	0	2	2	3	0	2	0	0	0	0	2	0	0	5	0	0	0	2	1	1	2	2	2	0	0	1	0	2	0	20	0	6	2	1	1	0	1	0	37	1	4	1	0	1	0	0	4	0	0	2	0	0	2	1	0	14	183
ASV_168	20	2	0	10	6	9	3	2	18	5	2	1	3	5	9	2	28	2	5	9	1	3	0	9	10	6	5	0	1	4	1	9	0	3	6	0	22	3	6	2	4	9	3	18	0	0	25	7	0	0	6	4	6	15	1	1	0	5	12	0	0	29	5
ASV_245	3	0	1	576	26	0	4	69	4	0	0	91	68	1	24	2	0	0	9	185	0	2	30	0	1	3	16	3	15	11	0	10	0	0	1	2	0	1	20	38	2	18	1	0	0	0	8	0	4	0	1	0	2	9	28	4	22	3	26	0	0	8	1
ASV_131	0	0	0	4	0	0	306	3	0	0	0	0	0	0	12	2	0	0	3	0	0	737	11	0	0	32	109	0	0	0	0	1	0	2	0	9	1	0	70	22	0	17	23	0	0	2	1	0	0	0	0	2	0	45	17	2	1	0	0	0	0	0	0
ASV_206	4	1	32	1	4	1	54	6	4	2	2	2	6	3	2	0	1	8	5	1	1	4	5	0	3	10	3	1	4	2	0	4	4	0	0	4	8	4	6	1	0	0	1	36	1	2	11	0	6	6	5	1	1	5	2	0	2	0	3	0	3	3	32
ASV_180	0	3	0	12	3	28	0	7	1	6	0	22	11	33	37	16	3	2	2	35	1	3	8	68	6	10	4	3	50	9	1	0	1	0	0	3	11	21	10	4	12	33	6	0	0	1	2	0	0	0	14	64	10	6	9	1	18	11	0	0	2	0	0
ASV_156	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	16	3	105	43	29	0	0	0	0	0	0	0	0	16	2	67	3	13	0	0	0	0	0	0	0	2	1	0	8	4	70	7	3	0	0	0	0	0
ASV_284	1	2	2	11	28	4	2	1	3	2	1	24	27	0	0	2	0	9	19	5	1	2	0	27	5	59	50	15	13	103	50	2	1	0	4	2	0	12	17	4	28	15	81	1	0	0	0	15	1	0	3	2	7	84	33	6	6	43	1	0	1	1	2
ASV_217	0	0	1	0	10	5	4	3	0	1	1	1	15	2	9	1	1	4	0	0	21	0	2	1	7	22	0	2	2	0	1	2	0	0	0	16	2	3	4	0	1	2	1	6	1	0	2	2	1	3	7	2	2	6	2	1	2	0	0	0	0	4	192
ASV_181	0	204	1	1	1	4	0	3	0	36	0	23	8	33	7	0	2	4	3	3	23	5	10	6	5	1	2	9	2	1	2	16	0	3	1	0	0	28	1	7	9	2	0	4	60	1	0	0	16	0	0	4	15	1	3	21	1	0	20	391	3	0	0
ASV_185	0	8	0	0	0	0	1	0	0	44	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	3	9	2	1	0	10	3	8	8	0	0	0	1	0	0	2	0	0	5	0	9	2	1	1	3	0	1	2	0	0	0	0	0	4	11	12	3	0
ASV_211	6	3	21	0	2	0	1	0	5	1	15	0	0	0	0	1	4	0	0	0	1	0	0	5	1	0	2	5	0	0	3	12	0	0	0	0	0	2	0	1	4	1	0	5	151	0	0	0	9	2	11	3	0	0	3	4	0	1	15	190	5	2	0
ASV_225	3	0	1	1	0	1	0	1	11	1	2	2	1	0	0	0	14	5	1	1	0	0	0	3	0	0	2	2	1	0	7	0	0	6	8	0	0	0	0	4	1	0	0	1	14	0	7	6	2	2	0	4	0	0	1	2	0	0	2	13	0	5	3
ASV_179	9	15	35	2	43	0	0	0	1	32	1	6	43	0	1	0	1	37	5	2	1	1	1	23	74	8	14	6	4	2	0	0	0	0	0	0	0	82	15	2	3	4	2	0	0	0	2	2	2	0	0	18	98	67	7	5	1	2	0	0	0	3	3
ASV_281	6	0	0	0	4	0	3	0	3	0	0	0	1	0	4	0	1	0	0	0	0	0	3	0	0	0	2	0	0	0	4	0	3	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	10	0	0	0	0	0	0	0	2	0	0	14	0	8
ASV_230	0	0	0	6	13	18	18	6	2	3	0	23	11	7	10	0	2	0	9	22	0	6	10	12	11	56	2	4	64	7	0	0	0	2	1	3	1	20	17	1	0	7	2	1	0	0	1	0	0	2	6	2	5	13	9	3	14	2	0	0	0	3	0
ASV_192	0	0	1	8	23	0	18	2	3	0	0	7	8	2	10	1	0	0	2	24	3	3	0	823	0	2	2	5	29	11	13	2	0	0	0	22	96	39	3	0	6	4	2	2	0	0	1	0	0	1	6	56	4	2	1	1	1	1	1	0	0	17	3
