OTUID	All	med	post	pre
ASV_474	0.041866	0.03135469	0.02448619	0.06900869
ASV_520	0.041633	0.01993116	0.04393446	0.06274439
ASV_340	0.039858	0.02554152	0.04012966	0.05492608
ASV_305	0.047188	0.03703397	0.06466277	0.04206541
ASV_423	0.044681	0.02579114	0.02169077	0.08591791
ASV_298	0.038238	0.01645965	0.02574913	0.07296057
ASV_267	0.050881	0.06854701	0.04825203	0.03438674
ASV_347	0.039754	0.03925672	0.02359289	0.05506832
ASV_289	0.039987	0.05049409	0.02082675	0.04627365
ASV_308	0.05843	0.13082047	0.01281116	0.02271847
ASV_326	0.041608	0.05077698	0.03129399	0.04123454
ASV_348	0.036525	0.02268544	0.02785432	0.05926070
ASV_662	0.0404	0.04128417	0.03196909	0.04716669
ASV_783	0.038197	0.01455328	0.01162224	0.08779819
ASV_449	0.04109	0.02834089	0.01716536	0.07661228
ASV_375	0.043807	0.04007314	0.05605188	0.03659969
ASV_402	0.040965	0.02658358	0.02613194	0.06991803
ASV_891	0.045569	0.04007290	0.05681956	0.04115740
ASV_352	0.035976	0.03073546	0.06040949	0.01923303
ASV_277	0.041535	0.04550021	0.04315779	0.03581016
ASV_300	0.033104	0.02475418	0.01483892	0.05874529
ASV_436	0.041673	0.04108539	0.04925616	0.03536574
ASV_302	0.040638	0.06699952	0.02597795	0.02584793
ASV_498	0.037213	0.02147014	0.01997145	0.06982583
ASV_460	0.034722	0.049652934	0.005581139	0.045405756
ASV_239	0.031181	0.075568742	0.005933344	0.006789979
ASV_316	0.041271	0.05303276	0.03044383	0.03859226
ASV_578	0.035519	0.01648103	0.01314626	0.07635048
ASV_339	0.03606	0.02922127	0.03055366	0.04841283
ASV_290	0.038147	0.02174854	0.08294193	0.01471462
ASV_466	0.037036	0.02510247	0.03565133	0.05106787
ASV_279	0.032473	0.02683380	0.05723351	0.01585610
ASV_373	0.034456	0.081077267	0.007812326	0.008953171
ASV_268	0.036695	0.04821286	0.02776325	0.03254234
ASV_272	0.03646	0.04630416	0.03278094	0.02929351
ASV_328	0.04248	0.03341104	0.03334964	0.06053283
ASV_496	0.034425	0.04822598	0.01995205	0.03290103
ASV_359	0.034007	0.01897255	0.02813440	0.05546168
ASV_254	0.038456	0.04821380	0.01695786	0.04768145
ASV_389	0.033009	0.01737579	0.02087098	0.06083597
ASV_644	0.033794	0.02393190	0.01128353	0.06493471
ASV_323	0.042844	0.04672854	0.05147481	0.03079416
ASV_315	0.037502	0.07130026	0.02472103	0.01303538
ASV_253	0.047827	0.06306593	0.02824356	0.04943745
ASV_287	0.026439	0.008561901	0.040523137	0.032679947
ASV_422	0.033089	0.03373201	0.01187324	0.05180792
ASV_410	0.037281	0.03927980	0.03721588	0.03520194
ASV_337	0.036083	0.04009302	0.04142039	0.02691153
ASV_1044	0.036227	0.02558021	0.02759117	0.05551718
ASV_329	0.036739	0.01916537	0.04648543	0.04662227
ASV_533	0.031905	0.03095236	0.01060018	0.05241344
ASV_390	0.04261	0.03613500	0.07312305	0.02162443
ASV_438	0.037305	0.03231892	0.05262262	0.02862841
ASV_1237	0.032154	0.03066822	0.01158761	0.05255736
ASV_400	0.034424	0.02911568	0.04132945	0.03378481
ASV_601	0.03347	0.01781232	0.02050385	0.06208004
ASV_428	0.034885	0.071427427	0.024711166	0.005099569
ASV_470	0.0345	0.02904208	0.01710243	0.05625278
ASV_266	0.028267	0.05049325	0.02452786	0.00791126
ASV_371	0.030437	0.034973143	0.009333393	0.044887254
ASV_506	0.032306	0.02235860	0.01695656	0.05698736
ASV_414	0.035023	0.02287987	0.05285209	0.03170579
ASV_365	0.032557	0.03078063	0.04151010	0.02626671
ASV_376	0.030233	0.02797602	0.04909929	0.01539107
ASV_524	0.041812	0.04857663	0.03649629	0.03943851
ASV_432	0.035732	0.02118426	0.03782470	0.04938051
ASV_288	0.039263	0.03484282	0.02689759	0.05530333
ASV_801	0.031175	0.01779171	0.01974177	0.05594888
ASV_291	0.034422	0.02737514	0.03711338	0.03949963
ASV_322	0.029107	8.098600e-02	7.279975e-05	1.656348e-04
ASV_296	0.031459	0.013159819	0.080678404	0.006013507
ASV_412	0.031317	0.03405733	0.00901182	0.04879004
ASV_385	0.033569	0.03698991	0.02739178	0.03556041
ASV_405	0.034528	0.04701776	0.03398353	0.02166506
ASV_387	0.03478	0.03195034	0.02294048	0.04863802
ASV_886	0.029768	0.013834815	0.007594985	0.067095590
ASV_1133	0.031951	0.01503040	0.01085476	0.06934907
ASV_317	0.029198	0.03320729	0.01004363	0.04242926
ASV_360	0.031953	0.01225198	0.04912708	0.03731837
ASV_325	0.032019	0.02630660	0.03769005	0.03294299
ASV_529	0.031542	0.04182559	0.02318311	0.02818713
