#OTUID	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	DE07P016	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076	DE08P017	DE10P016	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	DS04P138	DS04P194	DS04P86	DS05P114	DS05P196	DS06P140	DS06P180	DS07P016	DS07P037	DS07P049	DS07P054	DS07P060	DS07P065	DS07P076	DS07P172	DS07P193	DS08P017	DS08P191	DS10P016	DS10P049	DS10P054	DS10P166
ASV_204	0	0	2	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	2	0	0	0	0	5	0	0	0	0	0	17	54	0	0	1	1	9	0	0	0	0	0	0	3	2	0	0	0	1	10	16	616	50	498	313	0	0	0	0	0	0	1	0	12	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_223	0	2	0	0	0	0	2	101	2	13	0	48	0	1	1	0	1	0	1	0	0	5	10	0	0	0	1	0	3	95	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	1	22	4	0	4	2	0	1	1	1	4	1	0	0	0	0	0	2	0	0	1	0	11	7	5	23	13	0	0	0	0	17	0	4	6	3	0
ASV_255	0	1	0	1	5	13	2	0	0	0	1	2	2	0	272	0	1	0	0	1	1	0	17	0	12	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	17	0	0	1	0	2	0	0	0	4	0	3	0	5	0	10	0	20	0	0	0	0	0	0	7	0	0	22	0	0	0	2	0	2	1	3
ASV_164	0	0	2	2	100	2	0	0	0	1	6	82	0	3	46	0	0	0	0	0	1	214	76	0	0	0	10	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	8	7	91	0	1	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	15	0	11	0	0	0	0	0	3	1	3	1	0	0
ASV_282	8	9	2	1	0	3	1	2	0	1	2	3	6	3	4	3	0	4	1	3	1	3	1	0	6	1	5	1	3	5	0	5	0	32	1	0	0	0	3	18	32	14	4	19	2	2	1	7	0	7	11	24	2	5	16	1	7	114	6	41	5	20	69	2	56	45	2	15	3	7	1	146	10	3	24	0	8	2	1	2	3	2	18
ASV_286	12	30	0	0	2	0	1	0	0	5	0	0	4	1	0	7	2	36	9	1	0	0	1	7	0	0	0	0	5	1	0	3	0	17	29	149	5	10	2	48	26	62	6	2	0	2	8	0	1	1	2	1	3	9	17	1	4	5	5	6	5	50	1	12	10	51	0	0	3	2	13	21	0	0	74	47	1	2	5	8	14	19	86
ASV_483	1	4	0	0	3	1	0	3	1	0	0	2	9	6	2	5	8	1	11	0	3	0	4	60	2	1	2	12	5	1	0	10	1	3	2	36	1	25	0	48	4	18	1	2	1	2	4	2	10	0	1	0	1	7	1	3	7	0	3	0	81	6	0	8	1	0	3	0	8	0	8	2	0	0	3	0	1	1	0	9	9	18	14
ASV_190	2	0	1	4	2	7	0	1	0	3	0	2	11	0	0	0	0	0	7	0	4	7	12	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	6	0	2	2	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	1	3	0
ASV_280	2	0	30	28	15	2	0	0	0	1	20	38	15	8	1	0	0	0	0	201	38	7	5	0	0	8	5	0	0	1	1	1	3	2	0	0	0	0	0	0	4	0	0	17	18	3	0	0	0	37	0	15	0	0	0	0	0	0	0	0	0	2	0	10	0	0	0	0	1	4	0	0	0	21	0	0	1	13	0	1	1	3	0
ASV_786	3	1	18	17	4	6	3	1	0	2	16	29	0	5	6	0	30	2	0	24	42	1	0	0	2	57	2	1	2	13	0	1	0	0	0	0	0	0	3	0	0	0	0	3	44	24	1	7	0	0	0	1	1	2	0	20	56	0	0	12	1	0	0	0	0	0	0	0	0	19	3	3	0	0	0	0	0	3	8	5	3	2	0
ASV_246	5	3	1	2	2	0	1	9	2	6	0	0	5	1	2	5	10	2	64	2	3	0	1	20	3	1	0	2	50	7	0	1	2	0	1	2	1	0	0	4	0	0	5	3	0	0	1	2	73	0	3	2	1	7	2	6	7	1	1	0	0	0	0	3	0	0	0	0	8	0	53	1	2	0	22	1	0	0	0	6	5	26	3
ASV_358	6	8	1	2	2	0	0	46	16	8	1	0	0	1	0	4	0	1	1	0	4	0	5	831	19	2	1	0	2	2	3	7	3	0	0	0	1	16	0	20	1	0	2	0	0	0	30	1	17	0	1	0	0	0	3	0	0	60	0	4	4	0	1	29	32	0	0	0	2	1	19	0	4	0	15	1	0	1	0	18	0	0	0
ASV_368	8	1	0	2	0	0	0	5	1	2	0	6	3	0	0	3	28	4	3	4	0	2	2	1	0	1	3	1	12	0	0	8	0	3	107	11	2	0	0	2	0	2	1	0	1	1	8	3	0	0	1	0	0	0	0	0	0	225	4	48	12	159	0	0	0	0	14	0	4	14	53	4	0	0	8	19	0	2	0	8	1	45	0
ASV_178	0	0	2	0	0	3	0	0	0	0	4	1	0	10	1	0	0	0	0	3	1	1	0	0	0	39	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	25	144	0	0	0	0	0	4	4	7	39	4	18	0	0	0	0	0	0	0	0	5	0	0	0	67	0	0	0	0	0	0	0	0	1	0	4	0	0
ASV_241	1	1	2	2	49	8	31	1	0	4	1	1	12	0	21	0	0	0	17	2	4	59	2	1	0	1	9	2	0	0	4	0	1	12	0	0	0	11	19	0	0	90	2	0	3	14	1	29	0	10	1	1	68	2	1	0	2	0	0	0	0	0	0	0	0	8	1	0	4	6	0	1	0	2	0	0	0	3	0	0	2	8	0
ASV_222	0	0	0	8	2	2	0	0	0	0	0	3	69	0	1	0	0	0	0	0	2	2	29	0	0	2	23	1	1	0	0	98	0	23	0	0	0	0	132	0	0	0	0	0	2	39	0	0	0	0	65	4	1	34	1	1	2	0	0	1	0	2	15	0	0	2	0	0	0	33	2	0	0	0	0	0	0	0	91	0	0	0	0
ASV_361	4	2	0	1	1	0	0	3	0	2	0	0	2	2	0	2	18	99	5	1	5	1	18	3	2	0	0	22	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	1	79	2	19	0	1	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	2	0	14	1	112	3	0	0	2	1	0	1	0	0	11	4	0
ASV_507	6	7	3	10	5	5	4	3	0	141	10	4	7	1	2	5	9	26	5	3	4	4	2	0	0	3	6	0	0	0	1	2	0	2	0	5	0	2	1	1	6	10	4	2	9	3	3	0	0	5	8	2	15	1	9	3	0	4	0	10	11	3	16	0	3	2	4	0	30	2	0	1	0	0	3	0	2	6	0	21	5	2	0
ASV_426	0	0	0	0	1	6	0	3	1	0	0	10	1	3	8	0	0	0	0	0	0	4	22	3	1	0	0	0	2	0	0	0	8	1	0	0	0	4	18	0	58	0	0	0	0	0	2	21	0	0	2	1	7	1	1	3	91	1	0	0	50	15	581	13	0	0	15	3	1	0	1	5	0	0	4	0	0	0	314	0	6	1	0
ASV_251	1	2	0	0	2	0	0	4	3	1	0	0	0	1	1	2	0	1	0	0	0	1	1	1	2	1	0	2	9	0	0	3	5	4	0	1	8	1	4	0	3	0	1	0	1	1	9	3	1	0	1	0	0	0	0	1	1	1	17	12	1	0	37	0	4	0	0	0	0	7	13	0	0	0	0	7	8	0	0	0	5	0	1
ASV_224	1	0	6	0	1	33	2	0	0	0	2	2	8	12	2	1	0	0	0	5	2	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	4	3	0	0
ASV_363	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	36	0	1	0	0	9	0	0	0	2	5	1	0	1	56	24	14	102	28	45	9	76	34	5	0	2	0	0	6	0	29	0	1	0	13	75	6	28	37	0	52	22	32	40	26	114	9	13	1	0	1	0	8	0	0	0	0	81	2	0	2	2	17	5	18
ASV_205	2	5	2	1	0	5	74	0	0	6	0	0	0	4	1	1	4	0	2	0	1	1	6	0	0	0	10	1	0	0	12	1	0	0	0	0	0	0	0	0	0	0	14	3	1	4	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	1	0	0	0	0	6	0	0	10	0	0
ASV_234	1	0	10	5	13	19	87	0	1	0	6	4	19	16	76	10	0	0	0	0	56	13	24	0	0	4	4	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	41	5	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	8	0	4	34	1	0
ASV_334	0	0	1	1	3	2	3	0	0	2	1	0	3	3	2	1	0	0	0	1	9	1	0	0	0	19	10	0	0	0	1	0	149	0	0	0	0	13	4	1	1	0	3	0	47	0	0	0	0	0	0	5	7	990	20	67	27	0	6	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_262	5	3	2	3	2	3	0	0	0	5	1	3	1	2	1	17	4	3	4	1	2	1	0	5	0	1	0	0	0	2	3	6	184	3	0	0	1	23	5	0	9	4	5	5	2	3	6	4	0	0	0	2	2	12	13	5	33	9	2	1	0	0	79	0	1	39	6	0	0	1	2	1	0	0	23	0	0	12	0	6	27	0	0
ASV_198	4	13	7	1	15	4	0	0	0	3	20	23	8	2	26	1	0	0	3	1	4	54	47	0	0	3	2	0	1	1	7	0	12	0	0	0	0	4	15	6	0	4	2	7	3	24	0	18	0	106	66	27	8	2	0	5	19	0	0	0	6	0	0	1	0	16	0	1	3	3	3	7	2	18	0	7	1	7	115	2	4	0	0
ASV_219	0	1	0	1	0	4	0	2	0	0	8	1	0	0	8	1	0	0	0	0	0	5	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	5	0	0	0	0	2	5	2	8	4	4	0	0	0	0	0	0	0	0	0	0	0	3	1	32	0	0	0	0	0	0	1	0	0	2	0	0
ASV_216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	0	10	0	0	0	0	0	0	0	0	6	0
ASV_228	36	9	2	2	2	4	3	0	0	4	0	0	1	3	11	15	0	69	2	4	2	1	4	0	0	0	1	21	0	0	5	0	49	0	0	0	0	27	0	14	23	18	65	3	1	8	1	3	0	2	0	0	0	0	2	0	0	0	3	0	0	0	5	1	0	18	0	0	17	8	1	0	0	7	0	1	0	8	0	7	15	0	0
ASV_1119	0	0	3	0	1	7	0	6	707	1	6	1	17	32	0	0	0	0	0	4	1	4	2	8	219	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	2	3	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	4	0	0	117	0	0	2	2	0	0	0	0	0	0	0	2	0	1	24	0	0
ASV_276	2	0	2	7	5	8	11	0	2	3	4	2	6	3	17	1	0	1	1	2	1	1	5	3	0	0	6	13	1	0	10	0	31	5	0	0	1	12	9	40	145	22	0	0	0	7	0	0	0	9	0	4	56	0	113	13	0	0	3	0	3	0	4	7	0	3	0	64	2	0	2	0	0	2	0	4	0	0	0	0	60	1	0
ASV_269	4	3	6	5	12	5	11	0	0	7	40	11	10	6	19	2	0	9	3	8	12	2	4	0	0	3	12	0	1	7	22	0	0	0	0	0	0	0	5	0	0	3	2	1	3	4	0	0	1	65	5	3	0	0	1	0	0	0	0	3	0	0	0	0	0	5	0	1	3	4	0	2	5	24	0	0	0	16	0	17	0	2	0
ASV_793	0	0	6	1	4	9	6	0	0	0	3	2	3	4	0	0	0	0	0	2	13	7	3	0	1	1	17	21	0	0	2	0	5	5	0	0	0	13	1	7	31	0	1	0	5	20	1	0	0	1	0	2	218	3	118	1	6	0	17	0	2	0	4	0	0	0	0	0	2	11	4	44	8	0	0	0	0	0	1	0	30	1	0
ASV_472	0	0	0	0	1	2	1	0	0	0	0	0	0	12	0	3	0	0	0	0	0	0	0	4	19	0	2	3	0	0	0	0	0	115	0	0	0	0	0	0	0	286	1	0	0	1	0	0	2	1	5	1	180	2	5	2	2	0	3	9	0	3	0	83	0	132	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_303	1	0	0	0	2	1	0	0	0	2	0	0	0	4	0	3	1	1	18	0	0	0	4	11	0	0	11	1	4	1	0	0	19	12	62	16	147	27	21	19	67	0	2	1	0	1	3	0	18	0	0	1	44	12	4	46	10	0	174	118	3	1	0	133	6	11	0	0	0	14	1	0	2	2	1	26	1	1	8	3	0	1	10
ASV_273	2	2	0	1	0	0	0	2	2	4	0	0	0	0	1	9	0	4	11	0	3	0	0	0	2	1	2	11	13	6	0	5	0	0	4	0	23	0	0	0	0	0	1	5	2	1	14	2	103	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	31	0	0	4	604	5	193	0	0	24	1	14	0	5	5	26	0
ASV_297	0	1	4	2	1	6	0	2	3	0	10	2	0	1	0	0	0	0	3	8	0	0	3	0	65	0	0	1	3	0	3	0	7	2	0	0	0	35	8	7	9	3	0	5	0	2	0	2	0	5	35	0	0	0	0	0	0	0	0	1	74	0	83	0	6	50	0	3	2	4	8	1	0	11	0	0	0	5	217	0	5	0	9
ASV_488	1	1	5	28	6	2	13	5	0	9	4	8	40	2	4	0	5	3	4	14	3	7	9	0	0	9	6	1	0	1	5	0	0	0	0	0	0	0	0	0	1	0	4	7	2	8	0	0	0	13	0	2	0	0	0	0	0	0	2	0	8	0	2	0	1	0	0	0	25	4	0	0	0	2	0	0	1	6	0	19	1	1	0
ASV_237	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	4	3	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	3	16	0	0	0	0	0	2	12	0	2	1	10	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	1	0	2	0	0	0
ASV_218	2	1	127	6	16	13	3	0	1	2	109	14	1	14	7	3	1	1	0	40	8	2	20	0	4	14	5	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	3	8	16	4	0	2	0	2	0	27	1	0	0	1	0	0	0	0	0	2	16	0	0	0	0	0	5	3	1	2	0	1	0	0	0	3	1	2	0	0	0
ASV_299	1	1	0	3	3	4	0	11	1	2	0	0	0	1	24	0	5	1	0	0	1	4	15	0	1	20	4	7	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	4	22	31	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	15	13	30	3	0	0	0	0	5	12	0	24	7	2	0
ASV_341	1	0	0	0	1	3	1	5	4	2	0	0	2	2	27	2	0	0	12	0	0	0	1	6	12	0	3	3	1	0	0	4	0	0	17	19	0	0	0	0	0	2	0	0	1	1	5	22	0	0	4	1	0	0	0	0	0	0	1	0	0	1	0	0	1	22	181	0	0	1	0	15	0	0	0	0	0	2	0	0	10	31	7
ASV_264	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	9	1	0	14	28	13	0	13	10	45	0	15	0	0	0	0	0	0	3	2	12	0	1	9	893	15	18	68	33	0	0	0	0	0	0	45	5	5	0	0	0	0	14	0	0	0	22	0	2	0	0	0	1	1	0
ASV_350	0	2	0	1	0	0	0	0	0	2	0	0	8	1	0	0	0	7	3	0	3	0	0	9	0	0	2	0	0	0	5	0	0	34	0	31	3	0	21	162	2	7	0	2	0	0	0	0	0	2	1	0	2	73	1	23	25	0	4	6	0	3	0	76	0	0	0	0	3	4	1	0	0	3	26	1	0	4	0	5	0	0	69
ASV_615	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	10	17	2	0	0	0	0	0	0	0	10	21	0	3	0	0	2	271	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	3	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	9	4
ASV_244	5	0	54	22	3	9	6	1	0	1	6	6	11	9	8	3	8	8	1	16	2	9	6	0	1	22	2	2	0	0	3	3	0	3	1	0	0	0	0	0	0	0	6	26	6	3	0	0	0	0	0	13	1	1	3	1	2	0	0	0	0	35	2	0	8	2	3	2	18	2	0	0	0	0	0	2	13	13	1	13	0	2	5
ASV_256	3	0	121	9	0	12	1	0	0	3	125	7	0	7	27	2	0	12	1	0	7	3	20	0	1	8	5	3	1	0	4	0	1	0	0	0	0	0	1	1	0	3	3	5	8	8	0	1	0	0	0	41	1	3	2	1	10	0	10	0	0	1	0	21	0	1	0	0	8	5	0	3	0	0	0	0	4	11	6	4	2	0	0
ASV_355	0	0	0	5	0	10	0	19	11	0	0	1	0	6	0	0	0	0	0	0	1	0	0	9	14	0	0	0	8	0	0	2	0	0	35	0	0	7	1	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0
ASV_324	0	3	3	7	5	7	2	1	0	3	25	8	27	1	2	2	7	0	1	12	7	13	3	1	0	11	3	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	3	2	6	2	0	1	0	2	31	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	1	8	0	0	0	19	0	9	6	0	0
ASV_265	0	0	0	0	1	56	1	0	0	0	0	1	0	68	0	1	0	0	0	2	4	0	1	0	1	258	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_259	13	1	53	3	64	1	0	0	0	3	13	0	9	1	0	2	0	12	0	19	0	94	1	0	1	12	6	8	0	11	0	2	0	0	0	0	0	0	0	0	0	0	2	5	14	26	0	1	0	0	0	0	0	0	1	0	1	0	0	0	43	0	0	0	1	0	0	0	0	5	0	1	0	0	0	0	0	0	0	2	0	0	0
ASV_232	0	1	11	2	0	1	1	3	1	1	3	0	0	5	0	0	0	0	3	8	2	0	3	2	83	2	8	10	0	0	0	0	9	0	0	0	0	30	2	0	0	0	0	5	1	12	0	2	0	0	334	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	7	31	0	6	0	13
ASV_215	19	1	1	0	2	3	0	0	0	0	1	1	2	2	1	0	1	0	0	0	3	0	11	2	0	3	0	2	0	0	0	2	1	0	1	1	0	3	0	2	2	5	1	1	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	331	1	2	3	0	6	0	1	0	2	1	0	2	0	10	0	0	1	0	0	19	0	2
ASV_260	0	0	0	0	0	1	10	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0
ASV_570	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	9	0	0	0	1	14	1	3	0	0	2	0	0	2	12	6	18	85	19	49	6	13	3	0	2	1	2	0	8	0	5	0	3	0	3	12	1	14	4	0	9	7	37	11	1	68	7	2	0	0	0	3	0	0	1	0	1	75	15	0	4	1	8	1	165
ASV_456	11	0	4	0	0	3	0	1	1	0	1	2	0	0	3	1	0	2	1	1	2	0	4	0	1	1	0	0	1	0	0	1	1	0	2	0	0	37	4	27	70	5	5	1	2	1	1	4	0	6	14	0	4	0	73	1	0	0	0	0	0	0	193	0	33	0	23	491	1	2	1	0	0	0	1	0	5	2	3	3	0	1	0
ASV_409	32	1	0	1	1	0	0	11	0	12	0	1	3	2	0	3	12	3	1	2	5	0	2	3	4	3	3	5	0	0	0	1	2	18	34	2	1	1	4	2	0	13	2	1	7	1	0	2	0	0	6	1	15	0	1	0	1	10	3	61	49	91	0	0	2	37	0	4	0	1	0	0	0	0	0	11	1	0	181	4	23	0	78
ASV_242	6	3	0	2	0	13	0	1	0	1	2	1	0	1	2	2	2	1	1	2	0	0	0	0	0	12	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	45	1	6	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0	0	29	9	1	2	0	0	0	0	1	1	9	9	2	0	0
ASV_252	2	1	4	2	3	4	9	1	0	1	0	5	0	4	11	3	0	0	0	0	1	2	3	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	22	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	4	1	0	1
ASV_388	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	8	1	0	4	0	0	1	2	0	0	4	2	0	1	12	31	0	1	28	1	0	127	10	0	0	0	2	2	0	0	1	3	5	10	0	4	0	0	0	1	8	7	1	3	5	4	0	0	3	0	0	0	1	0	1	0	6	1	0	1	0	3	75	1
ASV_293	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	7	6	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	1	0	0	0	0	10	0	0
ASV_238	0	0	1	0	3	5	0	0	0	0	0	0	1	3	0	0	0	29	0	0	2	1	4	41	2	1	136	0	0	0	172	0	2	0	0	0	0	10	0	32	30	29	1	0	0	12	0	0	0	3	0	0	1	1	25	0	0	0	25	1	0	0	0	0	0	4	0	1	6	7	0	0	0	10	0	0	0	0	0	31	0	0	0
ASV_313	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	3	0	5	0	0	0	0	1	0	0	9	0	0	0	2	0	1	27	1	2	0	0	0	0	0	0	0	0	0	5	1	0	0	6	0	1	1	0	0	1	2	0	0	7	0	1	0	2	1	1	0	1	1	382	0	0	1	1	2	0	0	0
ASV_250	4	0	2	0	0	2	0	7	0	2	0	2	0	3	1	13	0	4	3	2	2	0	0	2	0	0	3	0	10	1	0	7	1	5	9	5	1	14	9	0	3	0	2	3	1	0	34	8	4	0	1	2	3	0	2	23	52	22	74	16	0	3	4	0	3	0	15	0	0	2	12	1	29	0	1	8	0	5	3	0	0	1	0
ASV_345	0	0	0	0	0	1	0	39	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	32	0	8	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	171	0	0	1	0	0	1	0
ASV_249	5	1	3	3	4	18	3	2	0	0	6	1	6	5	15	8	0	0	0	2	25	3	9	1	2	6	4	2	0	1	3	0	0	0	0	0	0	0	0	0	2	0	3	24	2	1	0	5	0	2	98	49	0	3	2	1	0	0	0	0	0	12	4	0	0	0	30	0	2	1	0	4	1	6	0	0	0	8	10	4	4	0	6
ASV_338	0	1	7	0	6	45	8	1	2	1	2	1	14	13	35	1	0	2	2	0	11	6	4	1	0	6	51	0	0	0	3	0	0	0	0	0	0	0	0	0	3	9	4	1	3	12	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	7	0	4	0	0	0	0	0	1	0	19	0	0	0
ASV_292	3	0	2	5	4	1	8	1	0	0	5	9	3	1	17	3	0	1	0	0	123	2	2	0	6	22	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	25	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	8	0	0	0
ASV_285	24	4	0	0	1	2	0	3	9	8	1	0	3	15	1	2	9	3	6	0	9	0	3	1	31	1	2	114	1	0	7	0	2	0	0	0	0	2	18	11	0	0	30	2	1	1	0	2	1	0	0	1	0	5	1	7	11	0	5	2	6	0	0	1	2	6	0	0	19	0	10	1	16	4	1	0	0	7	0	12	40	1	0
ASV_233	0	0	0	0	80	1	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	525	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	46	0	0	0	1	0	0	0	0	0
ASV_556	0	5	0	1	3	0	0	18	3	1	0	7	0	1	0	2	0	0	3	0	0	6	1	51	9	1	6	7	4	0	0	6	0	0	13	8	3	3	0	1	3	0	2	1	1	0	2	14	0	0	0	0	0	3	4	0	2	6	0	4	1	0	0	0	2	0	7	0	0	4	9	5	3	0	39	0	29	5	0	0	8	7	0
ASV_257	2	72	0	0	3	6	0	0	0	2	1	3	0	1	18	1	1	1	2	0	0	10	1	0	0	8	4	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	4	54	2	21	4	0	0	0	0	1	0	0	0	0	6	0	0	1	0	0	23	0	0	0	0	0	0	6	1	0	1	0	1	0	0	23	0	5	7	0	0
ASV_491	1	2	3	1	6	1	14	0	0	0	1	2	2	1	10	0	0	1	0	2	5	1	5	0	1	1	6	3	0	2	1	0	225	9	0	0	0	143	6	19	0	20	0	1	14	1	0	0	0	0	0	3	22	1	3	8	3	0	3	0	3	0	0	0	0	6	0	0	0	2	3	2	0	0	0	0	0	0	0	2	2	2	0
ASV_270	355	6	0	0	0	0	0	0	1	41	0	0	0	0	0	9	0	180	12	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	5	0	0	0	0	0	226	8	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	21	0	0	3	0	0	0	0	0	4	0	0	0	0	2	0	36	1
ASV_227	0	128	1	0	1	24	0	0	1	4	1	15	1	19	0	4	0	2	3	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	2	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_754	5	1	1	0	0	1	0	2	0	3	0	0	0	5	0	0	1	2	1	1	3	0	0	29	2	0	0	3	0	1	3	0	0	5	1	26	0	1	0	1	44	102	0	0	0	0	12	0	0	0	1	0	7	0	1	0	0	1	1	8	2	0	61	0	39	252	0	0	1	0	0	2	0	1	1	0	0	0	0	1	23	12	0
ASV_307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	125	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	30	1	0	0	4	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0	884	2
