OTUID	All	E	S
ASV_243	0.045212	0.06163352	0.03414508
ASV_481	0.039697	0.01449399	0.05668129
ASV_396	0.04409	0.02258481	0.05858262
ASV_248	0.059745	0.12718275	0.01429712
ASV_630	0.039419	0.008983741	0.059929587
ASV_236	0.042282	0.04823871	0.03826763
ASV_474	0.041866	0.04106728	0.04240439
ASV_520	0.041633	0.006664988	0.065198785
ASV_340	0.039858	0.03060333	0.04609555
ASV_305	0.047188	0.03896016	0.05273265
ASV_423	0.044681	0.01794170	0.06270058
ASV_298	0.038238	0.085368005	0.006476963
ASV_267	0.050881	0.04906066	0.05210745
ASV_347	0.039754	0.02741163	0.04807130
ASV_289	0.039987	0.03105426	0.04600710
ASV_308	0.05843	0.14313243	0.00134825
ASV_326	0.041608	0.04359069	0.04027224
ASV_348	0.036525	0.0228747	0.0457237
ASV_662	0.0404	0.02695313	0.04946233
ASV_783	0.038197	0.01338558	0.05491730
ASV_449	0.04109	0.04022588	0.04167186
ASV_375	0.043807	0.03521000	0.04960011
ASV_402	0.040965	0.02168868	0.05395558
ASV_891	0.045569	0.04254861	0.04760452
ASV_352	0.035976	0.01778869	0.04823316
ASV_277	0.041535	0.05914777	0.02966632
ASV_300	0.033104	0.01324546	0.04648768
ASV_436	0.041673	0.05610494	0.03194751
ASV_302	0.040638	0.05014101	0.03423417
ASV_498	0.037213	0.02685999	0.04419019
ASV_460	0.034722	0.004929523	0.054799765
ASV_239	0.031181	0.00118285	0.05139646
ASV_316	0.041271	0.05135520	0.03447496
ASV_578	0.035519	0.01915739	0.04654547
ASV_339	0.03606	0.01508559	0.05019503
ASV_290	0.038147	0.081622297	0.008848589
ASV_466	0.037036	0.03391872	0.03913631
ASV_279	0.032473	0.01964307	0.04111905
ASV_373	0.034456	0.077334024	0.005559577
ASV_268	0.036695	0.04381289	0.03189740
ASV_272	0.03646	0.06746184	0.01556697
ASV_328	0.04248	0.06762299	0.02553545
ASV_496	0.034425	0.0085062	0.0518926
ASV_359	0.034007	0.02208289	0.04204253
ASV_254	0.038456	0.05218383	0.02920411
ASV_389	0.033009	0.02278869	0.03989664
ASV_644	0.033794	0.005537894	0.052835923
ASV_323	0.042844	0.04921351	0.03855182
ASV_315	0.037502	0.06483167	0.01908336
ASV_253	0.047827	0.0004783966	0.0797352969
ASV_287	0.026439	0.002831191	0.042348483
ASV_422	0.033089	0.01947277	0.04226522
ASV_410	0.037281	0.04664748	0.03096860
ASV_337	0.036083	0.05143958	0.02573433
ASV_1044	0.036227	0.03889814	0.03442753
ASV_329	0.036739	0.03913714	0.03512226
ASV_533	0.031905	0.01357186	0.04426061
ASV_390	0.04261	0.07669493	0.01963908
ASV_438	0.037305	0.03638754	0.03792381
ASV_1237	0.032154	0.01015801	0.04697809
ASV_400	0.034424	0.01544457	0.04721379
ASV_601	0.03347	0.01545122	0.04561279
ASV_428	0.034885	0.080690839	0.004015943
ASV_470	0.0345	0.007789428	0.052500612
ASV_266	0.028267	0.005004545	0.043944364
ASV_371	0.030437	0.01551533	0.04049224
ASV_506	0.032306	0.01206470	0.04594653
ASV_414	0.035023	0.02645197	0.04079982
ASV_365	0.032557	0.02588378	0.03705364
ASV_376	0.030233	0.01000414	0.04386614
ASV_524	0.041812	0.03674430	0.04522755
ASV_432	0.035732	0.03730607	0.03467125
ASV_288	0.039263	0.04450229	0.03573260
ASV_801	0.031175	0.01173660	0.04427399
ASV_291	0.034422	0.02983920	0.03751098
ASV_322	0.029107	4.298259e-05	4.869288e-02
ASV_296	0.031459	0.05495791	0.01562336
ASV_412	0.031317	0.02613456	0.03481028
ASV_385	0.033569	0.03889183	0.02998217
ASV_405	0.034528	0.02427204	0.04143972
ASV_387	0.03478	0.04065357	0.03082228
ASV_886	0.029768	0.008456043	0.044130683
ASV_1133	0.031951	0.01901311	0.04066980
ASV_317	0.029198	0.04805488	0.01648966
ASV_360	0.031953	0.03522307	0.02974897
ASV_325	0.032019	0.03588719	0.02941247
ASV_529	0.031542	0.02160863	0.03823626
ASV_372	0.038362	0.01009839	0.05740965
ASV_885	0.037958	0.05444296	0.02684881
ASV_306	0.030852	0.04266346	0.02289127
ASV_394	0.02982	0.02383032	0.03385673
ASV_1126	0.028915	0.01111201	0.04091224
ASV_331	0.031315	0.01539148	0.04204663
ASV_1219	0.029467	0.009388956	0.042998195
ASV_263	0.03652	0.0003832673	0.0608723840
ASV_399	0.032845	0.03694060	0.03008572
ASV_590	0.029553	0.01814886	0.03723787
ASV_304	0.033035	0.04287922	0.02640020
ASV_475	0.030254	0.005771839	0.046752567
ASV_945	0.030022	0.01361096	0.04108207
ASV_495	0.029256	0.02808824	0.03004325
ASV_594	0.026963	0.02510464	0.02821475
ASV_403	0.02861	0.009356266	0.041585351
ASV_567	0.025927	0.007249607	0.038514276
ASV_546	0.031355	0.03772794	0.02706101
ASV_439	0.030092	0.03420591	0.02731877
ASV_761	0.028353	0.01099585	0.04005030
ASV_452	0.032359	0.06143187	0.01276723
ASV_437	0.028492	0.01717844	0.03611607
ASV_398	0.029671	0.01969227	0.03639579
ASV_391	0.034713	0.04370463	0.02865363
ASV_1023	0.028107	0.01390862	0.03767609
ASV_418	0.030715	0.03776478	0.02596423
ASV_482	0.029287	0.02717189	0.03071232
ASV_1199	0.035034	0.03747311	0.03339047
ASV_321	0.031544	0.06156236	0.01131424
ASV_471	0.03114	0.05946164	0.01205285
ASV_685	0.028084	0.009074339	0.040895625
ASV_395	0.027311	0.01735225	0.03402166
ASV_381	0.032549	0.02814455	0.03551791
ASV_356	0.0304	0.04349630	0.02157341
ASV_1066	0.027339	0.02609870	0.02817523
ASV_1072	0.033422	0.02837666	0.03682199
ASV_312	0.023948	0.009065169	0.033977344
ASV_485	0.027214	0.04322051	0.01642722
ASV_353	0.027901	0.05135025	0.01209846
ASV_330	0.026949	0.01296480	0.03637284
ASV_419	0.02373	0.01182224	0.03175502
ASV_357	0.026761	0.02104350	0.03061419
ASV_351	0.024487	0.01163961	0.03314458
ASV_295	0.021329	0.002646391	0.033919035
ASV_589	0.025181	0.02490451	0.02536764
ASV_930	0.025189	0.01657529	0.03099346
ASV_378	0.027654	0.04091608	0.01871711
ASV_545	0.025092	0.01544448	0.03159318
ASV_440	0.024382	0.047025899	0.009122684
ASV_383	0.027034	0.03026691	0.02485559
ASV_427	0.028817	0.03180818	0.02680193
ASV_382	0.022908	0.01542392	0.02795128
ASV_374	0.029433	0.02433886	0.03286684
ASV_604	0.024689	0.01173602	0.03341894
ASV_366	0.023773	0.03946606	0.01319659
ASV_458	0.027165	0.02659459	0.02754941
ASV_397	0.027227	0.003312802	0.043343395
ASV_635	0.026062	0.02468578	0.02698993
ASV_494	0.023882	0.01663569	0.02876526
ASV_454	0.024354	0.02338047	0.02501001
ASV_349	0.022248	0.01143341	0.02953597
ASV_430	0.024245	0.02175347	0.02592403
ASV_522	0.025779	0.02319557	0.02752054
ASV_420	0.026387	0.04516540	0.01373144
ASV_1182	0.02385	0.01112293	0.03242659
ASV_336	0.02135	0.00849618	0.03001252
ASV_463	0.029145	0.01041464	0.04176805
ASV_415	0.024348	0.03997207	0.01381808
ASV_616	0.024859	0.02374569	0.02560892
ASV_1084	0.021904	0.00707181	0.03190010
ASV_384	0.032716	0.05714010	0.01625593
ASV_996	0.022996	0.01075573	0.03124514
ASV_1208	0.02259	0.01535439	0.02746589
ASV_408	0.026284	0.03952889	0.01735854
ASV_457	0.024614	0.02636765	0.02343233
ASV_519	0.023944	0.01496228	0.02999749
ASV_584	0.024714	0.02779814	0.02263602
ASV_769	0.031228	0.01542244	0.04187881
ASV_404	0.025153	0.03557937	0.01812578
ASV_421	0.026424	0.02581577	0.02683398
ASV_559	0.021523	0.01667537	0.02478981
ASV_344	0.022252	0.00897042	0.03120298
ASV_411	0.025121	0.01306232	0.03324796
ASV_707	0.025059	0.02184526	0.02722527
ASV_637	0.020961	0.03527943	0.01131186
ASV_477	0.023517	0.04336890	0.01013888
ASV_406	0.027466	0.003129671	0.043866111
ASV_729	0.022609	0.01585344	0.02716237
ASV_583	0.02458	0.02822191	0.02212533
ASV_465	0.024248	0.02756466	0.02201312
ASV_734	0.022683	0.005449438	0.034296722
ASV_369	0.019104	0.042832093	0.003113879
ASV_684	0.021779	0.01133786	0.02881486
ASV_550	0.024538	0.03366173	0.01838935
ASV_651	0.024167	0.01993583	0.02701829
ASV_531	0.022418	0.01762092	0.02565119
ASV_401	0.026304	0.008737679	0.038142597
ASV_1000	0.023939	0.02058165	0.02620208
ASV_512	0.021071	0.006115258	0.031150462
ASV_530	0.021195	0.01839399	0.02308270
ASV_592	0.024354	0.03502618	0.01716266
ASV_688	0.021176	0.01130073	0.02783178
ASV_744	0.024511	0.03427294	0.01793181
ASV_653	0.022666	0.03820690	0.01219315
ASV_459	0.024169	0.047716982	0.008299737
ASV_416	0.023074	0.004167685	0.035815778
ASV_833	0.021687	0.01948115	0.02317404
ASV_490	0.019917	0.01286079	0.02467295
ASV_587	0.020443	0.006163624	0.030066192
ASV_657	0.021527	0.01299628	0.02727678
ASV_425	0.020778	0.02437702	0.01835305
ASV_772	0.02004	0.01058174	0.02641400
ASV_469	0.02089	0.03373176	0.01223522
ASV_525	0.022369	0.03447762	0.01420947
ASV_379	0.018011	0.002412078	0.028523425
ASV_639	0.024345	0.01502975	0.03062301
ASV_431	0.028436	0.01541753	0.03720943
ASV_489	0.022245	0.02133235	0.02285984
