OTUID	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost
ASV_84	0.18045399	0.13417766	0.12605413	0.27493614	0.10268215	0.03964435	0.14425463	0.13463471	0.60742397	0.18336791	0.22218465	0.25814743	0.59050611	0.66575129	0.27103157	0.33609176	0.38462496	0.27446361
ASV_106	0.029117815	0.078941735	0.002857511	0.577184002	0.460546645	0.882592171	0.135761278	0.064285194	0.031132133	0.196406756	0.216586432	0.259390348	0.044661518	0.645920505	0.126660604	0.072349949	0.057025413	0.044397842
ASV_76	0.1681104	0.2169844	0.2475347	0.2693895	0.3764296	0.1746698	0.2105549	0.3326489	0.2208923	0.1603913	0.4008742	0.1821719	0.1373525	0.134349	0.286506	0.1465299	0.1177814	0.1526618
ASV_78	0.24498747	0.05556293	0.43489735	0.16140484	0.20698903	0.0964786	0.35453163	0.2877179	0.20599532	0.27676125	0.15598187	0.1132338	0.25320186	0.26279982	0.57162419	0.25588866	0.31917943	0.10528413
ASV_83	0.19474702	0.25852677	0.22932725	0.13147314	0.10367329	0.06073843	0.28305042	0.28996019	0.31696619	0.18068123	0.32656187	0.27218359	0.17483735	0.32177775	0.35076446	0.22678215	0.289561	0.91686742
ASV_64	0.011490979	0.013136146	0.035016058	0.370623059	0.878531788	1.821856394	0.025150851	0.025539841	0.020238387	0.09723269	0.402602893	0.056931968	0.034620685	0.006689799	0.005744944	0.091773614	0.010379753	0.016653517
ASV_97	0.29673744	0.1667699	0.09504433	0.26358516	0.27133262	0.17401698	0.16733613	0.22979842	0.21633261	0.21289874	0.30752615	0.2119675	0.16496813	0.14854386	0.17715058	0.22392461	0.23082647	0.33119679
ASV_89	0.07141772	0.11048242	0.11151021	0.50640642	0.22829759	0.07880734	0.45090455	0.1163644	0.09005998	0.193061	0.32015875	0.16070391	0.12603523	0.18485017	0.07698586	0.13155358	0.24720117	0.16589146
ASV_70	0.36105467	0.1137712	0.20108135	0.07408903	0.08678774	0.10208484	0.1649566	0.29102247	0.36301609	0.17117303	0.09744302	0.28176965	0.45045348	0.21876625	0.60752972	0.40737927	0.03144416	0.04665588
ASV_100	0.1673298	1.40999699	0.17035851	0.1526805	0.10697998	0.94291911	0.06637207	0.21853221	0.0778549	0.25086183	0.103627	0.09760961	0.06813019	0.27648438	0.10089876	0.15727594	0.07278768	0.27820448
ASV_93	0.22014241	0.39824498	0.29341215	0.03403933	0.05707162	0.12737538	0.33077541	0.26982696	0.32824945	0.19388202	0.22606692	0.27405202	0.22280642	0.10822332	0.24985054	0.28341514	0.14031835	0.25899541
ASV_118	0.025445122	0.094493857	0.063418901	0.07147694	0.126027265	0.251255532	0.03602398	0.092605613	0.05609364	0.225608671	0.507740479	0.474049009	0.008312647	0.015262892	0.005650795	0.141698133	0.073978994	0.406003414
ASV_98	0.052916101	0.054403799	0.221072337	1.015401115	0.036740521	0.006295877	0.017555952	0.068882801	0.175506308	0.048112461	0.071330433	0.085850956	0.016558323	0.034462181	0.017019022	0.047571879	2.395687903	0.102391845
ASV_61	0.12097741	0.26154383	0.24797216	0.03671985	0.02896687	0.05668023	0.17462743	0.26104577	0.09032842	0.19837605	0.56188863	0.13473803	0.05762403	0.06135184	0.84430302	0.12140575	0.05336091	1.1323058
ASV_117	0.02383085	0.03109973	0.05371356	0.17373033	0.82670287	0.1662618	0.05114722	0.11499819	0.0499554	0.36882647	0.18764182	0.14358238	0.06852655	0.02209295	0.04549471	0.28749006	0.08889908	0.10082932
ASV_104	0.23659574	0.11842678	0.08303024	0.12206668	0.44698946	0.30524389	0.27593029	0.13604427	0.25089603	0.12164144	0.2944964	0.17462268	0.10626517	0.12008646	0.11907687	0.05816933	0.1173811	0.07929072
ASV_105	0.018759441	0.006924649	0.001113481	0.084727326	1.070593806	0.029375862	0.031992259	0.05254948	0.013837423	0.321171618	0.031998998	0.060405705	0.115344128	0.007215404	0.007484879	0.023966348	0.627727589	0.035061324
ASV_136	0.035580543	0.030115311	0.106476465	0.049784885	0.902487502	0.031867088	0.099672136	0.071573948	0.042335281	0.089258141	0.103643824	0.114648136	0.003552521	0.003030661	0.004245119	0.309471749	1.323496825	0.071236637
ASV_174	0.25983699	0.17317083	0.12502693	0.07811796	0.87075122	0.12570248	0.29179734	0.13096594	0.07510228	0.17688791	0.10601004	0.20422157	0.09098263	0.04503928	0.10886932	0.06900257	0.10488635	0.2286041
ASV_112	0.14698888	0.21806456	0.98792571	0.096348	0.21301839	0.04587406	0.09180189	0.11059407	0.04713828	0.0540677	0.24046634	0.30216452	0.09369356	0.03563955	0.04679272	0.04732802	1.0436524	0.06904263
ASV_111	0.18902093	0.18499129	0.33351388	0.04921239	0.03879522	0.13145547	0.48721275	0.13162894	0.23210258	0.06532378	0.0806172	0.26153242	0.19111203	0.17532092	0.26719736	0.16818363	0.12256111	0.13285903
ASV_126	0.76382136	0.0552524	0.08242464	0.71902478	0.24238322	0.12245648	0.19559603	0.02892204	0.02101642	0.31716673	0.10589376	0.15858942	0.09857642	0.02392214	0.01381381	0.32301044	0.11602473	0.03288033
ASV_96	0.012866301	0.037867669	0.009831841	0.010934255	0.023053416	0.057274927	0.036424632	0.617793621	0.078246932	0.506711557	0.080398981	0.066016885	0.569312995	0.033364474	0.02806965	0.311689266	0.057385889	0.013500736
ASV_130	0.16779877	0.12040294	0.52457271	0.04033996	0.06413104	0.13908661	0.2190311	0.27280746	0.21441965	0.12063853	0.14514805	0.1897403	0.6122822	0.44210081	0.14652159	0.29008975	0.13958306	0.11998423
ASV_137	0.02601307	0.02355351	0.03085517	0.06977669	0.14407937	0.0964192	0.04137304	0.07459468	0.03584342	0.06317276	0.10566143	1.10222629	0.09319674	0.02278424	0.03424629	0.03528992	0.06125323	0.05366772
ASV_107	0.0442852	0.02184833	0.05278562	0.0582861	1.72064941	0.02271242	0.02930515	0.02140932	0.02138258	0.08527437	0.0487295	0.09190821	0.07395503	0.0610708	0.0605149	0.05646807	0.08020133	0.06610574
ASV_109	0.075036679	0.013594628	0.008946216	0.161220613	0.110412273	0.297875504	0.048468828	0.050930966	0.052167091	0.075160008	0.902007665	0.076148351	0.016474518	0.027873544	0.029449969	0.070029776	0.056203467	0.253559005
ASV_189	0.12275851	0.20516317	0.25804503	0.15897244	0.1566076	0.50738313	0.14663281	0.19669009	0.20507058	0.09608793	0.15960904	0.16628167	0.16522571	0.24049106	0.2630544	0.08502532	0.14416749	0.07458123
ASV_92	0.048701114	0.040280626	0.038072193	0.005892113	0.003544926	0.02644542	0.535288926	0.108074992	0.460366361	0.027656313	0.061670834	0.060090561	0.026903203	0.010655624	0.035843341	0.898407128	0.026869775	0.04926038
ASV_82	0.17526443	0.35307977	0.21637949	0.01803378	0.01589841	0.0623517	0.1951215	0.11079432	0.17728398	0.23802129	0.09147843	0.22649331	0.52228951	0.44337195	0.41293194	0.36974631	0.18514782	0.32974189
ASV_95	0.08432303	0.09310969	0.13242179	0.04424915	0.06690206	0.09850717	0.12833558	0.13630294	0.52830232	0.08811601	0.39858178	0.17443641	0.02124109	0.03722934	0.01908465	0.44746103	0.11336863	0.13892664
ASV_110	0.56482343	0.21544422	0.05012489	0.20733838	0.39369828	0.17304867	0.26778288	0.04350037	0.02923992	0.24832937	0.18251929	0.03907432	0.13138816	0.04188845	0.03384533	0.06853738	0.03735882	0.24950993
