OTUID	All	D	H	I
ASV_299	0.075846	0.03329243	0.09353950	0.03746562
ASV_617	0.078298	0.000000000	0.004174763	0.527733574
ASV_228	0.066387	0.06932295	0.06868867	0.05186497
ASV_556	0.078826	0.03159300	0.09916567	0.03280839
ASV_404	0.067659	0.02938608	0.08713839	0.01575520
ASV_237	0.079218	0.00735994	0.10357362	0.04132573
ASV_98	0.061639	0.05440380	0.06888280	0.03446218
ASV_244	0.058983	0.10149894	0.05039757	0.05300876
ASV_145	0.063407	0.002365873	0.089391691	0.005400074
ASV_168	0.062434	0.07019147	0.05843423	0.07320703
ASV_247	0.073722	0.02358757	0.09634595	0.01983161
ASV_276	0.056883	0.03525099	0.05323217	0.09901342
ASV_257	0.0604	0.08783672	0.04273243	0.11566116
ASV_265	0.05462	0.07122020	0.01825676	0.21321515
ASV_321	0.070173	0.03995803	0.01165170	0.38945891
ASV_198	0.057692	0.05169047	0.06247632	0.04111789
ASV_223	0.056873	0.12901958	0.04304911	0.04309744
ASV_119	0.064056	0.10141315	0.05047990	0.08821539
ASV_179	0.05669	0.04900193	0.04245851	0.13471812
ASV_202	0.065749	0.03540309	0.07285858	0.06523188
ASV_885	0.058913	0.01006841	0.05218959	0.14664218
ASV_231	0.053042	0.16027585	0.03314047	0.02942238
ASV_241	0.053817	0.11899334	0.03889432	0.05324493
ASV_292	0.050737	0.02137432	0.05327815	0.07138428
ASV_448	0.056724	0.0001824814	0.0813699265	0.0001856445
ASV_355	0.052923	0.0454085248	0.0653242483	0.0009220442
ASV_169	0.054398	0.02476248	0.06902771	0.01641848
ASV_136	0.055119	0.030115311	0.071573948	0.003030661
ASV_418	0.064608	0.005330528	0.089413891	0.010368299
ASV_114	0.051581	0.02748059	0.06209284	0.02744903
ASV_267	0.051174	0.02666753	0.05912871	0.03996532
ASV_268	0.047026	0.01874623	0.05727608	0.02886983
ASV_206	0.057334	0.01878475	0.05109679	0.13110892
ASV_285	0.054274	0.04992725	0.06067641	0.02795487
ASV_275	0.056154	0.01902505	0.06914336	0.03460363
ASV_620	0.074056	0.001052090	0.104666441	0.006961097
ASV_1153	0.047387	0.03472712	0.04937771	0.05192599
ASV_786	0.044027	0.06862826	0.02419218	0.11304636
ASV_510	0.054195	0.309954896	0.004901470	0.006768261
ASV_536	0.046124	0.005143844	0.062154806	0.014075733
ASV_390	0.059607	0.001270099	0.071754401	0.066014149
ASV_988	0.046269	0.004720985	0.065050910	0.001447746
ASV_1199	0.059246	0.02705787	0.07353371	0.02580822
ASV_208	0.051392	0.02579003	0.06506040	0.01356311
ASV_326	0.047728	0.01871356	0.05861162	0.02731103
ASV_385	0.045237	0.04451571	0.04368896	0.05359634
ASV_493	0.049105	0.0005917733	0.0696087739	0.0037229973
ASV_243	0.044714	0.09088782	0.03289120	0.05040789
