OTUID	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost
ASV_208	23.625	15.77778	28.875	102.35294	131.15385	164.6	33.81818	37.41026	36.62857	81.48	77.7381	61.875	35.14286	9.125	53.375	31.78571	31	51.83333
ASV_150	68.625	207.11111	164.625	19.58824	12.76923	350.66667	26.93939	22.74359	20.51429	59.4	41.2619	57.35	10.28571	24.5	112.375	17.21429	217.21429	30.66667
ASV_133	82.625	76.22222	80.375	14.35294	37.15385	26.8	74.72727	105.64103	115.08571	60.5	41.88095	50.075	36.71429	61.125	88.5	53.35714	21.64286	25.33333
ASV_187	40.25	33.66667	22.75	121.76471	112	112.93333	62.66667	53.97436	47.45714	65.72	55.04762	50.15	42.57143	40.125	26.75	52.21429	60.07143	38.66667
ASV_212	17.125	8.333333	4.25	48.882353	21.423077	152.533333	69.575758	15.897436	32.828571	193.64	39	14.925	27.428571	5.125	9.875	32.142857	207	15.083333
ASV_235	62.875	56.66667	64.625	38.11765	33.11538	89.33333	66.57576	95.30769	68.62857	40.76	39.61905	57	38	60.25	56.375	110.5	70.21429	76.33333
ASV_165	37.125	48.444444	26.25	7.823529	11.730769	11.6	78.181818	26.769231	61.342857	21.94	53.928571	17.975	41.714286	7	8.75	730.714286	35.285714	58.583333
ASV_221	30.75	142.11111	65.75	45.76471	74.57692	43.6	40.72727	47.20513	23.05714	86.5	41.90476	45.925	13.28571	72.875	148.75	70.5	46.14286	191.83333
ASV_151	47.375	99.77778	78.75	14.58824	36.42308	22.46667	67.33333	73.71795	61.08571	34.06	149.95238	44.425	47.71429	39.125	53.375	38.21429	30.5	36.83333
ASV_169	51.75	17	66.875	11.17647	10.96154	34.26667	77.84848	43.66667	62.54286	28.4	29.19048	30.875	23.57143	10.75	30	54.57143	416.78571	275.58333
ASV_139	11	6.222222	1.125	32.176471	507.384615	29.666667	8.121212	21.307692	14.085714	69.58	33.02381	10.525	20.571429	3.125	3.25	20.357143	43	34.75
ASV_193	14.25	91.888889	4	194.117647	291.769231	12.466667	27.272727	15.974359	10.742857	51.42	18	33.1	16.142857	419.25	30.5	4.642857	9.785714	11.916667
ASV_202	24.5	22	47.125	40.588235	36.769231	72.2	36.333333	38.179487	69.371429	64.46	60.904762	37.475	94.428571	38.5	53.25	9.571429	271.571429	117.083333
ASV_186	35.875	38.11111	49.625	197.52941	76.65385	7.6	60.78788	91.53846	54.42857	29.66	36.83333	36.825	99	32.75	239.625	34.35714	25.5	27.66667
ASV_163	18.25	74.33333	35.875	36	15.15385	72.6	64.15152	71.15385	173.25714	30.46	68.7619	51.375	25.28571	30.875	29	16.42857	38.78571	30.91667
ASV_247	18.625	16.222222	5.125	30.941176	125.384615	76.6	44	48.205128	16.885714	59.76	173.785714	41.625	39.428571	13.75	21.875	7.857143	26.428571	19.25
ASV_294	23.5	23.22222	10.875	210.88235	57	31.73333	40.72727	21.71795	20.54286	146.44	98.52381	17.175	37.42857	22.5	24.625	17.07143	16.57143	18.16667
ASV_182	13.5	14.444444	23.375	53.823529	169.961538	21.8	9.818182	56.948718	22.771429	28.76	62.595238	36.225	2.857143	43.875	9.125	9.714286	359.071429	142.416667
ASV_128	1	23.7777778	6.75	0.6470588	0.1538462	0.3333333	119.9393939	156.4102564	115.6857143	2.84	6.3095238	5.95	9.4285714	34.375	5	121.8571429	271.4285714	106.5833333
ASV_161	38.875	48.111111	21.25	2.764706	2.615385	8	27.454545	101.358974	127.828571	24.56	27.214286	47.45	209.571429	151.625	83.125	132.785714	70.428571	105.083333
ASV_278	32.375	5.555556	5	249.647059	204.884615	19.933333	15.909091	11	28.057143	120.24	11.285714	8.325	13.428571	10.875	8.125	16.142857	31.071429	180.583333
ASV_168	64.125	45	18.5	114	70.38462	15.73333	181.60606	34.23077	17.05714	76.3	30.14286	40.675	54.14286	52.375	33.75	26.35714	36.85714	30.5
ASV_245	215.125	47.22222	31	19.23529	12	23.93333	37.12121	39.64103	40.25714	27.7	32.19048	51.2	235.85714	695.5	160.625	20.42857	30.71429	34.16667
ASV_131	38.125	202.44444	17.625	42.58824	10.65385	12.93333	14.81818	10.05128	13.08571	73.2	74.83333	37.325	767.28571	207	8.25	53	33.57143	23.83333
ASV_206	13.5	12.77778	13.5	119.35294	21.15385	58.33333	73.63636	29.30769	34.28571	42.66	175.57143	35.7	25.28571	71.625	19.5	17.14286	46.42857	28
ASV_180	88.25	161.333333	88.25	7.529412	8.692308	17.466667	72.787879	74.410256	77.085714	55.62	42.5	47.05	58.428571	48.5	103.25	62.142857	37.714286	54.833333
ASV_156	1.75	0.8888889	2.5	22.5882353	13.4230769	19	3.4545455	2.1282051	1.7714286	287.34	63.9047619	32.275	1.4285714	5.125	1.625	60.7142857	31.6428571	33.3333333
ASV_284	59.625	53.66667	72.5	18.41176	18.23077	87.8	71.06061	94.84615	64.45714	37.86	32.42857	49.525	30.85714	54	53.375	107.92857	57.57143	62.91667
ASV_217	15.25	17.66667	14	161.47059	66.19231	8.6	29.66667	11.38462	30.85714	163.5	48.38095	12.65	22	22.625	30.5	24.07143	19.28571	158.33333
ASV_181	82.5	56.44444	77.25	32	45.53846	154.2	65.57576	39.17949	27.85714	18.12	27.19048	33.375	50.57143	178.625	109.625	17.57143	56.64286	286.16667
ASV_185	4.5	7.444444	21.125	70	143.384615	100.933333	6.424242	10.435897	13.285714	65.64	75.333333	143.65	2.714286	7.125	28.5	18.785714	13.928571	19.583333
ASV_211	20.375	4.444444	4.625	22.058824	212.230769	12.8	31.363636	72.641026	36.228571	78.24	33.238095	10.725	5.142857	17	15.25	10.285714	100.285714	147.083333
