OTUID	All	DEmed	DEpost	DGpre	DSmed	DSpost	DSpre	HEmed	HEpost	HGpre	HSmed	HSpost	HSpre	IEmed	IEpost	IGpre	ISmed	ISpost	ISpre
ASV_78	0.229411	0.05556293	0.43489735	0.24498747	0.20698903	0.09647860	0.16140484	0.28771790	0.20599532	0.35453163	0.15598187	0.11323380	0.27676125	0.26279982	0.57162419	0.25320186	0.31917943	0.10528413	0.25588866
ASV_83	0.264354	0.25852677	0.22932725	0.19474702	0.10367329	0.06073843	0.13147314	0.28996019	0.31696619	0.28305042	0.32656187	0.27218359	0.18068123	0.32177775	0.35076446	0.17483735	0.28956100	0.91686742	0.22678215
ASV_64	0.222117	0.013136146	0.035016058	0.011490979	0.878531788	1.821856394	0.370623059	0.025539841	0.020238387	0.025150851	0.402602893	0.056931968	0.097232690	0.006689799	0.005744944	0.034620685	0.010379753	0.016653517	0.091773614
ASV_97	0.225916	0.16676990	0.09504433	0.29673744	0.27133262	0.17401698	0.26358516	0.22979842	0.21633261	0.16733613	0.30752615	0.21196750	0.21289874	0.14854386	0.17715058	0.16496813	0.23082647	0.33119679	0.22392461
ASV_89	0.209228	0.11048242	0.11151021	0.07141772	0.22829759	0.07880734	0.50640642	0.11636440	0.09005998	0.45090455	0.32015875	0.16070391	0.19306100	0.18485017	0.07698586	0.12603523	0.24720117	0.16589146	0.13155358
ASV_70	0.208977	0.11377120	0.20108135	0.36105467	0.08678774	0.10208484	0.07408903	0.29102247	0.36301609	0.16495660	0.09744302	0.28176965	0.17117303	0.21876625	0.60752972	0.45045348	0.03144416	0.04665588	0.40737927
ASV_100	0.205728	1.40999699	0.17035851	0.16732980	0.10697998	0.94291911	0.15268050	0.21853221	0.07785490	0.06637207	0.10362700	0.09760961	0.25086183	0.27648438	0.10089876	0.06813019	0.07278768	0.27820448	0.15727594
ASV_93	0.229114	0.39824498	0.29341215	0.22014241	0.05707162	0.12737538	0.03403933	0.26982696	0.32824945	0.33077541	0.22606692	0.27405202	0.19388202	0.10822332	0.24985054	0.22280642	0.14031835	0.25899541	0.28341514
ASV_118	0.198104	0.094493857	0.063418901	0.025445122	0.126027265	0.251255532	0.071476940	0.092605613	0.056093640	0.036023980	0.507740479	0.474049009	0.225608671	0.015262892	0.005650795	0.008312647	0.073978994	0.406003414	0.141698133
ASV_98	0.195323	0.054403799	0.221072337	0.052916101	0.036740521	0.006295877	1.015401115	0.068882801	0.175506308	0.017555952	0.071330433	0.085850956	0.048112461	0.034462181	0.017019022	0.016558323	2.395687903	0.102391845	0.047571879
ASV_61	0.231763	0.26154383	0.24797216	0.12097741	0.02896687	0.05668023	0.03671985	0.26104577	0.09032842	0.17462743	0.56188863	0.13473803	0.19837605	0.06135184	0.84430302	0.05762403	0.05336091	1.13230580	0.12140575
ASV_117	0.195658	0.03109973	0.05371356	0.02383085	0.82670287	0.16626180	0.17373033	0.11499819	0.04995540	0.05114722	0.18764182	0.14358238	0.36882647	0.02209295	0.04549471	0.06852655	0.08889908	0.10082932	0.28749006
ASV_104	0.198944	0.11842678	0.08303024	0.23659574	0.44698946	0.30524389	0.12206668	0.13604427	0.25089603	0.27593029	0.29449640	0.17462268	0.12164144	0.12008646	0.11907687	0.10626517	0.11738110	0.07929072	0.05816933
ASV_105	0.165754	0.006924649	0.001113481	0.018759441	1.070593806	0.029375862	0.084727326	0.052549480	0.013837423	0.031992259	0.031998998	0.060405705	0.321171618	0.007215404	0.007484879	0.115344128	0.627727589	0.035061324	0.023966348
ASV_136	0.184312	0.030115311	0.106476465	0.035580543	0.902487502	0.031867088	0.049784885	0.071573948	0.042335281	0.099672136	0.103643824	0.114648136	0.089258141	0.003030661	0.004245119	0.003552521	1.323496825	0.071236637	0.309471749
ASV_174	0.198357	0.17317083	0.12502693	0.25983699	0.87075122	0.12570248	0.07811796	0.13096594	0.07510228	0.29179734	0.10601004	0.20422157	0.17688791	0.04503928	0.10886932	0.09098263	0.10488635	0.22860410	0.06900257
ASV_112	0.182353	0.21806456	0.98792571	0.14698888	0.21301839	0.04587406	0.09634800	0.11059407	0.04713828	0.09180189	0.24046634	0.30216452	0.05406770	0.03563955	0.04679272	0.09369356	1.04365240	0.06904263	0.04732802
ASV_111	0.173126	0.18499129	0.33351388	0.18902093	0.03879522	0.13145547	0.04921239	0.13162894	0.23210258	0.48721275	0.08061720	0.26153242	0.06532378	0.17532092	0.26719736	0.19111203	0.12256111	0.13285903	0.16818363
ASV_126	0.182156	0.05525240	0.08242464	0.76382136	0.24238322	0.12245648	0.71902478	0.02892204	0.02101642	0.19559603	0.10589376	0.15858942	0.31716673	0.02392214	0.01381381	0.09857642	0.11602473	0.03288033	0.32301044
ASV_96	0.185351	0.037867669	0.009831841	0.012866301	0.023053416	0.057274927	0.010934255	0.617793621	0.078246932	0.036424632	0.080398981	0.066016885	0.506711557	0.033364474	0.028069650	0.569312995	0.057385889	0.013500736	0.311689266
ASV_130	0.188577	0.12040294	0.52457271	0.16779877	0.06413104	0.13908661	0.04033996	0.27280746	0.21441965	0.21903110	0.14514805	0.18974030	0.12063853	0.44210081	0.14652159	0.61228220	0.13958306	0.11998423	0.29008975
ASV_137	0.174972	0.02355351	0.03085517	0.02601307	0.14407937	0.09641920	0.06977669	0.07459468	0.03584342	0.04137304	0.10566143	1.10222629	0.06317276	0.02278424	0.03424629	0.09319674	0.06125323	0.05366772	0.03528992
ASV_107	0.165651	0.02184833	0.05278562	0.04428520	1.72064941	0.02271242	0.05828610	0.02140932	0.02138258	0.02930515	0.04872950	0.09190821	0.08527437	0.06107080	0.06051490	0.07395503	0.08020133	0.06610574	0.05646807
ASV_109	0.172357	0.013594628	0.008946216	0.075036679	0.110412273	0.297875504	0.161220613	0.050930966	0.052167091	0.048468828	0.902007665	0.076148351	0.075160008	0.027873544	0.029449969	0.016474518	0.056203467	0.253559005	0.070029776
ASV_189	0.172502	0.20516317	0.25804503	0.12275851	0.15660760	0.50738313	0.15897244	0.19669009	0.20507058	0.14663281	0.15960904	0.16628167	0.09608793	0.24049106	0.26305440	0.16522571	0.14416749	0.07458123	0.08502532
ASV_92	0.156156	0.040280626	0.038072193	0.048701114	0.003544926	0.026445420	0.005892113	0.108074992	0.460366361	0.535288926	0.061670834	0.060090561	0.027656313	0.010655624	0.035843341	0.026903203	0.026869775	0.049260380	0.898407128
ASV_82	0.186924	0.35307977	0.21637949	0.17526443	0.01589841	0.06235170	0.01803378	0.11079432	0.17728398	0.19512150	0.09147843	0.22649331	0.23802129	0.44337195	0.41293194	0.52228951	0.18514782	0.32974189	0.36974631
